	day30_rep1_gfp_oe	day30_rep1_control	day30_rep1_epi	day30_rep2_gfp_oe	day30_rep1_hey2	day30_rep2_hey2_ge	day30_rep2_hey2	day30_rep1_hey2_ge	day30_rep2_hey2_oe	day30_rep1_hey2_oe	day30_rep1_tbx5	day30_rep3_tbx5_ge	day30_rep2_tbx5	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe	day30_rep1_nr2f_ge	day30_rep2_nr2f_ge	day30_rep1_nr2f	day30_rep2_nr2f	day30_rep3_nr2f_ge	day30_rep4_nr2f_ge	day30_rep1_nr2f_oe
LOC105369475	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	2
LOC105369477	19	9	37	14	27	21	19	11	20	25	21	46	21	6	25	17	19	4	4	8	6	8	6	21
LOC124902745	1	0	0	0	1	1	0	0	1	1	0	5	1	0	2	0	0	1	1	0	0	0	0	6
CWF19L2	1038	105	379	539	322	282	278	169	698	855	226	752	193	232	271	834	648	262	216	219	184	226	121	927
ALKBH8	607	116	374	399	272	231	233	192	570	546	281	448	239	178	267	572	535	44	181	315	218	239	124	712
ELMOD1	117	0	60	55	95	122	46	41	66	72	26	40	90	40	29	124	49	30	44	32	31	123	73	178
SLN	4	2	18	4	806	334	344	124	5	3	70	4	573	83	164	6	4	82	23	3	35	718	198	19
SLC35F2	236	24	302	147	514	386	255	367	204	204	389	1953	613	219	1719	227	197	135	329	181	186	635	247	309
LOC124902746	3	0	1	1	0	1	0	4	1	2	2	5	4	0	4	1	0	3	6	1	0	4	9	2
LOC124902747	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB39A	30	2	5	3	6	14	6	2	6	30	3	12	4	6	14	38	7	0	9	7	5	6	1	63
CUL5	2138	853	2018	2618	1794	1218	1229	1025	2785	2356	1512	2230	1090	931	1360	2647	2834	390	1170	1603	1172	1172	804	2663
LOC124902748	5	3	0	1	1	1	3	1	0	4	5	7	0	1	0	2	0	0	1	1	1	1	1	3
ACAT1	2150	941	1505	2629	2926	1022	2488	1039	3264	1856	948	621	1546	957	512	2244	2712	641	642	1528	1616	1124	474	1748
NPAT	503	257	497	491	462	230	363	215	592	585	378	775	283	263	362	702	613	52	269	294	315	315	145	803
ATM	1382	708	2393	2306	2126	1089	1726	944	2422	1882	2077	1158	1565	1278	940	2090	2716	236	1291	1414	1333	979	830	2147
C11orf65	18	0	22	8	13	4	12	12	7	13	14	26	9	13	0	25	14	5	13	11	10	10	6	11
POGLUT3	515	479	1884	957	1035	996	1035	506	865	493	1296	798	1139	1901	2356	475	1222	487	1440	667	874	1131	587	761
LOC124902749	0	1	1	0	3	1	1	0	4	1	4	1	3	2	4	1	1	0	2	3	1	0	4	2
LOC112267909	3	2	11	3	4	11	12	5	3	9	7	6	8	3	19	0	5	0	4	1	6	8	2	5
EXPH5	59	34	84	140	59	28	42	48	212	120	98	371	48	110	115	90	156	5	73	43	71	30	25	215
DDX10	1301	213	818	1300	619	604	586	419	1503	1105	558	1370	548	375	815	1065	1363	346	448	519	581	481	318	1266
LOC124902750	6	0	4	0	2	5	2	4	1	3	2	9	1	0	1	4	0	6	0	3	0	0	0	3
C11orf87	33	46	188	151	461	91	1475	60	141	34	360	7	684	65	2	42	189	115	256	68	96	105	207	30
LOC124902751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02715	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC105369483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC105369484	0	0	2	3	3	0	0	2	2	2	1	0	0	0	1	4	3	1	0	0	0	1	0	3
ZC3H12C	1115	219	513	970	900	397	636	369	1199	1053	422	675	511	202	305	1142	1029	49	229	586	344	250	197	1410
RDX	8600	2134	6815	7691	6416	4647	4668	3525	8056	7867	4881	3778	5255	2614	5189	8451	8104	1480	3044	5540	4590	4928	2462	8533
LOC124902752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02732	0	0	6	1	7	3	3	3	2	2	0	2	6	0	125	0	1	0	5	0	3	15	9	0
LOC107984385	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	0	1	1	1	0	0	0	0
FDX1	1594	500	1208	1468	1242	865	1083	970	1688	1315	738	985	967	541	772	1393	1486	507	627	1012	843	884	454	1135
ARHGAP20	110	52	121	164	30	14	18	10	155	158	27	30	50	41	34	195	184	1	20	25	8	6	8	129
LOC124902753	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
LOC124902754	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
LOC105369488	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369489	0	0	4	2	0	7	0	1	1	1	1	4	0	0	0	4	0	0	2	0	1	0	0	0
LINC02550	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
LOC102723966	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
POU2AF2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2
COLCA1	1	5	10	11	24	1	22	1	5	0	9	1	33	1	5	3	3	0	6	1	6	2	0	1
POU2AF3	3	7	9	5	15	2	15	2	6	4	5	3	17	0	2	4	6	6	2	2	2	1	0	5
LOC105369491	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
LOC124902755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MIR4491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POU2AF1	3	0	6	0	0	4	0	2	0	4	0	5	0	0	2	4	1	1	0	0	0	0	0	3
BTG4	0	0	3	3	0	5	0	2	2	11	1	9	0	0	5	2	2	2	3	0	0	0	0	4
LOC100132078	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1
LOC107984386	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC644277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR34BHG	0	0	1	0	0	2	0	0	4	1	0	0	0	0	2	2	0	0	1	0	0	0	0	4
MIR34B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR34C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOATZ	3	1	14	4	1	0	1	0	5	2	2	2	1	1	5	1	10	0	7	0	0	3	0	4
LAYN	97	70	308	232	129	104	171	123	301	53	188	945	246	474	795	51	258	166	709	59	275	186	102	105
SIK2	1870	1174	2581	3072	2224	1425	2171	1406	3756	2055	3154	2198	2616	1150	1460	2151	3546	435	1679	1714	1968	1369	1113	2607
PPP2R1B	734	200	799	722	810	691	566	445	849	582	1111	2043	682	501	1648	618	850	299	633	417	510	688	265	1034
ALG9	948	543	1504	889	1255	944	1445	862	975	978	1132	933	1416	800	914	1112	1123	480	803	1072	930	736	537	1210
LOC124902756	3	1	4	3	2	7	2	3	2	4	2	6	2	0	2	6	3	0	0	3	1	0	5	6
FDXACB1	61	55	107	70	113	78	92	83	113	74	84	99	92	37	86	77	75	33	62	70	78	80	32	110
CFAP68	512	135	429	324	307	193	312	258	448	521	228	248	295	204	131	547	407	215	174	227	234	212	134	427
CRYAB	15602	13864	2938	9471	6100	5227	5063	7179	14170	10028	2184	3924	6260	2861	609	9723	9372	2820	1911	14968	7387	2358	4272	9274
HSPB2	637	181	167	132	37	84	67	127	186	370	23	126	44	73	30	397	118	286	70	157	105	174	219	254
HSPB2-C11orf52	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C11orf52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIXDC1	1820	1271	1875	1998	2539	2783	2179	1897	2189	2744	1247	471	1877	1016	815	2884	2389	284	566	2532	1622	1361	1151	2185
DLAT	3069	2250	2732	3429	3656	4071	2497	3383	4233	2951	1924	1536	2501	987	1821	3113	3081	594	1145	4711	3510	2557	2367	2634
PIH1D2	70	21	69	45	36	24	37	27	67	54	32	69	25	20	20	83	43	8	28	26	20	26	1	70
NKAPD1	1725	487	1511	1321	1161	926	1087	769	1515	1507	1003	1496	1024	758	1076	1606	1400	466	905	832	1071	902	538	1693
TIMM8B	3342	708	2182	2309	2935	3252	2893	3647	3096	2764	1724	3249	2922	2040	1941	2696	2199	1132	1949	2187	1938	2964	537	2112
SDHD	3157	1549	2092	3469	2897	2248	2314	2426	4257	2904	1711	2704	2136	1671	1049	3239	3289	725	1189	2121	2474	1875	1033	2161
IL18	23	22	171	82	16	1	50	7	156	19	1099	81	100	234	73	19	88	17	166	20	23	3	4	41
LOC107987164	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX12	7	1	3	2	1	1	2	2	0	2	0	0	1	0	0	1	4	0	1	5	0	0	0	8
BCO2	465	436	723	621	577	269	729	226	714	588	656	234	328	758	249	642	760	183	423	712	253	119	219	489
PTS	747	212	574	587	573	773	439	535	729	515	694	1752	577	711	794	559	649	238	625	601	665	489	165	604
PLET1	0	0	4	0	0	0	1	0	1	1	1	2	1	0	0	0	0	0	1	2	0	1	1	1
LOC100132686	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
LINC02762	12	11	17	22	18	18	30	6	26	10	10	22	52	13	11	20	20	9	20	14	26	10	18	42
LOC107984388	1	0	2	2	0	3	0	1	1	2	1	6	1	1	1	1	2	1	0	2	2	0	0	1
LOC107984389	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	1	0	0	0	0	0
LINC02763	1	0	0	1	3	1	1	0	1	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0
LINC02764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC124902757	2	3	5	0	6	0	19	0	0	1	2	1	22	7	10	3	3	7	5	0	5	2	5	0
LOC105369496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902801	1	0	8	2	5	6	21	5	2	6	4	1	51	1	2	2	2	2	2	3	7	9	2	4
LOC105369498	0	4	15	1	8	7	10	3	1	2	3	0	21	5	5	2	3	5	6	2	5	8	4	2
LOC101928847	93	32	60	67	91	37	100	42	98	111	35	5	72	17	11	94	77	5	33	57	82	29	34	75
NCAM1	6898	7146	13367	7113	23713	8214	43497	10157	8023	9614	16200	715	40609	6577	3262	12012	9558	2382	5956	12117	13679	7431	11393	12357
NCAM1-AS1	4	0	18	2	30	6	60	9	5	6	6	1	46	3	6	9	11	0	4	9	21	7	3	9
LOC124902814	16	0	38	13	13	6	28	9	23	27	11	10	20	26	5	31	22	12	16	14	19	9	7	23
TTC12	463	209	697	425	319	262	361	238	476	498	444	119	387	403	155	552	464	233	273	286	312	275	105	375
ANKK1	8	5	29	7	2	11	4	3	12	8	5	11	0	5	6	6	10	1	7	8	9	2	0	1
DRD2	35	43	154	38	81	27	50	19	26	36	143	33	146	253	129	54	59	25	163	6	83	60	53	58
MIR4301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369501	0	1	2	2	0	2	0	3	0	1	0	2	0	0	1	1	1	0	0	0	1	0	0	0
LOC107984390	5	4	4	5	1	2	0	5	5	1	2	14	2	6	3	2	5	0	3	2	3	1	1	2
LOC124902758	2	0	4	1	0	1	1	1	1	0	1	7	1	0	1	1	0	5	2	0	5	0	0	0
TMPRSS5	40	12	52	15	31	13	29	24	21	20	15	13	30	9	15	17	23	17	12	36	21	15	7	27
ZW10	787	240	616	751	556	433	416	320	912	794	528	956	456	369	776	817	900	153	384	499	475	398	187	920
CLDN25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
USP28	4006	1844	3143	4450	4192	3730	3033	2512	5546	4744	2398	904	2682	1395	1194	4833	4433	449	853	5220	4596	2095	1999	4273
LOC124902821	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
HTR3B	1	0	4	0	1	2	0	0	0	0	0	5	0	0	2	2	0	1	0	2	0	0	0	5
HTR3A	2	1	4	1	2	3	1	1	1	2	2	3	0	0	2	2	4	2	0	2	2	6	0	2
LOC124902760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902759	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB16	449	300	65	322	45	15	87	10	405	329	56	24	168	363	89	382	265	9	102	94	151	18	21	459
NNMT	638	1696	3170	6469	1151	33	1456	63	7624	128	3469	1556	3171	6871	2109	150	7626	1277	4708	620	3653	165	42	377
LOC101928940	0	4	2	1	0	0	2	0	4	1	0	3	1	0	1	1	2	0	0	0	0	0	0	2
LOC107984391	3	0	0	0	0	2	0	1	0	1	3	1	1	1	1	0	3	3	0	0	1	0	0	0
C11orf71	376	188	402	361	428	229	482	345	386	395	213	172	390	225	188	390	443	288	265	259	284	375	214	287
RBM7	1105	484	1355	1533	935	674	773	512	1628	1023	1129	2375	825	946	1519	1146	1697	423	978	746	970	756	379	1067
REXO2	1738	1301	2567	2813	2218	1214	1590	1493	2906	1577	3765	2727	3289	3624	3275	1395	3013	1274	3098	2320	3282	2067	558	1424
NXPE2	12	5	24	14	10	12	13	6	15	8	25	29	12	20	46	2	17	8	5	11	8	7	15	3
NXPE1	0	0	0	0	0	3	0	0	0	0	3	3	1	1	1	2	2	0	0	0	0	0	0	1
LOC124902825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NXPE4	0	0	1	1	4	2	1	0	1	0	5	4	0	2	2	0	0	0	4	0	7	1	1	0
LOC105369506	2	6	1	7	1	1	0	0	4	1	2	2	3	0	1	5	5	2	1	3	2	6	6	1
CADM1	3081	4123	6062	5411	4132	3359	3564	4169	5939	2959	6774	4324	5684	3862	6235	3512	6115	2474	5401	4389	6968	6727	4196	3593
LOC105369509	4	1	3	1	2	3	0	1	2	0	3	0	1	0	3	0	0	0	0	2	2	1	0	2
CADM1-AS1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
LOC105369511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02698	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
LOC101928985	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0
LINC00900	9	16	31	13	4	6	9	2	9	12	2	5	11	7	4	12	12	33	12	6	20	26	27	9
LOC107987165	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0
LINC02703	0	0	2	0	2	0	2	0	1	0	0	0	0	0	1	0	0	2	0	2	2	0	1	0
LOC105369513	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984393	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	1	0	0	0	0	2
LOC107987166	0	0	3	0	0	3	0	2	0	4	1	4	1	0	3	0	0	0	0	0	0	0	0	0
LOC124902834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02151	1	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC107984372	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
LINC02702	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
BUD13	669	412	720	500	716	417	601	498	576	674	430	592	534	309	486	680	565	546	374	482	528	566	349	610
ZPR1	1675	497	1138	1145	1075	958	803	873	1509	1130	1215	3058	1253	753	1515	1187	1238	505	740	1078	1113	894	354	1587
APOA5	1	1	1	0	1	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0
LNC-RHL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOA4	2	0	6	1	1	2	4	4	4	2	8	37	27	0	265	7	11	36	1	4	6	2	8	2
APOC3	0	1	11	2	4	1	12	4	3	6	14	66	19	15	237	0	2	26	12	5	4	0	0	1
APOA1	93	91	119	118	170	165	249	328	167	98	534	2162	530	113	5992	114	138	1035	69	171	318	250	285	37
APOA1-AS	2	1	8	4	4	1	9	4	4	3	1	4	8	1	3	3	6	0	2	2	0	1	4	3
SIK3	2462	1415	2304	2623	1917	1283	1812	1646	3507	2627	1425	3423	1955	1111	1079	2568	2796	399	895	2370	1759	1229	1221	2745
LOC124902763	20	1	15	4	6	5	4	2	5	14	7	11	7	3	10	16	10	3	1	5	4	2	3	9
PAFAH1B2	3292	1272	3818	3188	3406	2137	2083	2246	3116	3000	3315	4435	3028	1774	3933	3209	3572	898	2399	3308	2860	2824	1127	3279
SIDT2	666	950	2241	1121	1575	1109	2448	935	1159	756	2015	896	3010	1184	1198	809	1287	544	1205	1158	1949	1448	1229	750
LOC100652768	204	99	250	242	293	383	273	273	280	202	182	131	535	160	432	161	241	27	204	354	299	349	63	196
TAGLN	22825	4092	12278	19590	30082	26821	12034	19365	25108	15864	18395	12196	24633	13088	44042	14311	19053	6820	18016	24216	23178	32257	15046	18574
PCSK7	723	695	1534	903	1402	924	1484	855	1259	713	1666	1581	1516	763	1021	800	1092	159	984	1252	1495	1040	518	811
RNF214	651	355	854	626	682	492	659	455	743	671	521	543	617	365	591	651	710	230	475	606	602	434	390	724
LOC124900313	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
BACE1	1128	1376	3860	1874	2346	1808	2869	1714	1950	1297	2460	1585	2963	1804	2083	1270	2249	818	2430	1570	2482	1789	1601	1504
BACE1-AS	20	40	67	26	47	33	41	34	38	23	54	17	42	19	27	46	41	10	31	22	43	29	52	43
CEP164	554	438	1668	889	749	589	1029	500	900	447	1271	1364	1088	803	1178	487	1224	430	905	539	690	665	309	697
DSCAML1	27	194	90	20	11	11	63	15	16	37	138	17	31	72	15	61	31	38	113	7	36	11	47	59
LOC105369515	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FXYD6-FXYD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FXYD2	2	5	4	0	0	0	4	0	2	1	0	3	1	1	0	1	1	0	0	0	0	0	1	0
FXYD6-AS1	4	8	19	5	3	4	10	7	10	6	3	1	11	4	4	7	5	3	4	6	6	6	0	4
FXYD6	3869	7011	6688	3416	5287	1821	4897	2407	3412	4044	2102	333	5955	3132	1461	4308	3783	6668	2524	3813	4897	3183	4402	3377
TMPRSS13	2	9	8	2	3	2	2	0	4	2	4	20	0	7	17	1	1	0	5	9	4	6	3	5
IL10RA	7	5	12	7	2	1	0	0	13	1	9	170	6	12	16	2	9	5	9	2	5	1	7	10
SMIM35	0	0	2	0	0	0	0	1	1	0	1	6	0	0	2	0	2	1	0	1	0	0	0	0
TMPRSS4	3	0	3	1	0	3	0	0	0	6	30	1	14	0	11	3	3	0	0	0	1	0	0	2
LOC105369517	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4B	246	104	63	236	84	22	157	49	300	332	86	15	152	35	19	437	279	22	28	47	48	71	43	250
SCN2B	217	170	185	268	258	46	389	73	287	288	73	2	170	45	4	310	286	63	50	56	98	59	73	211
JAML	8	5	4	7	2	3	1	0	8	11	5	3	3	0	6	20	6	0	1	4	4	0	1	4
MPZL3	30	20	50	32	31	11	11	8	39	38	49	77	11	8	29	35	34	1	44	40	37	7	12	36
MPZL2	1	12	28	10	1	0	0	0	8	9	25	7	3	2	37	7	8	1	2	5	8	1	8	1
CD3E	0	1	1	1	0	1	0	0	1	0	0	6	0	0	2	0	0	0	0	0	0	0	1	0
CD3D	0	0	0	2	0	0	0	0	0	0	2	5	0	0	14	3	3	1	0	1	1	1	4	1
CD3G	2	0	10	0	1	5	1	1	0	2	0	7	1	0	1	1	0	7	0	4	5	0	0	2
UBE4A	1966	908	2425	2279	2130	1170	1898	1136	2630	2224	2466	2992	2115	1383	1570	2221	2706	371	1332	1807	1611	1265	840	2609
LOC100131626	0	0	4	2	2	2	1	1	2	2	3	2	4	1	1	2	2	0	3	2	0	1	0	3
ATP5MG	6359	2169	4596	5480	7576	6830	8256	7142	6442	5243	4288	4914	7221	3789	3162	5456	5381	3391	3378	4453	5171	6114	2066	4183
KMT2A	3057	869	3203	2978	1866	1293	1814	992	3577	2965	2065	5279	1893	1200	1818	3572	3647	426	1386	2187	1675	1160	855	5604
TTC36-AS1	2	4	5	8	12	4	2	3	3	2	1	1	4	0	2	7	8	0	2	5	5	3	0	6
TTC36	12	24	12	8	25	9	39	2	12	17	8	3	13	5	2	17	14	3	7	10	21	10	5	13
TMEM25	391	529	1017	484	1191	691	1824	745	566	415	1090	384	1336	618	532	383	528	621	775	679	1049	790	671	476
IFT46	455	259	424	446	349	165	399	177	539	462	349	469	362	204	207	516	481	316	261	250	311	207	131	389
LOC124902764	2	3	6	2	1	0	5	0	2	2	1	5	1	0	3	2	1	0	3	1	1	1	0	6
ARCN1	4860	2751	7715	7819	5423	3626	4073	3122	8456	5495	8051	13856	5773	5530	8561	5541	8954	1935	6365	5182	5879	4404	2555	5735
LOC124902765	20	5	2	8	5	4	4	2	16	6	8	5	7	6	12	11	9	6	4	14	6	0	2	14
PHLDB1	2433	4907	5703	3224	4951	2260	5544	3061	4171	2895	4645	1221	6603	3368	3801	2852	4005	1087	3425	5067	6902	3191	2806	2463
MIR6716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TREH	5	3	22	6	7	3	6	0	4	3	4	4	3	7	12	7	10	1	3	12	7	3	3	3
LOC105369519	0	0	2	0	2	2	2	1	0	3	1	5	1	1	1	0	0	0	1	0	3	1	0	0
LOC124902766	14	0	0	1	0	1	2	0	1	5	2	2	2	0	1	11	1	1	0	0	2	2	1	28
DDX6	4005	2069	7293	5641	6518	3536	5302	3074	5264	4849	5827	8122	5600	3440	4913	5220	6404	1226	4198	4771	4361	3807	1692	5502
CXCR5	5	0	7	2	4	2	4	0	3	3	0	1	3	0	4	3	4	0	1	3	2	0	1	1
LOC124902767	1	3	3	0	1	6	0	1	3	6	0	3	0	0	6	4	0	0	1	2	3	2	0	3
BCL9L	1667	3036	7683	3817	4408	2415	5207	2813	4474	1657	5226	6545	6985	3516	5027	1697	4592	493	4044	4162	4985	3541	3289	1694
MIR4492	4	3	31	11	15	12	16	12	13	5	27	18	19	10	11	2	10	0	8	21	18	14	24	5
UPK2	6	7	6	1	4	3	12	5	7	10	0	2	12	2	3	3	4	10	10	5	3	7	18	3
FOXR1	5	0	1	0	1	1	1	0	0	1	1	3	1	0	1	0	1	0	0	0	0	0	1	1
LOC124902768	49	60	107	27	83	53	124	54	47	35	47	17	73	37	40	39	31	197	42	80	84	80	46	44
CENATAC	318	113	296	215	261	217	306	194	266	275	210	363	339	159	314	303	233	130	171	278	207	247	70	291
RPL23AP64	28	14	56	27	42	38	44	32	28	36	39	58	63	23	50	32	24	0	26	51	27	21	15	31
RPS25	12080	5070	13160	10736	10086	7939	15426	7823	10794	10617	8117	9490	13772	10634	7509	10867	10949	9110	8559	5157	8081	8776	3558	8675
TRAPPC4	1900	647	1436	1257	1570	1193	1575	1405	1462	1340	1200	3066	1602	942	1177	1453	1258	830	1070	1145	1566	1363	534	1564
SLC37A4	411	359	1009	295	655	353	1087	357	347	311	514	189	786	327	432	429	386	410	531	371	718	516	484	432
HYOU1	2818	2789	9782	4111	8384	5377	7900	8988	4720	2081	12815	93526	13395	6457	9381	2476	5580	2306	7097	8190	6834	6296	2760	4762
LOC124902769	24	26	27	18	15	20	38	18	26	25	15	39	33	20	18	16	28	9	13	11	23	23	16	24
VPS11	1553	997	1512	1513	1272	781	1330	1071	1983	1407	1234	3570	1355	1061	721	1357	1701	834	997	922	1204	943	868	1601
HMBS	942	374	933	796	1098	1006	1054	923	1067	801	594	398	768	434	577	809	797	465	515	767	868	858	372	762
DPAGT1	478	361	1040	495	894	604	1142	517	589	373	1027	1763	976	590	821	466	613	332	618	810	970	696	421	616
H2AX	29	13	15	18	5	6	5	8	6	20	3	18	8	6	8	14	10	66	22	8	2	20	20	15
C2CD2L	524	345	545	407	672	501	696	533	608	433	544	1432	737	244	476	472	500	149	391	601	749	476	373	672
HINFP	956	395	785	693	724	502	765	514	951	888	674	1533	760	440	655	846	692	373	464	558	693	503	370	979
ABCG4	68	27	46	32	86	61	211	92	68	62	89	71	107	18	14	82	23	33	49	52	60	50	94	102
NLRX1	485	821	920	464	608	417	976	701	560	532	523	501	830	457	228	508	620	406	608	565	791	575	656	325
NHERF4	2	1	20	2	3	4	11	4	1	5	45	1	10	3	11	2	3	7	16	5	4	2	0	2
CCDC153	28	18	94	27	44	29	73	32	40	39	45	13	58	45	32	46	32	64	68	26	31	34	30	35
SNORD150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBL	1353	430	2081	1512	1690	1017	1565	861	1833	1403	2308	4120	1913	844	2629	1448	1876	189	1185	1420	1227	857	684	2393
MCAM	5252	3123	2895	4672	5496	1574	4012	3314	5814	5793	4384	2777	9463	3006	1567	6435	5247	568	2260	10550	5160	3431	1642	4408
MIR6756	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	2	0	0	2	0	0	0	0
RNF26	1192	1058	3031	1151	1794	1162	2403	1390	1573	1071	1934	2026	2653	1621	2183	1116	1422	1130	1723	1144	1804	1989	1466	1182
C1QTNF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFRP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP2	2572	2294	1284	1906	1612	1472	1219	1588	2603	2035	700	378	1203	483	255	2071	1690	511	378	2345	2099	1113	1634	1603
USP2-AS1	6	10	23	22	14	13	39	7	24	15	8	18	24	9	12	19	18	14	4	9	23	7	22	12
THY1	876	2883	8323	5879	4885	1803	4874	1133	5382	368	8611	366	7017	4637	4819	475	8566	5654	8560	1223	5913	3276	964	1051
LOC124902770	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2
LOC107984398	3	0	2	4	1	8	5	5	2	4	0	1	0	2	3	2	1	0	2	1	0	6	5	12
LOC105369520	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NECTIN1	942	2292	3179	1189	1056	605	1838	583	1333	1067	1536	546	3053	1065	671	1223	1693	405	1084	2717	1748	820	808	1159
LOC124900303	3	6	5	1	3	4	28	1	0	4	0	4	1	0	1	3	3	0	3	0	5	0	2	5
