	BOR_1	BOR_2	BOR_3	BOR_4	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4
TMUB1	203	131	228	176	1098	589	299	567	371	364	327	242	444	177	743	698	239	389	354	124
AGAP3	595	411	554	726	2987	2039	1186	3039	1142	1222	1186	809	1697	752	2815	2237	954	1452	1648	590
LOC124901778	8	15	17	40	57	46	13	38	20	22	27	10	54	25	70	26	26	36	36	12
GBX1	0	0	1	0	17	5	2	5	4	1	7	2	3	4	5	8	8	6	8	2
ASB10	0	0	5	0	147	34	23	132	58	40	40	25	77	23	90	138	49	71	64	34
IQCA1L	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	1	0
ABCF2-H2BK1	0	0	0	4	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
H2BK1	0	0	0	0	2	0	0	3	1	0	1	0	0	0	0	0	2	0	1	0
ABCF2	606	665	208	1022	921	638	309	391	277	348	332	159	408	203	667	652	267	314	320	157
CHPF2	2738	2447	1111	3923	2947	2196	1187	2251	1067	1191	1374	655	1593	569	2072	2137	904	1283	892	508
MIR671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMARCD3	355	271	334	477	3705	2184	1315	4175	1655	1528	1513	1042	2180	989	3540	3041	1537	1772	2133	828
LOC124901779	71	64	63	110	465	258	171	282	241	242	246	97	255	111	426	321	276	272	281	109
NUB1	392	438	433	1025	1491	973	470	1131	389	533	357	345	615	312	830	840	492	452	577	340
WDR86	124	159	233	431	761	1024	622	812	380	594	517	482	451	314	1057	711	516	872	708	239
WDR86-AS1	2	0	0	8	4	41	20	4	4	7	10	3	7	4	10	8	6	5	9	1
CRYGN	0	0	2	0	8	4	4	3	4	9	3	1	7	1	13	8	6	5	7	2
LOC124901780	0	0	0	0	6	5	7	5	2	8	1	0	6	8	12	11	7	11	11	3
MIR3907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHEB	1376	1255	1137	3404	4981	3568	1811	3796	1425	1618	1280	859	2254	1274	2909	2921	1478	1357	1791	959
PRKAG2	630	763	728	1837	9039	5392	2305	7353	2799	2053	1853	1170	5037	2511	6736	5184	2332	1679	3748	1760
PRKAG2-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2-AS1	1	0	0	0	14	4	2	0	1	7	2	0	3	0	3	4	2	1	1	1
LOC105375570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALNTL5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GALNT11	191	152	159	429	1989	1318	615	1810	682	838	717	435	1095	567	1721	1603	725	789	1077	427
LOC124901844	0	0	0	0	1	0	0	3	3	2	0	0	0	0	2	0	2	0	1	0
LOC731075	16	23	33	72	50	35	20	71	26	34	45	28	40	20	36	58	33	46	42	13
KMT2C	1967	2855	2291	6698	5562	4519	1974	5441	2502	3627	2938	2362	3878	2036	4654	4882	2829	3812	3280	1512
FABP5P3	1	0	0	0	5	4	0	0	0	1	4	1	2	0	3	2	0	10	3	1
LINC01003	7	6	6	6	250	165	70	230	103	134	68	85	141	52	151	159	119	97	115	47
LOC124901846	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XRCC2	5	1	3	13	376	323	183	267	123	134	99	77	192	152	373	329	75	81	230	93
ACTR3B	33	34	51	42	263	183	98	194	78	103	67	59	103	90	264	156	66	89	164	45
LOC102723686	0	0	0	0	3	1	1	3	0	1	2	0	1	1	0	0	0	0	1	1
LOC105375577	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPP6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101929998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAXIP1-AS2	7	8	4	10	23	31	10	20	8	11	12	5	13	11	18	18	12	21	10	4
PAXIP1	91	89	52	175	552	357	211	443	212	267	263	174	336	149	549	426	215	313	304	132
LOC124901781	3	5	2	0	22	19	6	36	22	28	25	5	23	15	48	28	19	21	38	10
PAXIP1-DT	18	13	8	45	189	177	85	126	90	102	68	89	98	100	324	146	107	90	151	57
HTR5A-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR5A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901782	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901783	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC124901786	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
LOC124901784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901785	0	0	0	7	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0
LOC124901787	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
LOC105375587	1	0	1	0	2	2	4	0	3	3	3	10	0	0	4	14	9	12	2	3
LOC105375588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INSIG1-DT	25	20	22	54	63	108	57	161	55	71	98	30	73	65	239	132	55	87	97	43
INSIG1	2872	1831	4092	4836	1967	3847	1735	3106	992	1365	1213	430	1738	1518	3202	2844	1014	990	1999	923
LOC105375592	84	43	72	84	6	15	17	11	1	1	3	1	6	5	11	10	1	6	2	4
BLACE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375593	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC03010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EN2	0	0	0	0	1	1	0	3	1	0	22	0	0	0	7	0	1	26	2	0
CNPY1	0	0	2	0	5	1	3	2	2	1	1	5	3	0	10	3	3	12	0	2
RBM33-DT	16	17	6	46	64	71	28	93	35	34	44	20	42	41	75	65	39	29	47	17
RBM33	1023	1148	1092	2584	3373	2108	1025	2775	1201	1579	1437	1256	1753	856	2542	2342	1416	1700	1608	732
SHH	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC124901788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC389602	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105375597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901789	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105375603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375601	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375599	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0
LOC285889	0	0	0	0	0	0	0	4	1	1	1	0	0	0	1	2	0	1	1	0
LOC124901792	0	0	0	0	3	0	1	0	3	0	1	1	2	0	4	0	1	4	1	2
RNF32-DT	31	20	18	32	365	234	122	430	146	162	210	123	206	89	312	272	157	208	160	75
LOC112268012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00244	0	0	0	0	0	1	0	0	0	1	0	0	0	0	7	0	0	0	0	3
RNF32	14	20	26	21	42	45	13	26	19	31	18	26	22	15	48	14	25	30	27	9
LMBR1	674	808	676	1783	1931	1534	741	1010	724	903	679	844	1390	951	2090	1241	767	821	1341	468
LOC102723795	2	6	0	9	7	1	4	1	4	1	5	4	2	1	4	5	3	10	4	3
LOC105375604	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOM1	353	340	329	835	1239	1026	441	1072	389	461	413	278	695	385	985	911	442	449	681	320
MNX1	0	0	1	0	5	0	1	8	1	3	1	0	0	1	12	6	5	0	2	0
MNX1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MNX1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE3C	1395	1487	1052	3971	5794	4179	2024	4218	1869	2283	2016	1378	3061	1519	3678	3630	1697	1977	2116	1166
LOC124901803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJB6	1632	1257	1592	3400	7157	3787	1887	4320	1922	2268	1969	1233	3030	1469	4175	4014	1671	1945	2599	1325
LOC101927914	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
LOC105375610	0	0	0	0	0	1	1	3	1	0	2	0	1	0	0	0	1	2	0	0
PTPRN2	0	1	0	0	2	4	1	6	1	0	3	1	2	0	0	0	2	0	0	1
MIR153-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375615	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRN2-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAPG2	35	24	29	46	1066	925	556	1148	330	427	297	262	623	417	1103	1011	262	210	491	226
ESYT2	651	590	622	1797	3097	2437	1195	2154	1073	1363	1092	1176	1752	873	2046	1997	1150	1172	1350	680
DYNC2I1	414	360	476	702	1644	797	428	1385	464	661	515	710	701	372	1039	935	554	635	755	329
LOC124901796	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0
LOC124901794	3	2	1	0	15	0	2	9	0	0	1	4	4	0	0	0	1	3	0	0
LOC124901795	0	0	0	0	6	3	0	2	1	1	3	7	0	2	5	4	2	2	0	0
LINC00689	0	0	0	0	5	0	2	3	1	0	1	0	1	5	2	6	2	1	0	2
VIPR2	6	5	28	4	1101	485	256	613	274	514	403	217	425	188	660	1155	350	569	512	356
LOC101927506	0	0	0	0	1	0	2	0	3	2	2	1	0	1	0	2	0	4	2	1
OR4F21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902051	3	4	8	16	49	25	18	30	17	23	10	13	33	28	53	41	29	17	51	9
RPL23AP53	163	189	157	531	2890	2198	1106	2778	1290	1271	913	906	2173	662	1378	2640	1960	1405	1035	929
ZNF596	137	111	76	194	2061	1723	907	2304	1343	1589	1079	1410	2009	268	598	2686	2643	2063	408	995
LOC101927566	0	1	5	2	176	116	67	305	145	137	136	132	157	4	15	309	236	232	12	75
LOC124902052	10	6	10	3	33	27	7	88	38	31	25	13	41	11	18	59	19	26	41	19
LOC105377773	1	0	0	0	3	0	0	5	1	1	0	0	2	0	1	4	3	1	2	0
FAM87A	0	0	0	0	1	2	0	4	0	1	2	0	1	1	4	2	0	3	1	1
FBXO25	269	379	138	884	1366	1179	504	1062	538	687	561	519	816	471	1080	1002	705	703	797	395
TDRP	223	309	278	746	1141	730	379	966	406	568	406	475	569	438	1209	528	595	550	833	244
ERICH1	196	295	183	616	562	538	345	557	221	314	288	222	332	196	545	369	220	332	389	115
LOC124902055	0	2	0	4	2	1	0	0	0	1	0	1	0	0	2	0	1	2	1	0
LOC124902053	0	1	0	0	0	0	0	0	1	0	3	0	1	0	3	3	0	2	1	0
LOC124902054	2	2	1	4	1	2	0	1	0	0	1	0	2	1	3	1	1	1	2	0
LOC124902044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLGAP2	0	0	0	10	6	1	4	5	0	2	0	2	2	1	7	2	0	2	3	1
LOC401442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900249	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC286083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901869	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
LOC105379585	0	1	0	0	0	0	2	0	1	2	0	1	0	1	12	1	0	0	12	0
LOC105377775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379586	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLGAP2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901870	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377778	1	3	3	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CLN8	484	581	381	1149	945	698	382	713	366	415	374	251	633	297	771	612	334	368	555	189
CLN8-AS1	28	21	22	31	187	118	58	159	58	89	72	56	106	80	267	160	74	85	169	40
MIR3674	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	5	0	0	2	1
LOC105377779	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	2	0	1	1	0
MIR596	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ARHGEF10	118	122	197	287	2353	1875	1000	2065	874	1030	864	767	1450	653	1889	1792	927	949	1152	470
LOC100131395	4	1	5	35	33	12	19	72	22	39	25	23	40	15	26	49	32	43	35	19
KBTBD11-AS1	0	0	0	0	11	20	8	15	5	14	11	1	7	2	12	6	6	6	6	1
KBTBD11-OT1	2	2	0	0	4	6	2	0	2	2	1	4	3	4	13	4	0	2	5	0
KBTBD11	45	23	62	170	782	1202	553	532	228	353	337	301	490	295	709	725	206	281	478	223
MYOM2	151	338	96	425	4349	3606	1716	6758	2075	3122	2517	1630	6715	368	1138	10812	2155	2598	606	3015
MIR7160	0	1	0	0	0	6	1	1	2	2	0	2	7	0	0	9	3	2	0	0
LOC105377781	0	0	0	3	1	0	3	2	2	3	2	2	7	0	1	10	3	0	5	0
LOC105377782	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	2	0	0	0
LOC105377783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC03021	0	0	0	0	4	8	4	1	6	5	4	4	2	1	3	10	5	7	1	1
LOC107986865	0	0	0	0	2	4	1	2	0	1	2	2	0	0	0	0	1	3	0	0
LOC105377785	0	0	0	0	2	3	2	6	5	6	2	3	1	0	0	10	0	7	1	1
LOC124901871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSMD1	3	2	32	38	313	132	99	86	44	131	75	151	168	29	107	82	61	172	69	39
LOC105377791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC105377790	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377789	0	0	0	0	8	4	2	0	1	4	0	2	1	0	4	0	0	0	0	1
LOC107986907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902045	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986908	0	0	0	0	46	9	13	22	18	16	13	12	35	30	61	18	31	20	67	19
LOC105377795	0	0	1	0	11	8	3	17	4	4	4	3	10	12	17	10	14	7	22	3
LOC105377796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377797	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MCPH1-DT	2	4	0	0	52	54	25	46	20	26	47	30	30	11	83	41	19	33	32	15
MCPH1	292	246	252	1033	868	620	357	598	231	277	205	216	410	320	648	527	227	259	438	154
ANGPT2	9	9	24	58	11	17	4	9	2	9	4	7	4	5	3	6	3	6	6	1
MCPH1-AS1	20	22	20	431	29	28	9	28	13	18	23	24	17	13	22	16	13	21	9	10
MIR8055	3	1	2	9	5	0	0	1	1	0	0	1	0	1	0	1	2	1	0	0
AGPAT5	259	226	403	969	1571	1204	605	1234	501	606	354	712	731	491	1091	845	395	362	678	280
MIR4659A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4659B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901872	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986909	0	0	0	0	47	26	36	44	13	29	34	26	58	16	65	98	13	18	28	25
XKR5	1	0	2	0	62	49	56	71	34	44	44	39	84	37	111	154	35	31	54	22
GS1-24F4.2	0	0	0	0	1	6	0	9	3	0	6	5	3	2	2	3	2	1	1	2
DEFB1	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0
DEFA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA9P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA10P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFT1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFT1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377803	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	1	0	0
LOC101928095	0	0	0	0	5	0	1	6	2	2	0	0	0	0	5	9	0	0	1	0
LOC124901876	0	0	1	0	0	0	0	0	0	1	0	1	2	0	1	0	1	0	1	2
LOC124901878	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
LINC00965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC124901877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0
FAM66B	0	0	0	1	0	5	4	0	3	5	2	2	1	3	22	0	3	5	5	0
DEFB109B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF705G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB103B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG11B	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DEFB104B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB106B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB105B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB107B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR23D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377800	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
FAM90A22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986910	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC101929400	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM90A14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR23D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DEFB107A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB105A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB106A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB104A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB103A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF705B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM66E	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0
USP17L8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548I3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM85B	0	0	0	0	3	2	0	3	0	1	0	0	3	2	2	0	0	0	1	0
FAM86B3P	10	4	11	25	9	40	24	6	3	7	29	8	10	5	13	6	6	31	10	2
PRAG1	10	23	16	146	222	679	277	215	76	129	117	123	171	66	158	120	48	92	97	30
LOC124901879	0	1	0	0	0	0	3	0	0	0	1	1	0	0	1	0	0	0	0	0
LOC105379222	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
LOC124901880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901881	0	0	0	2	0	1	0	0	0	1	2	0	1	1	0	1	0	3	2	0
LOC105379225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN23	1	1	2	4	13	10	4	36	9	2	8	3	6	2	2	13	2	6	1	6
MFHAS1	199	164	137	524	1302	1103	677	1255	528	640	564	398	955	342	973	1034	444	472	452	307
LOC124900259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901866	0	1	0	0	1	0	0	1	0	1	1	1	4	1	4	3	0	1	0	0
LOC105379227	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ERI1	132	112	114	514	773	689	371	556	226	348	239	184	388	226	526	511	243	273	298	159
MIR4660	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
SNORD3I	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268402	2	1	0	13	8	13	5	8	1	1	6	2	6	10	10	7	6	5	9	5
PPP1R3B	357	431	652	1182	6643	4298	2007	5292	2087	2908	2459	2347	3721	2420	6345	5482	2623	2894	4310	2141
LOC124901882	2	1	2	9	5	8	4	6	1	5	7	7	6	12	13	16	3	9	14	1
PPP1R3B-DT	1	0	1	2	139	54	54	57	53	68	58	66	55	28	81	45	84	74	55	36
LOC101929128	0	0	0	0	19	37	14	4	3	9	5	18	5	2	15	7	9	12	11	2
LOC124901883	0	0	0	0	2	4	1	1	0	0	0	3	0	2	3	0	3	0	5	0
LOC157273	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	1	0	2
LOC105379228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
