	SRX3375391	SRX3375392	SRX3375393	SRX3375394	SRX3375395	SRX3375396	SRX3375397	SRX3375398	SRX3375399	SRX3375400
SLC2A3	55561	27116	57442	87433	40840	33026	18074	18962	1099	886
LOC124902871	199	89	127	180	45	46	77	157	135	51
FOXJ2	507	324	286	373	754	623	1020	1098	1217	1038
C3AR1	2	0	5	2	6	5	1	1	68	50
NECAP1	665	755	511	518	978	753	939	1194	773	709
CLEC4A	13	10	13	9	18	24	6	16	24	56
POU5F1P3	65	50	16	16	3	4	1	4	0	2
ZNF705A	0	0	0	0	0	0	0	0	0	1
FAM66C	34	27	37	46	83	83	25	47	72	129
FAM90A1	10	6	8	13	21	22	4	12	33	40
FAM86FP	12	13	24	24	74	71	22	40	22	32
LINC02449	12	13	16	21	42	41	10	12	26	23
LOC112268090	22	35	36	38	100	101	22	15	11	12
LOC107987171	11	10	19	13	129	159	26	25	4	8
LINC00937	10	17	27	34	93	93	11	12	0	2
CLEC6A	1	5	0	0	2	2	1	0	0	0
CLEC4D	2	5	0	1	9	4	2	0	0	4
CLEC4E	0	0	0	0	0	0	0	0	0	0
LOC124902872	1	1	0	1	0	0	0	0	0	0
LOC105369645	0	0	0	0	0	0	0	0	0	0
LOC124900334	0	0	0	0	0	0	0	0	0	0
AICDA	2	5	1	7	15	6	3	3	0	1
MFAP5	3	10	5	1	2	0	17	0	10	83
RIMKLB	2542	2285	2308	2352	2887	2977	983	1140	2074	2975
LINC02972	3987	4813	1396	1534	520	320	31	143	20	8
A2ML1	295	218	97	121	10	10	2	3	7	18
PHC1	5625	4690	1574	1596	970	689	372	403	970	869
M6PR	1810	1800	1329	1669	2022	1613	1125	1267	1273	1036
KLRG1	62	68	24	19	44	45	69	78	97	111
LINC00612	15	11	6	10	20	19	9	9	17	31
A2M-AS1	14	11	15	13	45	45	75	93	177	109
A2M	26	7	12	16	25	61	18675	11235	9483	6458
PZP	30	8	18	5	17	39	9	10	155	243
A2MP1	0	0	1	2	0	5	2	1	13	24
MIR1244-3	1	2	1	1	0	0	0	0	0	0
LINC00987	36	47	11	22	27	23	12	11	29	54
LOC124903067	0	0	0	2	0	3	0	2	2	7
LOC642846	230	273	106	137	313	332	25	43	192	162
LOC105369649	1	0	0	1	1	2	1	0	4	2
LINC02367	5	4	4	2	8	16	1	0	11	22
LOC101928030	1	0	0	0	0	2	0	0	3	3
LOC728715	66	59	34	34	61	75	2	3	50	52
LOC105369647	0	5	5	0	6	4	0	1	0	0
DDX12P	312	352	140	151	476	457	33	42	244	271
LOC124902873	18	32	13	14	32	32	0	2	28	31
LOC408186	184	106	65	81	174	173	28	50	175	193
KLRB1	7	2	0	0	4	10	0	4	31	44
LOC374443	133	106	105	166	277	281	133	172	756	647
LOC105369728	0	0	1	3	7	3	1	0	1	1
CLEC2D	147	90	101	123	206	270	122	223	818	710
LINC02390	1	1	0	0	0	1	2	2	5	8
CLECL1P	0	0	0	0	1	1	0	0	5	9
CD69	0	0	0	0	0	4	1	1	6	9
KLRF1	0	0	0	0	0	0	0	0	1	8
CLEC2B	0	0	0	0	0	0	1	0	12	14
CLEC2A	2	2	0	1	1	3	0	0	3	1
KLRF2	0	0	0	0	0	1	0	0	0	1
LINC02470	0	0	0	0	0	0	0	0	0	0
CLEC12A-AS1	0	0	0	0	0	0	0	0	0	0
CLEC12A	1	0	1	0	0	0	2	4	1	3
LOC124902874	0	0	0	0	0	0	0	0	0	0
CLEC1B	0	0	0	0	0	0	10	11	3	1
CLEC12B	0	0	0	0	0	0	0	0	0	0
LOC102724020	0	0	0	0	0	0	0	0	0	0
CLEC9A	0	0	0	0	0	0	0	0	1	14
CLEC1A	1	1	0	0	8	10	3	0	17	161
LOC105369655	0	1	0	0	0	0	0	0	0	0
CLEC7A	0	0	0	0	0	0	1	0	22	45
OLR1	0	0	0	0	0	0	12	6	17	15
TMEM52B	0	0	2	1	0	0	0	0	3	4
GABARAPL1	1588	1793	1511	2198	1617	1168	1429	2116	829	591
GABARAPL1-AS1	28	38	32	47	49	46	12	24	52	56
KLRD1	14	4	18	48	26	26	12	13	18	39
LOC124902875	2	0	2	0	0	4	0	0	1	2
LOC105369656	0	0	0	1	1	0	0	0	1	0
LINC02617	25	25	110	112	1	5	0	0	0	0
LINC02598	19	22	24	28	8	0	1	0	0	6
KLRK1-AS1	9	6	19	15	5	3	5	2	1	24
KLRC4-KLRK1	0	0	0	1	0	0	0	0	0	3
KLRK1	1	0	0	0	0	0	0	0	0	1
KLRC4	0	0	0	0	0	0	0	0	0	4
KLRC3	0	0	0	0	0	0	1	0	2	12
KLRC2	0	0	0	0	0	0	1	0	0	10
KLRC1	0	0	0	0	0	0	0	1	0	6
LOC105369657	0	0	0	1	0	0	0	0	0	1
EIF2S3B	59	63	51	55	52	38	11	19	11	22
LOC105369658	0	0	0	0	0	0	0	0	0	0
LINC02446	2	1	4	1	0	3	1	0	0	10
LOC105376675	1	2	1	6	0	6	4	0	0	10
KLRA1P	88	49	82	68	98	134	20	27	61	127
MAGOHB	481	652	412	500	757	741	226	256	362	585
STYK1	36	41	17	13	17	21	11	7	0	9
YBX3	5529	5787	2568	2832	3229	2676	2423	2929	2212	2062
LOC124902876	7	4	2	1	1	1	3	3	1	1
LOC112268104	0	0	1	1	0	2	0	0	1	0
LINC02366	0	0	0	0	0	0	0	0	1	0
TAS2R7	0	0	0	0	0	0	0	0	1	3
TAS2R8	0	0	0	2	0	0	0	0	2	4
TAS2R9	0	0	0	0	3	0	0	0	3	11
TAS2R10	4	3	6	4	7	15	8	4	26	51
PRH1-PRR4	0	0	0	0	0	0	0	0	0	0
PRR4	2	0	0	1	1	0	0	0	4	7
PRH1	4	7	10	3	8	22	10	6	53	64
TAS2R13	5	3	5	2	14	26	6	5	58	101
PRH2	12	2	11	19	22	76	10	5	149	272
PRH1-TAS2R14	0	0	0	0	0	0	0	0	0	0
TAS2R14	3	4	2	2	8	23	3	4	46	69
TAS2R50	4	0	11	1	14	19	3	1	53	55
TAS2R20	16	8	23	23	31	51	16	14	70	118
TAS2R19	22	17	11	20	41	77	10	6	137	146
TAS2R31	26	12	25	13	40	70	11	15	119	161
TAS2R46	10	5	4	2	5	28	1	3	38	56
TAS2R43	9	5	14	11	13	40	2	1	3	40
TAS2R30	26	5	15	16	46	97	8	6	104	177
SMIM10L1	604	773	411	607	862	657	912	1007	891	770
TAS2R42	0	0	2	0	1	2	0	0	1	4
LOC107987435	19	12	14	15	16	31	3	3	30	39
PRB3	5	7	9	10	11	15	4	8	4	3
PRB4	0	0	0	0	0	0	1	1	8	4
PRB1	0	0	0	0	0	0	0	0	0	2
PRB2	0	0	0	0	0	0	0	0	3	2
LOC124902878	0	0	0	0	0	0	0	0	2	2
LOC440084	1	3	0	0	2	0	0	1	1	3
LOC124902877	0	0	0	0	1	1	0	0	0	0
LINC01252	3	0	2	0	10	4	4	4	14	15
ETV6	657	712	659	815	467	361	585	448	957	1259
LOC124902879	28	11	23	23	37	54	17	8	156	338
BCL2L14	114	113	42	43	7	8	2	0	16	23
MIR1244-4	3	1	2	0	1	1	0	0	3	0
LRP6	5066	4381	3171	3502	6129	5420	2094	2198	4129	4840
MANSC1	192	196	45	48	178	160	222	202	364	380
LOH12CR2	5	8	4	8	7	5	16	23	30	21
BORCS5	214	199	103	112	238	224	221	258	351	424
DUSP16	1790	1799	1044	1422	1392	1100	1426	1671	1947	1609
LOC107984486	0	0	0	0	0	0	0	0	0	0
CREBL2	738	842	749	1066	1420	1035	723	839	631	592
LOC124902880	2	0	1	2	3	4	1	0	5	8
GPR19	472	558	298	234	720	473	97	62	37	52
CDKN1B	762	727	891	1149	1862	1408	1087	1467	1653	1408
LOC105369663	9	12	11	22	26	32	1	6	15	12
APOLD1	76	62	31	63	263	192	79	129	985	778
MIR613	1	0	1	0	1	4	0	0	5	10
DDX47	1932	2240	1706	2249	1996	1502	1100	1283	1157	1018
RPL13AP20	26	26	27	21	22	35	11	5	20	9
LOC124902881	0	1	0	0	0	1	0	0	0	1
GPRC5A	25	10	5	5	0	1	142	8	128	223
MIR614	0	0	0	0	0	0	0	0	0	0
GPRC5D-AS1	221	146	145	169	210	155	46	40	109	124
GPRC5D	14	20	8	6	20	20	8	0	25	38
LOC124903100	0	0	0	0	0	0	0	0	2	2
HEBP1	225	139	97	119	328	182	509	684	602	468
HTR7P1	70	155	35	23	148	92	89	67	202	206
FAM234B	1319	835	726	994	1414	1170	246	335	620	566
GSG1	23	15	4	5	13	21	2	3	36	34
LOC105369666	1	4	3	0	7	10	1	0	5	4
LOC124902882	0	0	0	1	0	0	0	0	2	4
EMP1	11	10	3	8	20	53	42	34	1720	1731
LINC01559	2	6	4	6	5	8	0	0	1	4
GRIN2B	173	90	27	50	125	269	10	7	105	135
LOC105369668	0	1	1	0	23	12	1	0	1	1
LOC105369667	1	0	1	0	0	0	0	0	0	2
LOC124902883	2	0	0	0	1	0	0	0	1	0
LOC124902884	15	15	17	18	20	27	4	2	18	33
ATF7IP	6563	5403	4284	4400	8460	7751	2785	2773	5956	6048
PLBD1	506	502	237	293	262	189	186	332	791	562
LOC101928317	4	5	1	0	1	1	1	0	14	20
PLBD1-AS1	1	1	1	3	6	2	1	11	15	14
GUCY2C	104	74	71	100	59	39	12	18	107	125
C12orf60	66	68	83	89	86	107	40	56	101	132
LOC105369669	89	120	68	67	110	75	29	39	22	36
H4C16	3646	3858	1486	1201	1522	876	704	822	579	522
H2AJ	362	462	169	194	292	199	268	285	600	505
WBP11	2901	2823	1920	2242	2962	2458	1742	1924	2208	1765
SMCO3	8	4	10	15	11	21	1	1	42	38
ART4	1	0	2	1	13	25	14	2	278	320
MGP	1	0	0	1	1	0	3	1	1808	2647
LOC124902885	0	0	0	0	1	0	1	0	0	0
ERP27	1	0	0	2	13	8	40	0	11	10
ARHGDIB	14	22	5	10	58	44	100	76	837	868
PDE6H	1	0	0	0	0	0	0	0	0	0
LINC01489	0	0	0	0	8	6	8	2	13	3
RERG	10	9	0	0	3	10	53	82	68	130
RERG-AS1	0	0	0	0	1	0	0	2	3	8
LOC124902887	0	1	1	0	1	7	2	2	29	75
LOC124902886	0	0	0	0	0	0	0	1	1	3
LOC105369673	0	3	0	0	1	0	0	0	1	4
PTPRO	41	41	1	2	0	0	3	3	37	116
LOC105369672	0	0	0	0	0	0	0	0	1	0
EPS8	132	139	69	68	71	55	169	221	1750	2078
LOC102724146	11	10	9	16	29	15	7	3	6	5
STRAP	5942	6269	3188	4027	4864	3846	3527	4567	2527	2167
DERA	598	459	924	1279	1415	918	363	447	467	435
LOC101928362	12	9	51	51	5	12	0	1	9	28
SLC15A5	0	1	4	3	1	3	0	0	2	11
MGST1	3360	3695	1294	1400	1396	1427	927	1669	94	229
LMO3	137	115	63	60	336	580	1234	1268	71	176
LOC105369677	0	1	0	0	1	2	2	0	0	0
SKP1P2	2	5	0	2	6	3	2	3	0	2
LINC02378	0	0	0	0	1	0	0	0	0	0
LOC124902888	0	0	0	0	0	0	0	0	0	0
LOC124902889	0	1	1	1	0	0	0	0	0	0
MIR3974	0	0	0	0	0	0	0	0	0	0
RERGL	1	2	0	0	0	0	1	1	7	4
PIK3C2G	0	0	1	2	17	47	15	0	12	20
LOC124902890	0	0	0	0	0	0	0	0	0	1
LOC124902891	0	0	0	0	0	0	1	0	0	0
PLCZ1	1	2	1	3	4	5	0	1	0	3
CAPZA3	0	0	0	0	0	0	0	0	0	0
LOC102724227	0	6	4	5	18	31	0	0	4	10
LOC107984527	0	0	0	0	0	0	0	0	4	3
PLEKHA5	2471	2581	1871	2674	2976	2805	2203	2110	3866	3943
LOC124902892	7	9	6	2	9	6	0	5	35	48
AEBP2	1548	874	654	815	915	861	399	459	781	1090
LOC101928387	8	7	10	7	10	4	12	20	31	55
LOC105369682	0	0	0	0	1	2	0	0	4	9
LINC02398	0	0	0	0	0	0	1	1	1	10
LOC124902893	0	0	0	0	0	0	2	0	9	31
LOC105369685	0	0	0	0	0	0	78	87	159	87
LINC02468	0	0	0	0	0	0	0	0	3	4
LOC105369686	0	0	0	0	6	10	0	0	1	3
LOC105369687	0	0	0	0	13	13	0	0	0	1
LOC105369688	0	0	0	0	0	4	0	0	0	0
PDE3A	30	39	10	38	1423	600	496	61	1862	4639
SLCO1C1	0	3	0	2	1	3	1	0	15	53
SLCO1B3	0	0	0	0	1	0	0	0	0	0
SLCO1B3-SLCO1B7	0	0	0	0	0	0	0	0	0	0
LOC124902894	0	0	0	0	0	0	0	0	0	0
SLCO1B1	4	4	2	11	10	10	1	2	2	3
LOC124902895	2	1	0	0	2	4	3	1	0	0
SLCO1A2	149	130	148	224	374	421	35	33	1	1
IAPP	3	3	1	2	5	4	7	3	0	0
PYROXD1	120	129	172	144	168	136	198	228	278	288
RECQL	1235	1531	852	927	1390	1052	401	478	766	868
GOLT1B	728	872	501	629	1028	1136	237	267	315	729
SPX	2	8	8	3	17	38	23	14	144	116
GYS2	7	7	0	0	3	5	6	6	38	20
LOC124902896	0	0	0	1	1	1	0	1	10	7
LDHB	31274	33017	17919	22991	25098	19923	19362	24050	19614	12523
LOC105369689	0	0	0	0	0	0	0	1	10	11
LOC102724261	0	0	0	0	0	0	0	0	0	1
KCNJ8	28	23	4	5	179	129	304	253	1156	627
ABCC9	2	0	19	23	6	10	119	66	2809	1950
CMAS	1732	1654	1187	1342	1283	964	695	848	635	571
LOC105369690	3	3	1	1	6	5	0	0	10	11
SULT6B2P	0	0	2	0	41	17	4	7	11	8
ST8SIA1	26	14	26	34	1941	1069	110	166	244	301
LOC112268093	3	0	3	2	106	134	7	5	55	69
LOC105369151	14	17	7	21	536	449	15	10	101	196
C2CD5	1239	1198	749	946	1515	1317	736	795	1706	1971
C2CD5-AS1	0	0	0	0	0	0	0	0	0	0
ETNK1-DT	5	6	7	5	9	6	1	1	0	0
ETNK1	3005	2793	2359	2889	3960	3473	1778	1699	1826	2568
LINC02955	8	3	184	361	256	370	2	0	2	70
LOC101928441	0	0	41	59	126	115	5	2	0	28
SOX5	48	62	136	122	1035	847	549	491	1453	1832
LOC105369697	0	0	1	0	3	1	0	0	5	6
MIR920	0	0	1	0	1	7	2	1	11	17
SOX5-AS1	1	0	2	0	3	4	4	5	9	17
LINC00477	1	0	2	0	0	0	0	1	0	0
LOC105369698	0	0	0	0	0	0	1	0	0	2
LOC124902897	0	0	0	0	0	1	0	0	3	8
BCAT1	22221	19621	11380	13089	5876	5833	2433	5066	1180	1546
LOC105369699	18	8	5	8	7	5	1	0	3	15
LOC124902898	24	11	11	7	6	11	4	2	8	27
LOC107984475	1	0	0	0	0	1	0	0	0	0
LINC02909	0	0	0	0	0	0	0	0	0	0
IRAG2	2	7	1	2	2	3	2	2	16	83
DNAI7	10	6	20	10	27	22	10	17	39	23
ETFRF1	134	144	83	91	269	286	231	316	372	462
KRAS	2739	2600	1900	2148	2397	2214	1150	1480	1359	1638
LOC124902899	13	7	7	4	11	14	5	3	25	43
LOC105369701	0	0	0	0	0	0	0	0	0	1
LOC124902900	0	0	0	0	0	1	0	0	1	2
LMNTD1	0	0	7	8	3	8	2	2	24	42
MIR4302	0	0	0	0	0	0	0	0	0	0
RASSF8-AS1	48	44	41	62	154	89	157	160	161	166
RASSF8	1155	1235	940	1200	2491	2219	1469	1903	2522	2780
LOC107984501	4	0	2	0	6	15	4	2	9	29
LOC124902901	10	3	7	4	13	21	4	0	30	50
BHLHE41	342	70	65	6	0	6	27	42	68	100
SSPN	33	13	32	26	39	24	166	399	3206	1935
LOC101928554	0	0	0	0	0	0	2	0	34	48
LOC105369705	0	0	0	0	0	0	0	0	3	1
LOC105369704	0	0	0	0	2	0	0	0	0	0
LOC107984482	0	1	0	0	0	0	0	0	1	7
ITPR2	2392	2321	1020	941	811	648	355	258	1806	2276
LOC124902903	8	1	4	1	1	3	2	0	14	16
LOC124902902	0	0	2	0	1	1	0	0	0	7
INTS13	4013	2996	1635	2336	1364	928	1010	1357	833	732
FGFR1OP2	757	683	531	743	963	757	444	565	796	960
TM7SF3	2695	2645	948	1259	1488	1014	1420	1184	1067	931
MED21	1005	1194	646	818	1112	887	957	991	1137	1220
C12orf71	1	0	0	0	0	0	0	0	5	6
STK38L	1691	2118	586	534	1121	898	1945	1411	3147	2601
LOC124902905	3	2	1	0	4	8	3	1	45	95
LOC124902906	4	3	1	1	2	2	2	0	9	13
BMAL2	599	904	139	117	338	327	98	93	272	283
BMAL2-AS1	0	2	0	0	1	3	0	0	1	2
SMCO2	17	12	6	3	6	8	2	0	11	7
PPFIBP1	960	744	2444	3289	5828	4410	1952	2523	3346	3409
MRPS35-DT	1	0	1	1	4	7	0	0	6	9
REP15	7	3	11	12	52	38	12	16	43	35
MRPS35	1547	1719	1226	1596	1368	1038	1186	1468	1565	1211
MANSC4	3	4	5	3	8	6	1	2	3	10
KLHL42	1064	1158	992	1216	1384	1289	841	694	1490	1787
LOC105369709	0	0	0	0	0	0	0	0	0	1
PTHLH	0	0	1	0	1	1	2	2	27	69
LOC105369710	0	2	2	5	10	11	6	4	8	15
LOC107984462	0	0	0	0	0	0	0	0	0	0
LOC729291	12	13	15	22	56	46	51	51	96	66
CCDC91	383	399	196	220	470	348	491	575	584	616
LOC105369711	0	0	0	0	0	0	0	0	0	3
LOC124902907	0	0	0	0	0	0	0	0	0	1
LOC101928735	0	2	0	1	0	1	0	0	0	0
LOC124902908	8	8	10	9	2	0	1	1	2	4
FAR2	720	664	902	1039	609	538	199	198	513	662
LOC100506606	11	6	7	5	21	19	12	18	70	97
ERGIC2	939	1027	748	962	1612	1333	1161	1296	1465	1452
OVCH1-AS1	0	3	1	1	6	3	3	2	3	10
OVCH1	2	1	3	2	12	8	2	1	19	47
TMTC1	1096	1094	1666	2048	4227	3635	411	209	4505	2659
LOC105369714	1	2	5	4	11	22	1	1	29	23
LOC124902909	1	0	0	0	4	7	0	0	5	6
LOC105369715	0	1	1	1	7	2	0	0	0	0
LOC105369716	0	0	0	0	0	0	0	0	0	0
LINC02386	0	0	0	0	0	2	0	0	0	0
LOC105369718	0	0	0	0	0	0	0	0	0	0
LOC105369719	0	0	0	1	0	0	1	0	8	9
IPO8	1640	1426	996	1131	2080	1605	1294	1342	1886	1579
CAPRIN2	1432	1432	1687	2701	1683	1426	619	972	1065	1322
LOC645485	1	2	2	3	2	8	1	2	3	11
LINC00941	81	88	173	245	24	23	2	1	10	23
LOC107984476	4	0	2	5	1	1	0	0	0	0
LOC124902911	12	7	9	19	18	13	2	6	5	7
TSPAN11	188	166	186	286	319	287	468	523	709	774
TSPAN11-AS1	43	22	19	28	28	50	4	22	110	119
DDX11-AS1	42	55	13	19	30	49	14	16	48	24
DDX11	1929	2350	974	1182	2618	2311	462	599	678	1129
OVOS2	102	87	58	127	365	366	2	4	16	39
LOC124902912	10	2	8	16	23	21	0	1	1	0
SINHCAF	9427	10024	5863	8688	8617	7646	1646	2165	1452	1200
FLJ13224	52	61	57	52	114	131	12	26	28	36
LINC02387	35	32	61	167	413	371	0	1	1	1
LOC124903091	0	0	0	0	0	0	0	0	0	0
DENND5B	535	613	566	705	2967	2435	7274	7560	6077	3851
LOC124903111	1	2	0	3	5	5	1	3	4	7
DENND5B-AS1	5	5	4	4	16	16	10	7	38	22
LOC124902913	0	0	1	0	0	0	0	0	0	0
ETFBKMT	41	53	40	41	146	95	122	155	149	152
AMN1	182	156	127	176	269	294	76	120	147	162
LOC105369722	4	2	4	1	1	10	2	2	3	9
LOC105369724	6	4	0	2	0	0	0	0	0	0
LOC107984470	0	0	0	0	0	0	0	0	0	0
H3-5	10	7	5	9	10	10	1	6	4	8
LINC02422	0	0	3	0	0	1	0	0	0	0
LOC105369725	5	3	1	2	11	10	0	3	8	5
RESF1	6606	8567	4757	7053	11743	9891	2056	2294	1840	2503
BICD1	498	412	188	183	715	933	176	219	669	1022
FGD4	2140	2075	623	800	762	675	249	215	1155	1033
LOC124902914	0	3	0	1	3	2	0	0	2	3
DNM1L	3550	3773	2221	2723	4350	3527	2901	4003	4045	3621
YARS2	1247	1523	878	1159	1298	885	596	736	560	519
PKP2	1230	1230	564	872	10722	7969	12587	19800	8812	4738
SYT10	26	43	12	5	801	438	127	82	7	28
LOC105369726	0	0	0	0	0	0	0	0	0	2
ALG10	221	224	342	385	712	764	137	137	233	331
LOC124902915	3	1	7	7	5	7	0	1	0	1
LOC124903068	0	0	0	0	0	0	0	0	0	0
LOC107984469	0	0	0	0	0	0	0	0	0	0
LOC124902916	0	0	0	0	0	0	0	0	0	0
ALG10B	163	122	275	316	536	568	256	337	591	713
LOC124902917	2	0	0	0	0	0	0	0	0	0
CPNE8	186	230	94	104	244	277	61	43	253	378
CPNE8-AS1	7	13	1	5	10	7	5	0	2	10
LOC107984484	0	0	0	0	0	0	0	0	0	0
LINC02406	0	1	0	0	0	1	0	0	2	1
KIF21A	2317	2176	525	463	2395	1929	1435	2426	3323	2831
LOC101927019	9	7	1	1	11	31	4	7	25	50
LOC124902919	0	0	0	0	0	0	1	0	0	0
ABCD2	2	1	1	0	2	4	5	3	6	18
LOC124902918	0	0	0	0	0	1	0	0	0	2
C12orf40	5	7	4	2	8	13	0	0	9	13
SLC2A13	854	553	595	805	787	754	202	251	390	546
LOC124900327	0	0	1	0	1	1	1	0	1	1
LOC112268095	3	2	0	2	5	9	0	0	6	16
LINC02555	0	0	0	0	0	0	0	0	0	0
LINC02471	0	0	0	0	0	0	0	0	0	0
LOC105369735	0	0	0	0	0	0	0	0	0	0
LRRK2	16	13	2	1	47	52	15	43	126	244
LOC105369736	0	0	0	0	0	0	0	0	0	0
MUC19	112	88	20	11	29	24	37	36	16	39
CNTN1	191	160	16	14	164	49	47	116	277	1015
LOC124903069	0	0	0	0	0	0	0	0	1	0
PDZRN4	3	0	96	169	51	17	13	0	43	50
LOC107984499	0	0	0	0	1	0	1	0	0	1
LOC107984498	0	0	1	1	1	1	1	0	0	0
LINC02400	0	0	0	0	1	0	1	0	0	0
LOC105378247	0	0	0	0	1	0	4	0	1	4
GXYLT1	838	738	1121	1373	2363	2283	449	469	703	1242
YAF2	32	35	201	220	353	373	460	545	565	775
LOC124902920	0	1	1	0	13	5	2	2	7	8
LOC124902921	0	0	0	0	0	0	0	0	1	1
ZCRB1	1090	1069	1006	1368	1864	1416	615	828	657	562
MIR7851	1	2	2	5	7	5	4	1	7	3
PPHLN1	1412	1735	1145	1282	1765	1415	1051	1312	1102	1049
PRICKLE1	204	339	438	352	1052	742	5426	5661	5535	4581
LINC02402	0	0	0	0	0	0	0	0	0	0
LINC02451	0	0	0	0	0	1	0	0	0	1
LINC02450	0	0	0	0	0	0	0	1	2	1
LINC02461	0	0	0	0	0	0	1	0	1	0
ADAMTS20	1461	650	1157	1515	307	662	52	65	11	60
PUS7L	555	675	493	523	1177	1097	237	342	951	1570
IRAK4	101	121	97	129	231	130	131	179	341	441
TWF1	743	675	439	550	721	623	675	668	488	654
TMEM117	41	44	20	16	38	27	475	596	494	496
LOC124902922	1	0	0	1	1	0	8	3	55	105
NELL2	2090	1881	1926	1925	2311	1024	480	230	372	602
DBX2	0	0	0	0	2	0	1	2	0	2
LOC105369742	0	0	0	0	0	0	0	0	0	0
RACGAP1P1	2	0	0	1	3	2	0	0	2	2
PLEKHA8P1	160	164	59	80	143	106	180	225	102	114
ANO6	3232	3157	2967	4321	4387	3122	4192	4839	4923	4149
LOC105369743	2	0	1	0	6	6	1	2	8	12
LOC105369744	0	0	0	0	1	1	0	0	0	0
LINC00938	225	145	149	257	444	380	253	305	340	389
ARID2	2558	2332	2782	3620	5767	5210	2672	2683	2953	3060
LOC105369745	8	8	9	4	18	39	1	4	23	39
SCAF11	4195	3979	4229	5461	7216	6438	5317	6106	7116	7073
SLC38A1	12152	13584	5215	5378	10941	11213	9602	9858	10552	8122
LOC105378248	146	155	103	103	190	205	45	65	83	118
SLC38A2	12200	15516	3938	6120	12375	10108	4519	4882	7172	7528
SLC38A2-AS1	4	1	1	3	1	4	0	0	0	3
SLC38A4-AS1	49	51	26	24	96	93	63	88	130	122
LOC124902923	19	3	3	4	17	30	4	3	39	87
SLC38A4	697	651	59	55	100	102	39	5	60	131
LOC124902924	1	0	0	0	2	1	1	0	3	8
LOC124902925	0	0	0	0	0	0	0	0	1	4
LOC107984466	1	1	1	0	0	3	0	0	4	5
AMIGO2	152	173	289	344	1172	636	109	43	216	236
PCED1B	119	120	166	149	116	82	15	12	37	39
MIR4698	0	0	1	2	1	1	0	0	0	1
PCED1B-AS1	2	1	0	3	2	2	0	0	7	10
LOC105369746	2	1	0	1	2	3	0	0	3	1
LOC105369747	2	0	1	1	4	1	0	0	0	0
LOC124900322	0	0	0	0	0	0	0	0	0	2
LINC02416	0	0	1	0	0	1	0	0	0	0
MIR4494	0	0	0	0	0	0	0	0	0	0
LINC02156	0	1	0	0	0	0	0	0	0	0
RPAP3	1613	1672	1067	1289	1680	1462	946	1160	1044	1126
RPAP3-DT	20	12	24	25	56	33	12	17	35	27
ENDOU	11	4	9	6	18	14	12	7	26	29
RAPGEF3	290	303	309	286	168	137	42	48	351	301
SLC48A1	305	301	210	224	456	285	367	435	513	390
HDAC7	2002	2261	1360	1928	2461	2081	895	899	1576	1919
LOC124902926	24	17	6	8	23	32	4	4	42	65
LINC02354	0	0	0	1	0	0	0	0	2	1
VDR	6	15	1	0	12	7	7	3	11	7
TMEM106C	290	349	100	150	1064	840	1107	1431	1977	1263
COL2A1	313	302	584	929	28266	33766	28015	65595	6028	11008
LOC105369752	0	0	0	0	9	20	3	5	0	6
LOC105369750	0	0	0	0	4	11	0	2	0	0
LOC124902927	0	0	0	0	1	2	0	0	1	0
SENP1	769	939	679	807	1548	1238	611	713	985	950
LOC101927180	10	12	4	5	11	15	1	2	25	38
PFKM	1645	1663	1421	2344	3852	2800	3303	4492	10941	5360
MIR6505	2	1	1	1	5	2	5	3	14	13
ASB8	126	134	117	145	389	276	755	899	1033	781
CCDC184	42	20	4	1	4	4	8	3	20	54
LOC102725258	1	1	0	0	2	3	0	2	11	28
OR10AD1	6	3	0	1	4	3	0	1	22	23
LOC105369753	0	0	0	1	0	1	0	0	0	2
H1-7	0	0	0	0	0	1	0	0	1	2
ZNF641	360	411	343	406	736	611	687	708	1183	1321
C12orf54	0	2	1	3	4	3	1	1	8	7
ANP32D	1	2	0	3	2	0	0	2	0	3
OR8S1	0	0	0	0	0	0	0	0	0	0
OR5BS1P	0	0	0	0	0	0	0	0	0	0
LALBA	0	0	1	0	0	0	0	0	0	1
LOC124902928	7	4	9	8	6	21	4	4	12	15
KANSL2	735	923	516	754	1304	972	789	1085	1127	911
SNORA2C	1	3	0	2	2	5	2	0	3	6
MIR1291	0	1	0	0	0	0	0	0	1	1
SNORA2A	15	13	8	11	11	23	22	12	15	24
SNORA2B	6	5	4	6	3	10	2	0	7	6
CCNT1	2729	2740	1722	2398	3816	3291	1736	2031	1909	1855
TEX49	10	7	2	10	34	29	5	18	121	117
ADCY6	286	295	437	542	1762	1581	1410	2038	9713	6802
MIR4701	0	1	1	1	3	0	0	0	8	7
ADCY6-DT	0	0	0	1	9	5	1	3	1	3
LOC101927241	1	2	2	1	17	13	2	3	6	16
CACNB3	162	113	138	227	637	509	346	459	448	533
DDX23	2602	3552	1499	1826	2983	2087	1657	1994	1897	1489
LOC105369755	0	4	2	2	6	4	1	0	1	3
RND1	63	70	21	35	152	122	24	19	8	17
CCDC65	38	30	33	35	45	60	17	34	23	57
FKBP11	500	477	204	208	173	222	124	103	157	267
ARF3	1086	1349	616	744	1031	691	925	949	459	360
LOC124903110	0	1	0	0	1	1	0	1	0	0
WNT10B	25	15	0	2	4	1	7	13	2	12
WNT1	0	2	0	1	1	1	0	1	0	1
LOC105369757	0	0	0	0	0	0	0	1	2	0
