	day0_rep1	day0_rep2	day2_rep1	day2_rep2	day5_rep1	day5_rep2	day14_rep1	day14_rep2	fetal_rep1	fetal_rep2
LINC02370	0	0	0	1	0	0	0	0	2	0
LOC124903090	0	1	0	0	0	0	0	0	1	0
LOC101929974	5	3	2	3	3	0	0	0	0	4
LOC124903056	0	0	0	0	0	0	0	0	0	0
LOC105370084	0	0	0	0	1	0	0	0	0	0
LINC02414	3	13	2	9	2	5	0	0	0	0
LOC105370086	1	2	3	1	1	0	0	0	0	1
LOC100996701	0	0	1	4	1	1	0	0	0	0
LOC124903057	4	5	2	0	2	1	0	0	1	0
LOC105370087	4	1	1	0	2	2	0	0	0	0
SFSWAP	2281	2263	1761	2114	2341	1844	955	1119	1438	2040
LOC105370088	1	1	2	1	3	0	0	0	0	3
MMP17	621	581	267	368	75	54	4	3	51	139
LOC124903058	3	0	1	1	1	0	2	1	0	1
LOC124903059	0	2	0	1	3	2	0	1	1	1
ULK1	1723	2299	817	1303	2542	1996	1597	1453	1329	1144
PUS1-AS1	6	15	4	10	5	3	3	6	6	6
PUS1	964	1484	304	395	569	509	184	192	253	332
EP400	3019	2113	2118	1979	3510	3565	1489	1329	3374	4140
SNORA49	173	100	151	185	421	390	232	308	203	232
EP400P1	102	95	53	65	204	196	89	88	127	166
LOC107987169	39	28	10	15	62	76	36	29	49	62
DDX51	781	1089	626	901	1137	1019	510	670	652	694
NOC4L	690	1055	449	472	566	448	333	369	266	268
LINC02361	18	16	13	14	12	13	19	44	12	20
GALNT9	5	4	1	1	2	1	1	0	94	61
LOC105370091	0	1	0	2	5	0	1	1	8	8
GALNT9-AS1	30	36	20	37	10	6	0	0	21	59
LOC101928416	0	0	0	0	0	0	0	0	0	0
LOC105370092	5	8	10	11	8	14	3	4	27	37
LOC112268102	6	7	5	5	13	11	1	5	19	37
LOC124903060	0	0	0	0	2	0	1	0	4	6
MUC8	0	0	0	0	2	0	0	0	0	5
FBRSL1	1415	1920	742	975	1685	1547	1106	1142	1360	1372
LOC124903061	38	33	47	68	88	81	57	83	143	165
MIR6763	1	1	0	1	2	0	0	1	0	1
LOC124903062	1	0	0	1	1	0	0	4	0	4
LOC105370094	0	0	1	1	5	3	0	2	4	3
LRCOL1	1	2	0	2	4	2	1	1	9	8
P2RX2	33	37	32	58	80	73	3	1	14	12
POLE	5105	5519	3976	4435	6784	6258	993	1226	3453	4109
PXMP2	182	349	286	378	693	471	474	646	1323	804
LOC124903063	21	31	22	48	74	50	29	34	48	39
PGAM5	4390	5797	2134	2502	2819	2279	1511	1864	1236	938
ANKLE2	2615	3234	2275	2879	3907	3066	2134	2554	2794	2684
GOLGA3	3479	3223	2962	3401	5496	5221	4360	4268	6071	6955
CHFR	2420	2714	1717	1882	1589	1150	859	1114	908	1051
CHFR-DT	15	9	6	8	10	7	6	16	1	8
LOC124903065	23	11	26	37	36	45	28	34	33	44
ZNF605	1508	1431	1066	1216	1909	1832	982	1005	1248	1625
LOC124903064	4	3	5	25	21	21	10	22	17	17
ZNF26	635	663	584	716	957	886	245	307	607	922
ZNF84-DT	0	1	0	4	1	1	0	0	1	1
ZNF84	3237	3026	2156	2850	3796	3771	1442	1907	2367	3132
ZNF140	101	179	116	150	277	183	101	107	154	142
ZNF891	776	597	406	539	823	920	171	179	633	983
ZNF10	515	532	343	437	857	752	474	566	479	563
ZNF268	1997	2526	2146	2530	4578	3687	1293	1435	1408	1425
ANHX	0	0	0	0	0	0	0	0	0	0
FAM230C	0	0	0	0	0	1	0	0	0	0
LOC105379278	0	0	0	0	0	0	0	0	0	0
LOC124903275	0	0	0	0	0	0	0	0	0	0
LINC00417	0	0	0	0	0	0	0	0	0	0
ANKRD20A9P	1	0	0	0	1	0	0	0	1	12
LINC00408	0	0	1	0	0	0	0	0	0	0
LINC00442	0	0	0	0	0	0	0	0	0	1
LOC107984132	0	0	0	0	0	0	0	0	0	0
TUBA3C	0	0	0	0	0	0	0	0	0	0
LOC101928697	0	0	0	0	0	0	0	0	0	0
LOC124900335	11	3	6	2	9	11	4	8	2	7
ANKRD26P3	0	2	1	0	0	0	0	0	0	0
LINC00421	0	0	0	0	0	0	0	0	0	0
TPTE2	6	0	2	2	1	1	1	1	11	10
TPTE2-AS1	1	1	0	0	0	2	1	0	1	5
MPHOSPH8	863	880	666	802	1082	959	840	934	1104	1323
PSPC1	1806	2721	1581	1716	3356	3265	1661	1841	2370	3161
ZMYM5	279	354	353	511	583	522	450	576	613	824
ZMYM2	9559	8872	9701	13692	14197	13928	7374	8366	7376	8474
LOC124903265	0	0	1	0	1	2	0	0	2	1
LINC01072	0	1	1	0	0	1	0	1	0	0
LOC105370101	0	1	2	2	4	0	1	0	0	1
LOC124903128	0	0	0	1	1	1	7	7	11	8
GJA3	30	25	9	10	11	7	4235	4479	3745	1910
LOC107984553	0	0	0	0	0	0	1	0	0	1
GJB2	7	3	0	1	5	9	22	57	6	24
GJB6	0	0	0	0	2	0	0	1	0	12
LOC105370102	0	0	0	0	2	0	0	0	0	0
CRYL1	16	28	21	18	89	57	290	525	336	245
MIR4499	0	0	0	0	0	0	0	0	1	1
LOC105370103	1	2	2	2	8	4	0	2	6	5
IFT88	246	256	374	619	935	682	682	663	777	948
IL17D	55	70	31	21	157	130	533	638	266	276
EEF1AKMT1	102	131	112	116	215	189	154	240	153	152
XPO4	4672	4888	2786	3277	4654	4556	9019	10740	17533	11892
LOC124903129	9	14	9	9	13	14	3	5	64	88
LINC00367	2	2	5	2	1	2	0	0	1	1
LOC124903269	0	0	0	0	1	0	0	0	0	1
LATS2	1242	1075	608	632	1733	1552	1063	1108	1789	1722
LOC105370104	1	4	1	0	1	1	0	0	2	0
LOC124900339	3	3	1	2	3	8	0	2	1	1
SAP18	2721	3063	2395	3089	2996	2186	2709	3024	2467	1819
SKA3	2094	2911	804	790	1525	1121	123	112	526	636
MRPL57	1242	1913	850	1096	1460	1104	1085	1226	1099	812
LINC01046	1	0	0	0	0	0	0	0	0	0
LOC105370105	0	0	0	0	0	2	0	0	1	0
LOC101928764	2	5	5	7	12	15	4	6	5	11
MIPEPP3	95	143	87	112	142	92	101	81	61	111
LINC00539	8	13	10	6	23	15	0	4	25	45
GRK6P1	11	3	5	4	13	8	2	2	18	33
ZDHHC20	4320	4788	3063	4002	5174	3921	1834	1633	1486	1818
LOC124903130	13	7	4	3	13	11	4	1	12	16
LOC124903131	5	4	3	3	3	1	0	0	0	1
MICU2	1238	1237	1062	1325	1629	1220	1357	1603	1304	1298
LOC124903270	0	1	0	2	0	3	0	0	1	4
FGF9	6	8	2	0	1	3	149	112	239	343
LOC124903132	0	0	0	0	0	0	0	0	0	0
LINC00424	0	0	0	0	0	0	0	0	0	0
LOC105370108	216	138	177	145	194	353	35	34	93	82
LINC00540	58	70	50	53	75	67	18	36	11	9
LOC107984599	13	3	18	16	24	30	8	9	12	11
LOC124903133	2	1	4	1	6	8	1	1	7	6
LINC00621	52	83	127	111	85	71	8	26	12	45
LOC105370109	1	3	2	1	0	6	0	0	3	0
BASP1P1	3	0	3	0	1	1	0	0	0	1
LOC124903230	4	11	37	17	28	20	1	5	20	35
LOC105370111	0	0	0	0	0	0	0	0	0	0
LOC105370112	0	0	1	0	0	0	0	0	1	1
LOC124903134	0	1	0	0	3	1	0	0	0	0
SGCG	7	3	12	9	32	12	18	9	410	207
LINC00362	0	0	0	0	0	2	0	0	0	3
LOC107984585	10	4	1	1	10	9	4	6	39	33
SACS	8041	7687	3424	3140	7354	7940	4125	5786	8214	7674
SACS-AS1	9	12	1	1	13	18	3	3	7	33
LINC00327	1	6	2	2	28	16	61	95	43	38
LOC124903135	1	1	0	0	1	0	47	65	87	46
TNFRSF19	23	38	120	467	6985	4042	10189	28733	3584	2893
LOC105370113	7	5	5	3	4	12	3	0	8	15
MIPEP	966	1116	686	769	802	622	780	750	669	548
PCOTH	0	0	0	1	1	1	0	1	0	2
C1QTNF9B	1	1	2	1	1	4	0	1	0	2
ANKRD20A19P	0	3	2	0	2	1	0	0	2	3
LOC105370115	0	0	0	1	5	2	1	0	0	0
SPATA13	3121	3462	973	1207	3553	2494	396	512	1148	1192
LOC124903136	0	0	0	0	0	0	0	0	1	1
MIR2276	3	3	0	0	4	2	0	0	0	0
SPATA13-AS1	11	3	1	0	5	11	0	0	7	8
C1QTNF9	1	1	0	0	3	3	3	0	54	28
LINC00566	0	0	0	0	0	0	0	0	0	0
PARP4	3618	3860	2169	2589	3533	2673	2862	3142	2948	3092
LOC105370117	18	12	7	10	13	10	2	4	15	19
LOC105370295	35	45	1	3	4	3	2	3	26	11
LOC101927375	52	47	3	2	2	4	0	7	74	130
TPTE2P6	23	19	16	7	24	13	3	9	50	64
LOC107984610	1	0	0	0	0	0	0	0	0	2
ATP12A	103	81	104	95	78	71	0	0	1	19
LOC105370118	0	0	1	0	0	0	0	0	0	0
RNF17	25	24	13	16	40	26	2	4	59	68
CENPJ	1912	2098	1180	1273	2626	2322	393	517	1194	1632
TPTE2P1	38	45	65	78	164	134	40	50	55	125
LOC105370119	51	60	15	8	39	25	3	4	2	49
LOC124900613	0	0	0	0	0	0	0	0	0	0
PABPC3	44	38	38	33	34	34	6	4	27	18
LOC105370120	0	0	0	0	1	1	0	0	0	0
AMER2	2	3	1	0	4	3	12	3	74	235
LINC00463	0	0	0	0	0	0	0	0	0	0
LINC01053	1	0	0	0	0	0	0	0	0	1
LOC105370121	0	0	0	1	1	4	0	1	5	7
MTMR6	706	792	640	734	1306	835	1339	1497	1249	1306
NUP58	5497	4614	3556	4264	4523	3867	2276	2923	3086	2939
ATP8A2	470	561	102	115	242	306	1000	304	267	450
LOC105370122	6	1	6	4	4	8	1	0	0	4
SHISA2	808	359	3167	7828	10615	12568	1113	390	280	553
LINC00415	0	0	0	1	2	1	0	0	0	0
RNF6	984	1042	883	1150	1448	1190	1563	1595	1062	958
CDK8	1663	1591	931	1075	1551	1350	1750	1938	771	918
WASF3	2322	2103	1901	2150	2041	1462	1716	1773	1081	1301
LOC107984597	19	22	14	12	20	32	5	4	39	81
GPR12	1	2	1	0	0	2	0	0	1	2
LOC105370124	15	16	1	7	6	12	5	1	35	56
USP12	1323	1493	811	927	1301	1221	864	808	1115	1273
USP12-AS1	15	9	8	7	9	19	5	2	17	38
USP12-DT	1	4	1	2	2	2	6	5	1	2
LOC124903137	2	6	2	2	4	9	0	2	1	1
LINC00412	4	3	6	3	7	7	1	3	4	11
RPL21	15755	16345	13101	16092	20342	15464	6249	8261	11970	9168
SNORD102	27	35	23	37	31	49	9	6	19	40
SNORA27	47	58	16	31	42	53	14	11	16	27
RASL11A	28	35	15	17	25	11	23	12	63	87
LOC105370126	0	3	4	0	0	1	0	1	0	1
LOC124903138	0	0	1	2	3	1	1	0	1	1
GTF3A	2120	2502	1148	1192	1681	1102	1687	2267	2931	2014
MTIF3	698	727	539	694	813	616	555	746	894	706
LNX2	1042	1196	828	952	1346	1206	707	871	2491	1953
POLR1D	4189	3887	3633	4968	3432	2450	1155	1451	1947	1432
LOC105370129	0	0	1	0	0	0	0	0	0	2
GSX1	0	1	1	0	0	1	0	0	0	0
PLUT	1	0	0	0	1	4	0	0	0	0
LOC124903139	0	0	0	0	1	0	0	0	0	0
LOC105370130	0	0	0	0	0	0	0	0	0	0
PDX1	0	1	0	0	1	5	5	0	2	3
LINC00543	1	0	0	5	1	2	1	1	1	0
CDX2	9	27	88	120	5	2	38	2	0	1
URAD	0	0	0	3	0	0	2	1	0	0
LOC105370132	0	0	0	0	0	0	0	0	0	0
FLT3	15	29	5	3	6	9	0	0	2	14
PAN3-AS1	38	40	63	89	109	104	45	42	56	81
PAN3	1789	1610	2158	3229	2346	2545	673	641	1509	2196
LOC124903140	74	50	105	126	127	213	21	28	199	407
FLT1	4499	6580	1479	2169	3851	3517	892	494	2916	2986
LOC124903141	3	6	0	1	2	2	0	0	5	13
LOC124903142	0	1	4	1	2	2	1	0	0	0
LOC105370135	1	0	0	0	1	0	0	0	0	1
POMP	3062	3976	1819	2268	2641	1921	2032	2301	1614	1400
LOC124903143	10	27	7	9	29	23	12	5	11	2
SLC46A3	6	17	67	199	122	98	356	514	125	156
MTUS2	46	27	11	22	239	118	1643	3605	13757	8250
LOC124903144	0	0	0	0	6	2	5	3	418	663
MTUS2-AS1	0	0	1	3	11	5	3	9	233	169
SLC7A1	5316	4741	1434	1329	1998	1950	2106	2597	2173	1898
LOC102723345	24	27	8	17	40	24	2	7	0	1
LOC105370139	0	0	0	1	1	2	0	0	1	0
UBL3	943	963	1551	2100	1432	1085	1265	1164	1118	1087
LINC00297	0	0	0	0	1	0	0	0	0	0
LINC00572	0	0	1	1	0	0	0	0	0	0
LINC00544	0	0	25	26	0	0	0	0	0	0
LINC00365	0	0	1	4	1	0	0	2	5	9
LINC00384	0	0	0	0	0	0	0	0	0	1
LINC00385	0	0	0	0	0	1	1	0	2	2
KATNAL1	761	645	697	843	1315	1121	1146	1591	3498	3266
LOC102723381	7	0	7	4	11	21	1	5	50	86
LOC124903145	7	2	2	1	12	9	3	3	16	60
LINC00426	1	1	2	2	0	1	0	0	3	20
LINC01058	2	3	1	2	5	1	1	2	0	1
UBE2L5	4	6	4	5	8	5	7	2	4	3
LOC107984577	1	12	2	4	3	6	3	1	4	6
HMGB1	13069	16948	8855	8466	15007	11584	3588	4300	7519	8224
USPL1	1096	1242	718	1050	1879	1704	858	1130	1047	1218
TRN-GTT2-4	5	9	3	2	30	30	7	10	5	9
ALOX5AP	0	1	1	0	0	0	2	0	21	38
LOC124903146	0	0	0	0	0	0	0	0	0	0
LINC00398	0	0	0	0	0	0	0	0	0	1
LINC00545	24	30	9	7	3	2	0	0	0	0
TEX26-AS1	2	3	2	0	0	0	0	0	0	1
MEDAG	110	82	30	44	12	5	13	0	259	475
TEX26	0	0	0	1	2	3	5	0	0	4
LOC105370145	0	0	0	0	0	0	0	0	0	0
LOC124903147	0	0	0	0	0	1	0	1	0	0
LOC102723392	0	0	0	0	0	0	0	0	0	1
HSPH1	5398	8150	1810	1414	3128	3181	3123	3585	3173	3556
LOC105370148	10	6	5	4	25	31	3	8	19	15
B3GLCT	260	412	372	465	1069	721	435	384	1467	1165
LOC124903148	0	0	1	0	0	0	0	0	0	2
LOC105370150	0	1	0	0	0	0	0	0	0	0
RXFP2	0	0	1	1	0	0	0	0	0	11
LOC105370152	0	0	0	0	2	0	0	0	0	0
LOC124903150	0	0	0	1	0	0	0	0	0	0
EEF1DP3	6	8	4	4	160	160	2	2	55	48
LOC124900336	23	22	12	8	116	241	5	2	194	257
LOC124903149	0	2	0	0	3	7	0	0	5	6
FRY-AS1	10	6	1	2	32	41	11	6	56	70
FRY	575	428	150	165	4005	3861	900	550	8467	6725
ZAR1L	17	12	4	5	8	8	1	1	0	3
BRCA2	2080	2098	1594	1214	4081	4175	243	219	1590	2214
N4BP2L1	129	115	86	161	1592	1486	31	23	166	196
LOC124903256	0	0	0	0	0	0	0	0	0	0
N4BP2L2	2184	2402	1763	2217	4600	4382	2197	3035	4117	4733
MICOS10P1	18	12	9	13	31	45	27	17	97	152
N4BP2L2-IT2	0	0	0	0	0	0	0	0	0	0
PDS5B-DT	1	1	0	1	0	1	0	0	0	1
PDS5B	1877	1598	1510	1693	2976	3051	1461	1458	2913	4098
LINC00423	0	0	0	0	0	0	0	0	0	3
LOC124903151	0	0	0	0	1	0	0	0	1	1
KL	1	1	1	2	23	26	3	1	86	64
STARD13	316	238	187	174	597	482	320	421	1722	2244
STARD13-AS	4	3	6	2	11	27	4	5	110	153
LINC02344	0	0	0	0	0	0	0	0	12	30
LOC124903152	1	1	0	0	1	1	0	1	27	48
LOC102723406	0	0	0	0	3	4	0	1	46	65
LOC107984551	0	0	0	0	0	0	0	0	1	2
RFC3	2501	2524	1723	1360	3264	4943	314	368	2404	4249
LOC105370156	5	2	3	1	2	9	0	0	6	14
LOC107984589	1	1	2	0	4	4	0	1	3	6
LOC124903153	19	2	9	8	19	35	2	4	12	22
LOC124900343	0	0	1	0	0	1	0	0	0	0
LOC124903154	7	1	1	0	0	1	0	3	0	2
LINC02343	0	0	0	0	0	1	0	0	0	0
LINC00457	0	0	0	0	0	0	0	0	0	0
LOC105370159	0	1	0	0	0	0	0	0	0	0
LOC107987189	0	0	0	0	0	0	0	0	0	0
LOC124903231	3	4	1	1	2	1	0	1	1	3
NBEA	2283	1322	1103	1111	1986	1919	2164	1840	3218	3935
LOC124903232	37	27	23	14	34	51	10	6	71	183
MAB21L1	10	2	17	18	5	12	10	4	52	146
LOC105370161	0	0	0	0	0	0	0	0	0	0
LOC124903224	0	0	0	0	0	0	0	0	0	0
LINC00445	1	0	1	0	1	0	0	0	0	0
DCLK1	4519	5215	5122	4095	103	25	101	61	133	957
LOC105370163	4	2	2	4	0	0	0	0	0	15
LOC107984604	0	0	0	0	0	0	0	0	0	1
CCDC169-SOHLH2	0	0	0	0	0	0	0	0	0	0
SOHLH2	37	24	9	6	13	15	1	2	0	0
CCDC169	742	758	387	445	452	596	84	88	14	29
SPART	3695	4944	3935	3668	4304	3694	998	1019	1324	1579
SPART-AS1	10	31	22	19	33	46	3	3	8	22
CCNA1	68	68	8	10	27	27	2	2	191	79
LOC124903155	0	0	0	0	0	0	0	0	0	0
LOC124903157	0	1	0	0	0	0	0	0	0	3
SERTM1	28	32	3	0	9	37	38	15	47	31
LOC102723490	0	5	1	2	1	15	5	6	10	17
LOC124903156	0	0	0	0	0	3	0	0	1	1
LOC124903158	0	0	0	1	0	5	1	0	4	5
RFXAP	186	125	107	119	238	199	123	135	165	268
SMAD9	140	89	132	188	3677	4097	1884	2185	1861	1963
ALG5	429	643	494	610	951	720	465	542	461	426
EXOSC8	1732	2037	1234	1414	1892	1443	689	981	807	800
SUPT20H	2554	2828	2059	2168	2842	2166	2013	2586	2140	2221
CSNK1A1L	3	3	0	1	2	5	4	1	4	8
LOC105377814	0	0	4	1	6	7	0	0	0	0
LOC124903159	1	1	4	3	8	6	2	1	0	1
LINC01048	0	0	0	0	1	2	0	0	0	2
LINC00547	0	0	0	0	0	2	0	0	0	0
POSTN	94	104	0	1	43	40	1061	228	31590	46013
TRPC4	86	81	150	465	1763	1491	19	5	70	111
LOC124903160	7	13	7	21	69	62	0	0	3	6
LINC02334	2	8	12	4	13	14	4	10	50	64
LINC00571	1	1	3	1	9	2	9	10	28	29
UFM1	1784	1729	1267	2139	2113	1912	1042	1187	1370	1819
LINC00437	2	2	0	2	6	7	2	2	7	4
LOC105370167	1	0	0	0	0	0	0	0	0	0
LINC00366	0	0	0	0	1	0	0	0	0	0
FREM2	5968	3348	3173	2618	11721	9667	4982	2623	10708	7166
FREM2-AS1	1	1	0	1	4	3	3	0	4	3
STOML3	0	0	0	0	0	0	0	0	3	9
PROSER1	1545	1484	527	556	937	946	459	444	769	968
NHLRC3	637	559	525	747	1481	1285	599	735	1034	1231
LOC105370169	0	0	0	0	0	0	1	0	0	3
LOC105370168	1	1	0	0	4	1	1	3	67	88
LOC107984579	0	0	0	0	0	1	1	1	1	3
LOC124903161	0	0	0	0	0	0	0	1	2	10
LOC107984580	1	0	0	0	0	2	1	1	15	60
LHFPL6	27	60	71	177	173	126	519	764	1732	2114
LOC124903266	0	0	0	0	0	0	0	0	22	33
LOC105370170	0	0	0	1	4	4	2	1	81	165
LOC112268119	2	0	2	2	4	3	6	8	21	12
COG6	876	815	1128	1499	1774	1426	1425	1562	1531	1457
MIR4305	0	1	0	1	6	7	0	0	10	7
LOC124903255	0	0	0	0	0	0	0	0	0	0
LOC105370171	0	0	0	0	0	0	0	0	0	0
LOC107984569	0	0	0	0	0	0	0	0	0	0
LOC124903162	9	0	2	3	4	3	0	6	4	9
LINC00332	2	2	1	1	1	3	0	0	0	1
LINC00548	2	1	1	1	4	3	0	1	6	6
LINC00598	15	10	5	9	11	7	8	11	18	21
FOXO1	2492	2143	732	806	662	496	1440	915	2990	4367
MIR320D1	4	1	0	1	4	3	1	1	4	3
MRPS31	1005	1355	908	1049	1250	972	940	1215	884	864
SLC25A15	1179	1427	1009	1224	1509	1216	924	1158	661	668
TPTE2P5	32	27	34	31	58	67	25	27	47	116
MIR621	0	0	0	0	0	0	0	0	0	0
SUGT1P3	4	2	8	4	10	11	5	8	9	20
ELF1	628	620	663	848	945	714	1116	1208	1399	1412
TRE-TTC1-2	3	3	3	3	10	5	1	0	5	5
WBP4	783	909	692	791	1058	836	629	752	709	682
MIR3168	0	0	0	0	0	0	0	0	0	0
KBTBD6	835	1022	509	694	1160	1091	860	1117	686	840
LOC101929140	27	31	41	53	106	98	17	21	20	35
LOC124903260	1	1	1	5	2	3	0	1	0	2
KBTBD7	967	1203	744	799	1425	1211	755	967	711	714
MTRF1	451	457	465	615	566	555	270	380	319	429
LOC105370173	4	0	1	1	15	12	3	0	2	7
NAA16	1243	1498	696	881	1456	1566	338	393	969	1519
OR7E37P	4	0	0	0	0	0	0	0	1	3
RGCC	2	10	5	34	89	58	7	4	331	274
LOC105370174	2	3	1	1	2	3	3	1	11	12
LOC105370175	0	0	1	0	0	0	0	0	0	0
VWA8	1626	1434	1258	1474	1729	1478	2295	2572	3131	3288
MIR5006	0	1	1	0	1	1	0	0	3	2
VWA8-AS1	5	9	7	8	13	13	7	9	6	11
LOC105370176	0	0	0	0	0	0	0	0	0	1
DGKH	922	494	423	401	1086	1636	561	907	4728	4682
AKAP11	1729	1519	1097	1232	2690	2681	2778	3161	3540	3905
LINC02341	1	1	2	1	0	0	0	0	0	1
TNFSF11	108	104	13	5	13	16	1	1	1	10
LOC124903163	0	0	0	0	0	0	0	0	0	0
LOC124903164	0	0	0	0	0	2	0	1	3	12
FAM216B	9	2	7	7	3	4	0	0	67	53
LOC107984611	0	1	3	6	5	2	1	0	2	0
LINC01050	9	7	8	3	0	0	0	0	2	0
LINC00428	1260	1190	262	195	11	4	0	0	0	3
EPSTI1	26	31	221	449	1666	2207	872	1460	429	557
LOC124903165	2	3	10	11	6	7	0	1	3	5
LOC105370178	0	0	0	0	1	3	0	0	2	0
LOC105370179	0	0	0	0	0	0	0	0	0	0
DNAJC15	395	471	668	859	1596	1238	1052	1682	2186	1868
LINC00400	2	0	0	0	2	4	3	2	0	0
ENOX1	11	8	8	8	78	44	761	1050	2151	2600
ENOX1-AS2	0	0	0	0	0	0	3	0	18	18
LOC124903166	1	0	2	0	2	2	7	7	12	5
CCDC122	107	81	215	248	220	144	134	231	293	234
LACC1	361	238	275	476	108	85	537	993	510	312
LOC105370182	0	0	0	0	0	2	1	0	0	3
NRAD1	1	1	0	1	0	0	0	3	0	5
LINC00390	2	2	0	1	1	1	3	2	4	7
SMIM2-AS1	5	3	5	5	12	10	17	23	16	14
SMIM2	2	5	2	3	10	4	3	10	4	5
SMIM2-IT1	0	0	1	0	0	3	0	2	1	2
MIR8079	0	0	0	0	1	0	0	0	0	0
LOC107984552	0	0	0	0	0	1	0	0	1	7
LOC105370297	30	28	25	31	143	124	17	57	52	67
SERP2	22	18	24	22	99	83	181	206	166	156
TUSC8	6	13	3	1	35	20	6	3	0	19
TSC22D1	2948	2951	5082	5617	16853	11073	14149	17193	4764	5515
LOC124903167	3	5	4	1	6	9	1	0	9	30
TSC22D1-AS1	20	27	9	16	25	17	4	10	34	48
LOC124903261	0	0	0	0	0	0	1	0	0	0
LINC00407	2	0	0	1	0	2	0	1	1	4
LOC105370185	1	1	0	0	0	0	0	0	0	1
LINC00330	0	0	0	0	0	1	0	1	0	3
LOC105370187	0	0	0	0	0	0	0	0	0	0
LOC107984619	0	0	0	0	0	0	0	1	1	1
TRE-TTC2-1	4	0	10	9	35	31	9	11	11	2
NUFIP1	881	938	619	710	778	683	317	373	298	327
GPALPP1	1144	1128	1213	1558	2112	1849	712	983	920	1085
LOC105370188	1	1	0	0	0	0	0	0	0	0
LOC107984596	0	0	0	0	0	0	0	0	0	0
LOC101929259	0	0	1	1	2	2	0	0	2	3
GTF2F2	1967	2181	1356	1561	1985	1627	983	1198	1114	992
KCTD4	18	5	8	4	12	32	6	1	35	70
LOC124903168	4	1	2	2	7	5	2	0	16	30
LOC105370190	13	4	7	4	11	11	0	0	10	39
TPT1	29176	31146	26527	36555	58904	46095	22126	24863	56089	49997
SNORA31B	0	0	0	0	0	0	0	0	0	0
SNORA31	3	6	1	5	11	7	0	0	7	6
TPT1-AS1	167	132	191	286	498	437	242	303	377	468
LOC124903169	7	16	14	13	25	19	8	14	30	53
SLC25A30	547	374	409	462	538	403	470	481	1075	863
SLC25A30-AS1	2	1	2	1	3	4	2	2	5	2
COG3	1054	1055	1015	1282	2064	1778	1097	1139	1713	1827
ERICH6B	0	0	1	0	0	0	0	0	1	0
LINC01055	1	1	0	0	0	1	0	0	0	0
CBY2	5	3	0	2	1	2	1	0	0	0
SIAH3	10	4	0	0	6	12	148	137	7	15
LOC105370191	0	1	0	0	0	0	0	0	0	0
ZC3H13	5037	4601	3481	3144	5542	4996	3361	3622	3664	4003
CPB2-AS1	5	5	5	18	24	23	4	6	5	21
CPB2	6	10	9	15	17	38	20	3	15	32
LCP1	420	624	188	78	1756	1021	189	28	301	973
LOC107984578	5	2	1	3	265	402	19	5	1	11
LOC105370192	0	0	0	0	7	6	1	0	0	0
LRRC63	1	2	8	3	387	590	18	20	12	19
LOC124903262	0	0	0	0	5	11	0	0	1	3
LOC105370194	0	0	0	1	42	39	0	0	0	0
LOC124903170	0	0	0	1	18	11	0	0	1	0
LINC00563	0	0	0	0	4	5	0	0	0	1
RUBCNL	153	180	308	364	1873	1778	51	62	59	162
LINC01198	7	15	12	24	321	313	4	0	1	3
LOC112268117	0	1	5	16	310	223	3	0	0	1
LOC124903171	0	0	0	1	42	30	1	0	0	2
LRCH1	691	509	378	342	1939	1763	719	807	1248	1494
LOC107984563	0	0	0	0	0	0	0	0	0	0
ESD	2369	2423	2720	3940	4703	3508	2746	3986	3414	2941
HTR2A	0	0	0	0	5	2	1	0	58	107
HTR2A-AS1	0	0	0	0	0	0	0	0	0	9
LOC105370195	0	0	0	2	2	2	0	0	0	2
LOC105370196	1	3	2	0	3	2	1	3	1	1
LINC00562	40	28	17	9	16	21	10	7	18	35
SUCLA2	4318	3910	2633	2285	2213	1618	2844	4050	2313	2168
LOC124903172	58	57	32	18	21	17	9	11	11	37
NUDT15	3566	4011	2318	2075	1488	1312	449	504	658	594
MED4	725	607	533	694	953	819	497	595	516	674
MED4-AS1	5	3	5	1	5	7	0	0	6	17
LOC105370198	1	1	3	0	2	2	1	0	8	18
ITM2B	3682	4228	3366	4281	5855	4469	4161	3744	4534	5062
RB1-DT	14	7	20	21	30	28	7	5	10	22
RB1	1619	1655	1150	1224	2192	2107	1828	2212	2330	2394
LOC112268118	3	5	2	2	9	21	1	5	17	48
LPAR6	298	314	90	115	348	433	44	19	524	767
RCBTB2	517	670	579	891	1432	1272	728	832	1346	2046
LOC124903173	24	25	28	49	68	115	4	7	143	251
LOC124903174	19	18	18	36	61	88	3	11	70	198
LINC01077	0	0	0	0	0	0	0	0	1	3
LINC00462	0	0	0	2	0	0	0	0	0	1
LOC105370202	1	0	0	0	0	0	0	0	0	0
CYSLTR2	0	0	1	1	681	1104	260	36	286	310
LOC107984559	8	4	0	0	0	0	0	0	1	0
FNDC3A	3727	3373	2669	3166	3892	3274	2541	2657	3200	4542
MLNR	3	8	4	4	3	1	5	3	1	9
LOC105370203	2	14	6	13	26	13	18	15	15	16
CDADC1	95	132	150	145	233	168	216	233	341	306
CAB39L	287	228	315	411	1140	789	1048	1441	1117	1104
SETDB2-PHF11	0	0	0	0	0	0	0	0	0	0
SETDB2	101	99	106	119	237	184	210	268	387	369
PHF11	8	14	13	15	9	11	13	5	22	19
RCBTB1	2779	2655	2231	2749	3015	2312	1454	1500	3013	2179
