	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4	IDA_1	IDA_2	IDA_3	IDA_4
LOC124902959	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	8	0	7	3
LINC02821	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	6	3	1	4
PRANCR	55	47	15	38	20	83	41	47	19	31	17	30	15	38	23	16	80	21	67	42
CNOT2	1500	2071	876	1405	789	3105	852	2204	1096	1832	869	1177	711	1033	875	1438	1219	691	960	637
KCNMB4	1579	957	389	1107	658	2755	845	1980	872	1155	608	967	368	796	763	574	808	529	637	604
LOC105369828	205	14	8	86	45	563	110	317	100	33	88	152	12	64	51	10	249	181	398	245
PTPRB	73	26	14	29	35	162	32	109	35	11	24	60	1	28	13	2	192	82	232	164
PTPRR	3	15	9	15	22	47	12	36	11	1	4	34	2	16	4	10	152	33	79	71
LOC124902960	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	2
LOC124902961	2	10	6	2	0	1	1	0	0	0	0	0	0	0	0	5	25	2	7	12
TSPAN8	14	12	2	1	0	9	1	0	2	0	0	3	0	3	0	9	80	13	49	34
LOC105369831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	0
LOC105369832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1
LOC124902962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LGR5	1	8	0	2	2	3	14	7	4	1	5	3	0	21	2	6	103	5	185	37
LOC105369833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC124902963	2	0	0	0	0	1	1	0	0	0	0	0	0	5	0	0	1	0	15	1
LOC124902964	0	0	0	2	0	2	3	0	3	0	0	0	0	8	1	0	13	0	85	3
ZFC3H1	2392	2981	1223	1900	1040	4146	1244	2684	1278	2461	1206	1538	802	1487	1487	2008	2331	1044	2423	1254
LOC124900332	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	2	0
THAP2	280	231	109	182	128	403	109	173	104	215	125	191	96	200	172	146	331	99	232	177
LOC124902965	0	2	1	3	2	2	1	4	1	6	0	4	1	0	1	1	2	0	1	3
TMEM19	1801	1713	851	1414	501	2743	760	1858	919	1821	804	920	644	726	714	1117	1701	388	749	797
LOC107984530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2
RAB21	4000	5168	2595	4475	2078	7602	1723	5317	2213	4850	1963	2624	2233	2351	2804	4526	3959	1181	2117	1709
TBC1D15	1093	890	395	783	473	1614	389	1266	542	945	417	559	378	550	557	703	592	363	551	321
MRS2P2	4	2	2	5	7	5	1	8	0	9	1	4	2	5	1	4	8	11	9	4
TPH2	0	0	0	0	3	1	2	0	0	0	0	2	0	2	2	0	39	3	26	8
TRHDE	32	30	11	44	26	33	26	149	54	29	16	32	12	50	27	18	111	17	72	24
TRHDE-AS1	40	33	4	23	24	34	17	104	44	21	10	23	12	27	28	36	34	10	24	15
LOC105369838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0
LINC02444	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	1
LOC105369839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1
LOC124902966	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	1	10	8
LINC02445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	5	0
LOC124900319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
LINC02394	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	1
LINC02882	3	0	0	0	3	1	3	3	1	0	0	4	0	2	1	0	1	1	1	1
LOC107987178	4	0	2	5	2	1	4	5	1	3	5	9	1	6	7	1	6	3	5	3
LOC124902967	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0
ATXN7L3B	6822	7561	2842	4597	2665	9726	3026	5990	2960	6051	2915	3618	2147	3155	3148	5050	6668	1748	4280	3184
LOC101929967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
LOC105369842	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	0	6	1
LOC105369843	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2
KCNC2	0	0	0	0	0	1	1	0	0	0	0	1	0	3	0	0	46	5	42	32
LOC100130268	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	3
CAPS2-AS1	2	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	3	1	5	0
CAPS2	185	135	84	160	103	240	65	155	61	156	74	100	68	85	146	125	275	92	117	139
GLIPR1L1	4	3	4	11	4	5	4	12	2	17	6	21	5	9	4	1	12	4	11	7
LOC124902968	24	15	6	26	27	49	12	27	24	42	22	28	11	23	19	11	23	24	24	22
GLIPR1L2	70	14	12	41	37	75	27	47	13	40	32	56	21	48	47	20	28	32	26	25
GLIPR1	85	62	31	208	120	354	173	430	223	118	72	268	28	155	46	38	109	94	257	64
GLIPR1-AS1	1	5	9	5	11	13	7	14	6	13	5	10	4	9	5	4	41	13	47	22
KRR1	1450	1463	698	1097	603	2501	529	1584	819	1357	596	715	558	648	641	921	2332	560	1549	1242
LOC105369844	3	0	2	1	6	3	4	3	3	3	1	0	0	6	0	1	146	14	88	51
LOC107984533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
LOC105369846	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	21	1	16	10
LOC124902969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	4
LOC105369847	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	13	1	15	7
PHLDA1	3623	2064	1057	3541	1219	6831	911	5167	2220	1836	1479	1257	557	553	364	555	10552	1425	5839	5152
NAP1L1	24053	19917	8093	12575	7637	33715	5427	18223	8862	13675	6724	8865	5062	6547	7229	13261	15313	5752	9040	6774
LOC124902970	4	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	4	0	3	2
LNCOG	1	0	0	1	2	0	2	7	0	0	2	0	0	0	1	0	8	0	19	3
BBS10	662	873	392	692	367	1029	391	721	409	765	384	515	263	436	451	518	1206	355	777	602
OSBPL8	3119	2982	1551	2964	1420	4572	1135	3015	1589	2507	1447	1501	1135	1388	1709	2137	1744	825	1406	967
LOC105369850	34	28	21	22	9	40	12	13	17	20	13	5	8	8	7	22	35	6	25	13
LOC105369851	0	0	0	0	2	0	0	0	1	0	1	0	0	1	1	0	9	0	4	2
ZDHHC17	2006	1977	883	1562	959	2856	1008	2017	964	1811	962	1391	741	1246	1193	1326	1859	756	1292	905
CSRP2	6150	4998	1509	2921	1857	7958	2052	3945	2239	4794	2075	2389	1259	2113	2076	2690	1505	906	1109	993
LOC124902971	4	5	2	5	4	5	4	5	2	12	3	1	2	5	3	7	6	0	4	5
E2F7	358	274	118	289	79	316	192	692	240	395	139	204	135	120	98	155	192	94	444	164
LOC105369853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2
LOC124903107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02464	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	2	4	5
LOC105369855	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	2	0	3	3
LOC124902972	4	0	1	3	1	5	0	0	0	1	0	2	0	2	4	0	6	1	7	6
NAV3	570	79	33	454	247	727	334	570	301	492	313	391	169	365	349	61	342	127	266	161
LINC02424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	5	4
LOC105369859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
SYT1	32	19	12	47	22	70	24	329	149	18	23	30	9	32	20	17	222	49	119	76
LOC105369863	4	0	0	2	0	1	0	7	1	0	1	2	0	3	1	0	70	10	58	24
LOC124902973	5	0	1	0	0	0	0	5	1	0	0	0	0	3	1	0	17	3	12	9
MIR1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PAWR	2406	2189	1205	1797	1002	2911	886	2713	1344	1995	973	1418	756	1120	1146	1668	1615	614	1045	903
PPP1R12A-AS2	2	1	1	1	0	3	2	5	1	1	0	2	0	1	1	2	2	2	0	3
PPP1R12A	5607	5786	2847	4893	2596	9679	2225	6249	3119	4857	2510	3104	1873	2421	2504	3673	2877	1953	2423	1822
LOC124902974	3	4	1	2	2	4	2	0	1	6	0	1	1	1	6	1	12	2	13	9
PPP1R12A-AS1	32	45	8	15	10	52	12	27	15	34	6	21	11	15	7	17	28	6	32	14
OTOGL	83	51	50	60	32	152	34	58	37	27	31	31	15	22	21	28	644	60	371	275
PTPRQ	0	96	91	1	5	12	5	23	5	15	4	10	8	10	3	113	204	22	125	64
LOC124902975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
LOC105369867	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	12	1	3	3
MYF6	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	9	0	8	2
MYF5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
LINC01490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2
LIN7A	533	841	394	589	396	884	306	712	352	750	312	374	348	397	415	576	969	313	500	501
MIR617	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
MIR618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS3	1026	1176	532	643	549	1070	413	877	491	923	476	626	318	551	479	845	638	416	388	318
LOC107984535	6	0	0	0	3	8	1	0	0	2	0	2	0	0	0	0	17	3	8	7
MIR4699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PPFIA2	256	399	208	131	56	173	50	93	62	160	85	83	57	78	117	233	257	65	143	104
PPFIA2-AS1	0	12	6	5	1	1	0	4	0	0	0	2	0	1	1	2	10	3	5	6
LOC105369872	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	2
LINC02426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	4
LOC105369873	0	1	1	1	0	4	0	6	0	0	1	0	0	2	1	0	20	4	8	8
CCDC59	320	468	147	298	168	683	161	443	212	357	177	230	138	179	199	301	489	146	402	227
METTL25	437	488	239	294	146	685	146	377	201	371	183	206	168	170	196	350	223	86	131	115
LOC107987180	18	9	5	22	17	56	19	22	10	29	15	30	12	24	16	7	42	14	19	23
LOC107984487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
TMTC2	530	626	240	509	467	971	489	822	380	648	269	628	232	568	387	543	264	232	308	166
LOC105369874	1549	1973	842	1522	830	3154	1316	1653	970	2773	997	1816	989	1344	1300	1229	164	371	170	159
LOC107984536	14	25	3	8	8	16	9	6	4	22	10	16	3	20	22	11	4	1	11	7
LOC124902976	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	6	1	2	3
LOC124903066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC105369875	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	5	4	5	5
SLC6A15	1	2	2	2	5	12	8	728	286	4	3	17	1	10	6	5	75	10	45	38
LOC102724680	0	0	0	0	0	0	0	8	3	0	0	0	0	1	0	0	2	0	1	1
TSPAN19	22	4	1	6	12	14	6	19	5	10	12	11	3	6	5	4	14	4	6	13
LRRIQ1	31	14	13	24	14	41	16	69	21	33	15	28	10	11	17	10	66	21	37	30
ALX1	0	0	0	3	0	0	1	0	8	1	0	0	0	4	0	0	15	1	8	1
LINC02820	22	7	6	6	11	15	9	11	13	13	3	16	5	13	12	15	17	6	11	4
LOC107984537	0	1	0	0	1	0	0	1	3	4	0	0	1	1	1	0	21	2	14	10
LOC124903073	31	23	5	10	36	12	20	17	10	16	17	32	3	33	10	13	47	26	23	16
RASSF9	486	405	187	335	183	461	220	407	240	451	214	372	192	282	236	337	328	108	182	133
NTS	4	4	3	3	5	14	5	10	4	2	3	3	3	4	5	1	70	12	42	48
MGAT4C	614	1367	671	764	471	1433	307	417	202	788	320	493	353	448	437	943	394	194	186	164
LOC105369877	4	2	0	0	1	2	5	0	1	0	0	0	0	0	2	3	14	8	8	4
MIR3059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	2
LOC105369879	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	2	7	8
LOC107984478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6
LOC105369880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC105369881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5
LINC02258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	3	1
MKRN9P	0	1	0	2	0	0	0	0	0	0	1	0	1	1	0	1	2	0	2	1
C12orf50	5	0	0	2	0	2	0	2	0	3	1	1	0	1	1	1	18	4	10	7
LOC107984542	0	2	1	1	0	0	1	0	0	2	0	1	0	1	0	0	4	0	4	2
RLIG1	501	455	202	301	162	691	177	419	202	409	215	287	162	236	231	295	380	128	255	206
CEP290	1423	1309	627	759	708	1870	407	1038	543	1034	450	675	362	522	548	811	979	643	556	440
LOC124902977	8	47	16	38	14	61	27	18	18	33	25	19	20	30	26	31	29	10	25	23
TMTC3	1250	1499	979	1504	750	2771	600	1724	894	1502	582	886	589	549	588	1038	2250	768	976	874
LOC124902978	34	14	6	59	8	29	10	62	29	28	21	16	9	6	4	6	93	8	52	38
KITLG	676	1353	741	881	270	1350	380	1309	598	942	308	568	325	316	160	823	2303	303	1462	855
LOC124902979	2	1	2	1	0	0	1	1	0	1	0	0	1	0	0	0	9	1	5	9
LOC105369885	6	3	4	2	6	5	2	8	2	3	1	3	0	3	0	3	28	4	21	7
LOC105369886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
LOC105369887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	7	5
LINC02458	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	59	8	38	25
LOC105378255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	1
DUSP6	351	199	101	154	132	408	74	598	249	122	159	77	28	95	8	38	1429	162	890	712
LOC124902980	1	0	2	0	1	7	0	3	0	0	2	1	0	2	5	1	10	4	7	6
LOC124902981	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	5	0	1	2
POC1B	236	250	108	175	123	409	131	308	190	234	149	136	79	120	148	150	207	81	198	118
POC1B-GALNT4	8	5	0	4	1	4	0	3	1	6	1	2	2	4	2	3	5	2	4	1
GALNT4	13	4	0	4	1	7	6	8	2	6	6	5	1	2	7	3	11	2	3	5
POC1B-AS1	19	21	1	16	12	16	11	15	10	17	12	19	6	23	12	13	23	8	17	15
ATP2B1	1284	993	492	1097	875	2715	750	1742	776	870	529	896	293	762	539	579	1664	694	1652	859
ATP2B1-AS1	22	21	6	26	27	60	34	41	12	28	9	19	2	35	24	16	107	34	211	60
LOC107984543	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	4	1	2	2
LOC105369890	0	1	0	0	0	10	2	0	1	0	0	2	0	2	1	0	152	43	110	54
LINC02399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0
LOC105369892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
LINC02392	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	9	2	4	5
LOC124902982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2
LINC02822	0	6	5	2	1	7	0	0	0	2	1	2	0	1	0	7	33	9	23	12
LOC105369895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
LOC124903074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0
LINC00615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0
CCER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6
EPYC	0	0	1	1	0	0	1	5	2	0	0	0	0	0	0	0	34	5	14	12
KERA	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	24	3	16	13
LUM	513	382	169	1568	4870	6546	6696	7750	4743	1302	264	7721	292	5084	383	193	287	3127	3391	174
DCN	589	1061	575	2020	3552	4924	7741	8151	5063	2321	356	8438	770	6901	442	867	330	2369	3604	157
LOC124903075	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0
LOC105369896	0	2	0	1	3	4	4	0	1	0	0	0	0	1	0	0	47	5	24	13
LOC107984544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1
LINC02823	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	19	4	11	15
LINC02404	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	46	4	21	13
LOC105369901	5	0	0	1	2	16	0	3	1	0	4	0	0	0	1	1	40	8	35	26
LINC01619	83	29	8	40	7	35	6	18	14	6	32	9	7	13	14	18	130	24	86	87
BTG1	3425	2628	977	2703	1861	5692	1322	3001	1553	1887	1854	1948	651	1564	1863	1613	3523	1624	2913	2311
BTG1-DT	38	12	6	11	7	21	11	10	10	16	13	7	3	11	9	6	36	12	45	21
LINC02391	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6	1	5	1
LOC105369902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	6
LOC107984467	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	43	4	32	23
CLLU1-AS1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	2	10	7
CLLU1	8	0	2	6	0	2	2	1	0	0	2	0	0	1	0	0	32	3	16	12
LINC02397	14	4	6	13	5	32	1	5	1	2	4	6	0	2	6	3	50	14	29	20
LOC105369904	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	26	2	15	12
LOC105369905	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	23	1	29	12
LOC124902983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	4
PLEKHG7	24	46	7	15	0	6	4	17	7	25	1	8	8	3	5	35	85	20	46	24
EEA1	1697	1966	1014	1557	553	2558	609	1495	884	1667	763	903	684	779	741	1311	2176	530	1275	966
LOC124902984	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LINC02413	0	0	0	0	0	0	1	6	1	0	0	0	0	1	0	1	10	0	10	7
LOC643339	20	40	11	13	6	40	10	10	6	15	6	7	4	12	9	21	19	11	20	11
LOC105369907	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	7	0	2	2
LOC105369908	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	30	5	12	8
LINC02412	3	5	2	2	1	8	4	3	1	5	0	1	1	3	0	6	14	2	16	11
LOC124903102	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0
LOC124900325	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
LOC124903116	3	2	0	0	0	2	0	0	0	0	0	1	0	2	1	2	0	1	0	0
NUDT4	5664	6596	2604	4811	2776	10179	2514	5255	2763	5062	3040	3418	1645	2309	2397	3911	2706	1392	1548	1583
UBE2N	2653	2564	1120	1765	764	4107	1232	2906	1460	2558	1213	1429	841	1109	1156	1439	1980	649	1775	1332
MRPL42	1155	2068	994	1504	744	2773	657	1871	988	1750	768	961	691	749	795	1526	1959	570	905	833
LOC124902985	0	4	2	1	1	4	2	0	0	2	2	3	0	0	1	0	7	3	9	5
SOCS2-AS1	13	47	22	24	8	12	4	12	5	15	13	9	6	6	8	40	43	6	14	13
SOCS2	767	1707	642	544	194	737	201	521	320	581	339	289	150	130	197	1028	770	164	204	206
CRADD	940	640	232	539	234	1014	353	715	371	716	323	481	197	382	394	411	291	164	220	162
CRADD-AS1	10	1	0	2	1	7	1	9	4	3	3	7	1	3	4	5	12	19	8	8
LOC105369911	9	15	9	11	3	8	7	20	11	13	6	8	4	8	9	6	12	9	13	11
LOC105369912	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	1
LOC105369913	0	4	2	3	1	2	1	2	1	0	1	3	3	4	2	3	11	1	4	5
LOC124902986	0	3	7	2	0	0	2	2	3	1	3	2	0	2	0	3	15	2	8	7
PLXNC1	1022	571	294	744	223	698	310	620	317	568	533	360	158	291	399	275	646	178	462	389
LOC124902988	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	5	1	4	1
LOC124902987	1	0	1	1	0	0	1	0	0	0	3	0	1	1	1	0	11	1	9	4
CEP83	1469	804	352	776	329	1623	368	752	424	893	611	515	347	471	574	560	667	274	425	402
CEP83-DT	20	33	7	10	5	26	14	27	18	25	18	19	10	15	10	14	40	17	33	18
LOC102724960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	5
MIR5700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TMCC3	263	415	165	202	100	387	102	475	190	184	152	142	66	104	112	298	253	69	134	113
MIR7844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369914	10	2	4	3	2	4	5	5	2	6	4	3	1	3	1	3	12	0	3	1
LOC124902989	4	4	1	2	5	1	3	5	2	3	2	3	2	1	1	6	10	4	6	7
MIR492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KRT19P2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	3
LOC105369915	8	1	4	1	4	5	2	0	1	2	2	2	0	4	3	5	11	3	7	6
NDUFA12	1853	2062	869	1408	541	3605	869	2020	1029	1959	990	1085	597	851	879	1522	1670	648	900	979
NR2C1	1050	1155	455	751	533	1756	495	1162	549	991	514	631	413	617	642	742	975	514	614	541
FGD6	3183	5749	3086	2988	1283	5072	1603	4468	2180	3745	1668	2288	1359	2006	1948	4370	2810	1078	1366	1227
VEZT	4089	4456	2015	3000	1216	6103	1720	4090	2132	3648	1833	2085	1326	1744	1880	2704	2497	1043	1641	1404
MIR331	1	1	5	3	0	8	0	4	2	3	2	4	1	2	1	1	1	2	2	2
MIR3685	13	17	10	15	3	39	7	13	8	12	9	12	4	8	10	15	12	1	7	4
LOC105369917	0	1	0	5	0	0	0	8	2	0	3	2	1	0	1	3	8	8	5	0
LOC107984545	7	1	1	6	1	7	0	6	3	5	1	1	0	1	2	1	26	3	11	10
METAP2	5195	4187	1835	2879	1327	6121	1387	4425	2169	3711	1671	2014	1484	1637	1653	3094	2960	1101	2149	1612
USP44	25	19	2	25	7	44	12	38	24	27	21	12	13	10	18	16	42	20	20	23
PGAM1P5	15	11	6	10	5	17	5	10	5	33	9	9	9	1	14	11	25	6	16	11
NTN4	542	572	190	358	100	343	187	356	161	484	261	217	185	241	265	402	282	174	447	305
LOC105369919	8	2	4	5	1	1	4	4	3	11	3	6	5	3	4	9	18	6	16	3
SNRPF-DT	5	1	0	0	1	3	0	0	1	0	0	0	1	1	1	2	7	0	4	3
LINC02410	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4	0	0	7
SNRPF	676	641	234	368	147	978	217	683	335	601	265	380	176	247	246	406	595	143	463	312
CCDC38	0	6	2	2	1	1	2	1	2	5	0	4	0	2	0	3	18	2	14	5
AMDHD1	13	4	4	9	3	12	15	14	5	10	4	7	3	6	7	1	27	1	21	14
HAL	0	0	0	1	0	0	0	2	4	0	1	1	0	1	0	0	24	1	11	11
LOC102723340	110	85	45	52	53	105	65	100	51	80	43	79	28	109	65	60	121	81	163	82
LTA4H	2966	2592	1064	1728	1217	3675	1172	2497	1317	2383	1068	1463	871	1395	1204	1600	3089	1105	1817	1563
TRD-GTC2-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902990	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1
LOC105369923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	1
LINC02452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	3
ELK3	241	251	114	272	240	425	266	894	415	273	127	294	77	286	128	142	647	174	516	269
LOC124902991	10	0	4	0	1	3	1	1	1	1	2	1	0	2	0	0	3	2	4	0
CDK17	1277	1220	528	1028	516	1718	510	1325	655	1212	616	730	460	549	647	775	1276	394	829	619
CFAP54	4	5	6	6	4	6	2	6	8	4	4	8	1	3	3	9	129	21	71	52
NEDD1	1401	1543	680	1246	818	3536	758	1748	905	1358	675	1188	518	841	777	909	1440	525	1013	660
LOC124902992	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
LOC124902993	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0	3	0	1	1
LOC105369928	0	1	0	0	0	5	0	1	0	2	0	0	0	2	1	0	6	2	3	2
LOC105369927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
LOC101928912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LINC02409	0	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	20	2	10	8
LOC105369930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
RMST	0	1	2	0	1	2	6	19	15	0	6	8	0	8	3	2	24	9	16	7
MIR1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
MIR135A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAFAH1B2P2	0	0	0	1	0	0	2	12	8	0	0	1	0	0	0	1	36	2	11	13
MIR4495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369932	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	10	3	3	3
LOC105369933	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	23	8	9	8
SLC9A7P1	176	138	69	196	69	244	113	198	79	215	105	136	59	121	53	68	145	50	105	95
LOC124902994	4	2	1	2	1	4	1	0	1	0	0	0	0	1	2	3	0	0	0	0
LINC02453	24	54	22	36	13	54	20	23	19	46	14	19	21	23	21	50	32	19	29	10
TRD-GTC1-1	2	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	1	0
TRW-CCA4-1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	4	1
TMPO-AS1	191	148	37	113	49	161	53	127	74	210	77	78	50	44	40	82	29	11	59	17
TMPO	3939	3985	1930	3348	1578	4605	1217	4673	2401	3630	1622	1917	1098	1219	1301	2492	1557	560	1088	751
SLC25A3	29984	28977	10040	16353	6915	37871	9726	22147	12582	23701	10169	11856	7759	10114	10547	20509	10487	4606	5712	6242
SNORA53	11	25	6	12	7	25	6	6	3	12	8	5	3	3	1	7	18	11	7	6
IKBIP	596	544	236	377	230	887	266	830	418	374	201	308	136	255	143	330	1380	334	1398	548
APAF1	747	944	385	676	408	1275	394	1125	581	727	399	449	305	515	409	599	1213	240	941	454
