	CAR_1	CAR_2	CAR_3	CAR_4	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4
SOGA3-KIAA0408	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
KIAA0408	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901399	0	0	3	3	3	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0
SOGA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986642	1	2	12	1	4	6	1	6	1	1	2	1	0	2	2	3	1	1	2	1
C6orf58	0	1	11	0	1	0	1	0	1	1	1	0	3	0	5	0	1	3	1	0
LOC105377995	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377996	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02536	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THEMIS	2	1	209	1	0	0	0	2	0	0	1	0	0	0	0	0	0	3	2	0
PTPRK	719	971	1069	900	5697	3137	1542	3409	1626	1692	1257	1624	3587	2434	5360	4300	2190	1613	4260	1343
PTPRK-AS1	4	0	6	0	3	0	1	7	4	1	1	1	5	1	0	0	2	2	2	0
LOC124900216	166	56	308	34	146	76	61	181	59	109	41	53	90	86	146	84	117	75	109	30
LOC124901543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377998	0	2	21	0	108	22	13	75	48	48	31	46	76	67	156	82	69	65	113	27
LAMA2	3160	2591	3479	3170	24619	19547	10257	29984	10110	12366	10403	7343	19885	12118	27896	28505	9707	11353	19425	9404
LOC124901401	57	53	146	79	501	397	163	340	167	252	164	227	371	247	547	445	274	261	480	180
LOC102723409	21	23	128	39	73	27	23	30	32	22	28	25	44	30	48	40	21	32	47	23
ARHGAP18	38	111	73	150	174	250	113	99	24	83	54	56	92	83	99	79	30	41	60	33
TMEM244	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105377999	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3MBTL3	234	462	362	383	238	327	136	140	69	103	165	83	98	58	202	126	98	163	112	56
SAMD3	3	4	38	0	8	14	6	3	0	11	4	5	1	1	0	0	3	5	0	2
LOC112267974	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM200A	32	48	101	60	295	339	195	39	13	174	105	111	56	4	8	34	26	115	6	12
LOC105378002	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378003	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMLR1	1	3	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPB41L2	129	482	224	557	397	1016	528	429	148	490	395	279	367	131	297	435	106	304	141	89
LOC105378004	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102723445	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKAP7	20	37	87	40	268	181	77	233	64	108	66	85	124	89	209	163	92	98	149	53
LOC105378005	0	0	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
ARG1	1	7	11	2	3	2	1	0	1	2	2	4	3	3	11	1	0	6	1	3
MED23	697	833	786	753	2311	1439	819	1399	728	1061	872	663	1235	797	1805	1603	908	956	1134	611
ENPP3	5	3	22	0	8	3	3	4	5	5	1	7	4	0	1	4	4	4	1	2
OR2A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTAGE9	3	1	6	1	0	1	0	0	0	0	1	0	1	0	0	1	0	2	0	0
MIR548H5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENPP1	39	193	175	162	373	256	96	174	90	128	149	96	148	124	268	97	103	111	224	42
CCN2	2257	633	1342	1104	7319	27215	6418	7006	3143	2713	2080	3782	6992	3446	7402	5126	1568	1424	3802	1849
MIR548AJ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01013	0	1	9	3	1	8	2	0	3	5	4	3	1	11	7	14	5	4	8	4
MOXD1	15	69	51	54	491	228	158	414	275	111	98	179	231	14	18	108	187	87	6	32
STX7	860	958	1002	824	3161	2399	1133	2609	1221	1445	1014	873	1950	896	1919	2015	1457	1197	1408	744
TAAR9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAAR8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAAR6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAAR5	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAAR3P	0	0	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
TAAR2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAAR1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VNN1	1	0	23	2	0	3	2	2	0	2	0	0	0	0	0	0	0	1	0	0
VNN3P	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VNN2	1	2	32	3	3	2	3	2	0	1	0	2	0	0	4	1	0	0	1	0
SLC18B1	92	153	132	138	540	408	251	544	154	210	194	204	296	173	419	318	159	232	246	122
LOC107986644	0	0	11	4	5	2	1	7	3	1	0	0	1	0	4	2	0	1	1	0
RPS12	8923	10306	8035	9287	29039	16067	8514	15581	6279	9504	7877	5211	8029	5383	18491	14012	5679	8236	9310	3197
SNORD101	13	11	15	22	26	20	4	12	4	8	5	6	7	7	10	3	4	4	2	1
SNORD100	22	14	16	9	10	9	3	5	7	8	2	4	5	5	17	6	2	6	6	4
SNORA33	28	45	33	33	33	31	12	31	9	22	15	10	16	8	17	14	13	8	15	5
LOC105378008	2	4	13	5	4	1	0	0	0	0	2	1	0	1	3	2	1	4	3	1
LINC00326	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC124901231	3	2	6	3	12	2	0	0	2	3	2	1	5	7	5	6	3	2	3	0
EYA4	343	232	296	313	919	735	285	384	250	333	233	143	295	547	1331	603	249	297	811	220
LOC124901403	53	3	100	12	19	5	11	23	1	21	1	4	3	7	4	8	8	10	11	4
TARID	12	6	19	11	22	14	10	6	5	7	8	5	6	15	20	2	4	9	19	5
LOC124901402	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01312	0	0	16	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
TCF21	12	3	48	7	50	70	20	2	1	27	22	42	19	0	1	115	1	30	0	11
TBPL1	276	413	251	327	499	319	196	252	126	179	146	112	201	109	274	223	154	158	134	79
LOC128092253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A12	49	129	106	140	265	224	110	172	109	114	96	95	192	87	185	232	159	105	148	78
LOC124901404	0	0	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HMGA1P7	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGK1	730	748	370	651	442	798	403	313	132	212	368	239	323	52	132	226	65	176	71	76
LOC124901531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378009	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT69	1	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01010	0	0	6	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC03002	4	17	10	14	0	3	1	1	0	0	1	0	4	0	4	3	2	0	1	0
LOC101928277	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH8A1	9	64	43	61	34	15	11	31	18	13	16	22	10	7	9	37	21	34	13	5
HBS1L	1088	1531	1367	1307	3743	2601	1290	2996	1006	1208	987	812	1738	1037	2372	2331	1082	1020	1565	882
MIR3662	0	2	3	1	2	3	2	0	1	0	3	2	1	1	2	1	3	0	1	0
LOC124901405	0	0	7	0	23	7	5	1	4	7	9	3	1	1	5	10	4	7	7	1
LOC124901406	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378010	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYB	0	4	29	3	15	27	20	15	2	6	15	5	7	7	25	13	4	9	12	0
LOC105378011	0	0	9	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR548A2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AHI1	222	257	257	287	1080	828	434	812	338	463	348	357	618	357	803	806	411	398	586	285
LOC124901407	14	9	16	12	32	13	2	23	2	13	6	9	13	6	14	26	23	20	4	4
AHI1-DT	0	1	12	1	8	4	4	5	5	5	8	2	7	4	12	7	3	6	4	1
LINC02524	0	1	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
LOC105378012	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928326	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PDE7B	7	23	39	23	218	162	64	73	19	138	95	122	76	28	43	90	42	92	31	20
LOC101928373	1	2	17	1	8	1	0	0	0	3	3	2	0	1	0	0	0	0	0	0
PDE7B-AS1	2	13	22	33	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0
MTFR2	14	63	30	86	76	62	34	57	18	23	36	9	28	13	43	60	11	14	20	7
BCLAF1	1986	2486	2727	1727	7371	5176	2332	4138	1711	2347	1646	1846	3403	2335	4765	3941	1866	1949	3147	1485
LOC124901408	0	1	11	2	1	2	0	0	0	1	3	0	0	1	0	1	0	3	2	0
MAP7	189	526	366	357	110	138	62	95	37	45	33	38	57	44	94	80	34	34	43	25
MAP3K5	22	95	57	181	258	384	156	326	105	155	104	100	197	142	306	278	170	139	252	83
MAP3K5-AS1	0	1	4	3	0	0	0	0	1	1	0	0	2	0	0	0	0	0	2	0
LOC124901410	0	0	13	0	0	0	2	6	1	0	0	1	0	1	0	3	2	0	1	0
MAP3K5-AS2	0	0	2	0	0	5	0	2	0	0	0	1	1	0	0	0	1	2	0	0
PEX7	44	77	87	62	621	376	204	587	177	206	150	142	306	211	554	378	225	188	300	125
LOC124900226	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
SLC35D3	1	2	11	1	25	68	44	17	7	4	4	4	8	18	48	10	1	4	18	0
NHEG1	0	1	7	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0
IL20RA	26	64	40	41	147	78	46	150	61	34	20	5	50	49	111	71	40	20	77	24
IL22RA2	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNGR1	2058	2354	1798	1788	2236	1542	755	1292	618	841	688	491	1002	426	1142	1272	750	775	744	495
LOC105378017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102723633	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OLIG3	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LINC03004	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC105378018	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901411	5	15	4	20	10	3	0	0	0	0	2	0	2	1	2	4	1	3	0	1
LINC02539	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAKMAR2	0	0	4	1	6	3	0	2	0	0	1	1	1	0	1	1	0	3	1	1
TNFAIP3	108	210	121	152	356	316	117	172	95	157	119	92	122	67	173	176	101	135	123	77
SIMALR	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02865	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378021	1	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
PERP	1182	1445	1037	1148	8766	6009	3148	5807	3049	3838	2953	2003	5482	2986	6808	7810	3613	3482	4709	2968
ARFGEF3	197	556	462	464	158	302	133	123	74	95	65	184	118	58	79	78	61	90	67	47
PBOV1	2	1	13	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SMIM28	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HEBP2	823	1059	1125	987	2195	1370	651	1329	628	788	577	487	937	525	1382	1545	647	743	814	472
NHSL1	183	263	271	595	3419	3985	1982	2249	899	1648	1468	1107	2890	1593	4324	3796	816	1335	3048	1339
MIR3145	0	0	0	0	6	2	1	1	4	4	3	1	9	4	12	3	6	2	10	2
NHSL1-AS1	0	2	3	2	0	12	5	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC124900217	2	5	11	5	38	59	33	43	19	23	18	23	18	9	32	27	17	24	7	10
CCDC28A-AS1	2	7	22	12	52	41	17	15	14	19	16	19	30	4	22	39	19	24	11	14
CCDC28A	182	265	203	252	420	255	131	185	104	135	113	132	144	73	261	227	146	152	167	82
ECT2L	23	15	55	40	85	73	21	53	24	31	25	9	40	33	45	59	17	34	32	17
LOC124901516	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC107986650	13	12	28	23	43	61	29	20	4	13	4	6	28	14	20	28	10	8	17	13
REPS1	709	674	656	798	2196	1731	984	1590	781	1034	799	579	1232	705	1790	1871	836	892	1277	664
ABRACL	61	79	66	69	256	405	220	355	87	133	107	46	144	85	186	212	93	102	115	43
HECA	1050	1775	1184	1369	5931	3237	1482	3654	1360	1928	1562	1364	2954	1289	2866	4022	1651	1791	2096	1479
TXLNB	220	380	318	318	6962	3479	1873	4585	2158	2516	1943	2133	4569	1876	4829	6241	2874	2687	3533	2181
LOC102723690	2	0	9	1	15	8	3	8	8	12	5	2	13	6	6	13	6	4	7	7
CITED2	243	715	381	557	5915	3157	1810	4139	1827	2897	2117	2862	3218	1448	5156	4966	2062	2801	3139	1590
LOC107986651	0	0	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
LINC01625	0	1	3	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0
LOC105378023	0	0	11	0	1	0	0	0	0	0	0	0	0	2	0	2	4	0	1	0
LOC105378024	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FILNC1	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02941	0	1	7	2	5	11	3	7	2	4	1	1	5	5	1	5	2	4	1	2
LOC103352541	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC107986652	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC124901412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378025	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3668	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378027	0	1	10	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2
LOC124901414	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378026	0	0	12	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4465	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC102723724	0	0	99	1	2	0	0	3	0	0	1	0	0	2	0	0	0	0	1	0
LOC124901413	0	0	65	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0
LOC105378029	13	9	33	19	2	2	0	0	0	0	1	0	1	0	0	0	0	1	1	0
LOC124901415	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
LOC105378030	3	0	74	8	6	14	13	4	2	13	4	3	10	4	8	0	4	5	8	1
LOC105378031	3	4	7	2	2	5	2	0	1	2	1	1	2	1	1	2	0	0	1	1
LOC107986654	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NMBR	0	1	11	0	5	0	2	3	3	2	0	1	1	0	3	3	1	0	1	1
GJE1	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0
VTA1	1742	2282	2091	2015	3607	2428	1161	1976	956	1268	905	851	1661	1085	2301	2094	1097	1042	1576	753
LINC02919	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG6	527	571	429	512	2767	2127	1033	2419	1248	824	650	528	1435	935	1806	882	770	645	881	242
LOC153910	0	3	12	2	63	73	26	14	18	21	12	0	13	6	14	3	10	5	15	8
HIVEP2	1588	1705	1794	1580	2465	2307	1014	1751	779	1242	876	1021	1879	1070	2085	2354	875	1093	1796	772
HIVEP2-DT	21	22	77	20	46	49	11	29	12	28	34	46	28	17	28	40	15	33	20	13
LINC01277	0	3	11	2	9	3	1	3	2	1	1	2	1	4	5	5	2	6	1	1
AIG1	152	239	172	215	1476	962	536	1144	504	698	590	454	867	492	1170	1307	621	636	807	485
LOC124901416	2	2	6	3	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
LOC107986656	1	6	50	3	22	19	3	6	6	10	6	6	14	2	14	10	8	4	12	3
ADAT2	98	143	129	152	365	356	198	296	131	154	142	134	129	119	341	228	131	156	206	80
PEX3	232	218	175	188	971	629	316	671	312	350	277	245	409	228	626	518	331	309	415	191
FUCA2	744	737	695	735	1694	1729	864	1453	505	735	632	307	860	654	1564	1183	491	551	1093	459
LOC124901417	36	19	47	18	56	60	18	64	29	33	28	37	39	21	64	73	34	38	48	13
LOC105378035	18	57	85	40	54	46	32	44	29	38	40	19	30	27	80	59	27	45	61	16
PHACTR2	803	585	715	714	3403	3968	1828	2356	1086	1800	1201	1238	2533	1718	3568	3238	1145	1372	2528	1176
PHACTR2-AS1	14	4	20	9	5	0	1	9	2	8	1	0	2	1	2	5	7	5	3	6
LTV1	694	567	708	501	1215	776	357	859	215	337	179	178	452	268	759	598	295	253	440	217
ZC2HC1B	0	3	9	5	0	1	0	5	0	2	1	0	1	0	2	0	1	0	2	0
PLAGL1	1186	991	789	1120	2607	2856	1464	1818	947	2629	2068	1511	1526	225	626	1604	1206	2437	386	548
HYMAI	14	1	21	4	13	21	6	17	4	19	9	7	7	1	5	11	8	12	3	5
SF3B5	363	181	295	166	2647	1642	865	1369	873	840	961	482	1078	491	1897	1704	613	991	1037	371
LOC105378036	0	1	7	0	1	2	0	5	0	0	1	0	0	0	0	3	0	1	2	0
STX11	140	112	99	129	670	447	262	539	228	265	223	132	478	313	934	728	176	156	565	276
TRL-TAA1-1	0	0	0	0	2	1	0	3	0	0	2	1	1	0	0	0	1	0	1	0
UTRN	1008	1361	1409	1516	9142	7989	3955	9797	3401	4494	3276	3874	6686	5032	9638	7998	3609	4071	7733	2654
LOC124901418	6	6	8	2	9	3	2	20	5	2	5	5	4	4	5	13	2	5	7	2
SNORA98	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	2	2	0	0
TRQ-TTG4-1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPM2A	86	61	109	61	1254	623	373	885	437	463	360	320	554	369	817	888	499	425	594	317
EPM2A-DT	2	12	6	8	35	28	10	20	14	20	20	20	18	4	25	26	16	34	22	7
LOC105378039	7	5	13	3	4	1	0	0	1	3	0	1	3	0	2	0	1	2	0	0
LOC124901419	61	37	67	34	26	20	16	12	8	10	9	10	12	4	19	7	15	14	16	6
FBXO30	2736	2144	3033	1808	2550	1658	730	1698	774	971	644	633	1619	908	1607	1416	872	823	1191	612
SHPRH	352	375	436	339	1110	631	340	911	375	519	331	460	566	391	858	771	513	562	553	256
LOC124901420	7	1	3	3	2	0	1	3	2	5	1	1	6	7	2	0	6	3	5	1
GRM1	26	45	45	44	30	21	19	65	22	44	29	10	32	1	8	36	36	50	3	16
RAB32	41	54	56	76	453	781	316	251	100	186	158	139	164	62	231	187	145	178	123	53
ADGB-DT	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGB	0	0	22	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378040	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KATNBL1P6	2	2	4	0	1	3	0	1	0	0	0	0	2	1	1	0	0	0	0	0
STXBP5-AS1	5	6	19	27	31	13	7	13	4	6	5	2	11	5	6	15	6	12	7	2
LUADT1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC124901422	0	1	2	1	1	0	3	0	0	3	0	1	0	1	4	1	0	4	0	0
STXBP5	583	780	712	770	978	806	430	622	309	488	353	332	553	261	624	625	465	459	438	273
LOC124901421	3	6	30	7	4	8	3	6	0	2	4	1	1	1	4	1	1	3	1	1
LOC105378043	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD5	139	111	178	159	227	294	125	88	34	119	86	83	126	68	93	86	32	109	92	26
LOC105378044	0	1	4	1	0	2	0	0	0	1	0	0	0	0	0	0	1	1	1	0
LOC124901423	35	11	89	16	10	12	6	10	1	9	2	1	1	3	3	2	5	3	4	3
SASH1	346	1024	642	1039	854	938	466	645	315	554	441	524	902	261	638	876	380	512	497	293
LOC124901425	0	0	9	1	1	2	0	2	0	0	1	0	0	2	0	1	0	0	0	0
UST	75	153	118	181	259	297	193	197	79	140	120	67	136	55	190	158	58	121	110	62
LOC107986659	51	21	71	39	16	12	6	20	6	17	9	4	7	1	5	17	4	5	14	2
UST-AS1	7	3	10	7	6	2	1	2	0	2	0	1	3	3	2	4	2	0	1	1
LOC124901424	4	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
UST-AS2	1	1	5	3	0	0	1	0	0	0	2	1	2	1	1	0	0	0	2	0
LOC124901426	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAB2	1651	2067	1815	1859	12152	6299	3245	5940	3281	4419	3332	4112	5732	2925	6663	6015	3250	3686	4567	2189
TAB2-AS1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUMO4	12	9	14	6	16	14	1	9	4	10	3	12	9	5	7	5	5	5	4	0
ZC3H12D	13	22	41	20	22	14	7	19	7	11	13	11	10	3	8	4	8	18	7	2
PPIL4	598	660	651	609	2426	1281	625	1561	587	747	493	494	977	557	1229	1271	554	575	894	445
GINM1	1146	1142	988	911	3725	2613	1335	3519	1279	1516	1121	828	1827	969	2276	2619	1262	1208	1562	885
RPS18P9	48	44	66	55	46	72	28	36	18	26	23	24	25	20	37	47	10	27	22	10
LOC124901526	8	2	2	2	9	6	3	8	1	6	1	1	4	1	3	4	2	2	3	0
KATNA1	363	434	381	413	1405	807	376	1075	359	426	315	257	554	298	781	731	324	328	461	276
LATS1	718	458	879	475	1979	1481	680	1140	579	811	634	633	1120	612	1405	1241	611	712	940	503
LOC645967	1	2	3	0	21	11	8	15	8	6	7	2	6	1	24	7	14	11	15	2
NUP43	742	563	799	599	3077	2016	1127	1535	827	1006	826	790	1537	844	1915	1989	867	945	1338	673
PCMT1	2047	1883	1914	1410	5807	3320	1734	4819	1576	1971	1446	1063	2476	1347	3308	3226	1696	1654	2180	1131
LOC107986660	20	5	9	7	11	15	4	6	1	2	3	1	1	2	5	5	5	5	7	2
RAET1E-LRP11	0	6	14	7	6	0	2	3	2	3	0	2	1	0	5	2	0	2	3	0
LRP11	100	47	74	54	31	96	34	55	15	44	41	17	34	14	24	43	27	42	22	20
LOC124901427	2	0	5	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
RAET1E-AS1	0	0	1	0	1	2	0	0	2	4	3	0	0	0	0	4	2	1	0	1
RAET1E	9	43	28	28	2	2	1	8	0	1	8	0	5	1	0	6	0	4	5	1
RAET1G	6	42	24	18	3	10	9	5	3	7	3	4	5	0	1	3	0	7	1	0
LOC105378052	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ULBP2	224	380	268	427	58	101	44	66	36	28	64	14	45	7	10	34	26	53	3	16
ULBP1	11	32	36	45	25	90	34	4	7	13	11	14	18	2	8	9	3	19	8	7
RAET1K	2	7	17	13	1	6	6	3	0	1	0	0	2	1	2	2	3	0	0	0
RAET1L	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0
ULBP3	185	563	380	678	265	299	151	195	77	83	79	64	156	107	215	172	41	62	150	58
LOC124901428	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPP1R14C	326	478	322	387	16398	8187	4221	11247	4034	4941	3674	3063	7603	3690	9757	9563	3317	3147	5972	3112
LOC124901527	4	0	3	0	1	1	0	0	1	2	1	2	4	1	2	0	0	0	0	3
LOC105378054	0	0	1	0	6	2	2	0	3	3	1	1	0	0	0	2	1	2	2	0
IYD	0	2	37	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0
LOC124901429	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHG1	242	258	341	275	2495	1811	946	2405	1029	1223	882	816	2117	1541	3568	2730	1200	1216	3000	1048
LOC124901430	14	3	30	9	95	15	27	41	24	22	33	24	49	27	67	37	43	38	46	18
LOC124901431	4	2	26	4	32	27	14	23	17	18	22	24	29	15	17	22	17	52	24	9
MTHFD1L	671	399	568	415	1727	1945	1032	1491	530	717	660	568	788	450	1048	943	414	608	689	352
ARL4AP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901432	4	0	9	1	3	1	4	1	0	2	0	0	2	0	0	2	1	0	3	0
MIR12131	0	1	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
LOC102723831	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AKAP12	1315	1225	1273	1168	6417	7376	3579	7798	2386	3452	3017	1772	4398	1928	4090	4379	1957	2962	3066	1408
ZBTB2	371	486	494	422	593	630	261	385	200	242	209	178	341	175	365	393	216	261	253	165
LOC124901232	132	111	109	96	840	710	287	641	297	357	305	264	446	310	626	522	351	401	498	186
RMND1	285	410	312	378	778	557	274	612	184	274	211	201	315	194	528	472	218	241	350	148
LOC124901433	5	4	3	1	3	3	0	2	2	6	3	1	1	0	2	4	0	0	3	1
ARMT1	675	675	661	557	2311	1563	702	1391	627	742	497	449	946	726	1622	1214	641	610	961	376
LOC124901434	9	22	24	21	9	4	4	0	0	0	8	3	2	2	6	0	1	4	2	3
CCDC170	2	11	40	9	0	16	5	3	2	0	2	5	1	1	1	0	0	2	0	0
LOC124901436	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986528	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901435	0	0	16	0	2	1	3	0	0	0	0	0	1	1	0	0	0	0	0	0
ESR1	11	29	195	35	93	66	32	74	39	50	64	51	107	40	123	105	57	77	77	53
LOC107986529	0	1	42	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0
SYNE1	478	1081	993	1348	8389	4652	2698	8498	3560	4667	3709	2675	5813	1918	4981	7886	3612	5000	2932	2295
SYNE1-AS1	1	1	2	1	14	13	3	5	3	3	1	2	3	1	5	17	2	7	1	2
