	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	DAU_1	DAU_2	DAU_3	DAU_4	GEF_1	GEF_2	GEF_3	GEF_4
ADK	364	954	655	761	426	994	426	353	1276	236	590	266	702	625	472	367	393	371	440	337
LOC124902456	14	31	19	20	16	64	37	14	36	7	22	15	189	58	159	85	25	27	24	21
LOC102723439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902457	13	6	12	12	6	16	4	2	4	5	13	7	22	19	24	13	13	13	8	2
LOC124902459	0	2	2	0	0	0	0	2	0	1	0	0	0	2	4	1	0	0	1	0
KAT6B	1149	2126	2099	1611	926	2149	1453	1183	3139	1300	1872	841	727	1286	652	903	1203	1476	1380	743
SNORD172	0	0	0	0	0	2	2	0	0	2	0	0	0	1	0	0	0	1	0	0
DUSP29	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4	4	0	1	0	0
DUSP13	24	40	18	31	8	54	15	22	83	2	36	2	17	25	56	65	12	15	19	10
SAMD8	511	1148	1068	1235	560	1035	623	580	1513	459	1006	495	1998	2887	1377	1865	545	649	801	423
LOC128854680	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0
LOC124902460	3	6	8	7	2	18	1	4	9	4	3	3	5	8	8	9	2	5	6	1
VDAC2	2028	3959	5357	4350	2274	6057	2074	1638	7310	1480	3011	2165	1963	2154	1816	1311	1862	1763	3161	1290
COMTD1	113	330	335	180	98	457	120	93	400	81	188	67	84	95	73	125	72	116	194	62
ZNF503	130	180	368	359	171	340	183	152	400	142	209	89	239	249	134	204	105	146	225	43
ZNF503-AS1	1	0	1	0	2	1	0	0	0	1	0	1	3	1	9	2	1	2	2	1
LOC124902461	3	6	4	16	7	8	3	8	6	2	5	0	19	77	18	18	7	7	8	2
ZNF503-AS2	27	30	71	39	21	74	31	23	69	11	31	20	50	85	21	43	23	21	20	12
LOC101929234	6	11	12	12	7	19	5	7	11	4	2	2	2	18	9	2	7	3	7	1
LOC107984293	30	49	30	28	8	31	30	30	55	39	23	9	16	43	46	35	34	46	22	8
LRMDA	65	96	121	82	52	131	66	55	157	41	72	55	17	6	46	34	83	59	99	29
MIR606	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC105378367	0	3	1	0	0	3	4	1	2	0	0	0	0	0	2	0	0	0	0	0
LOC124902463	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0
LOC124902462	0	0	4	0	1	0	0	1	2	0	1	2	1	1	7	3	1	0	3	0
LOC112268057	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
KCNMA1	19	43	60	299	137	56	53	47	121	31	57	52	116	88	159	53	25	80	72	36
KCNMA1-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0
LOC124902466	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
KCNMA1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0
KCNMA1-AS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
LOC124902464	2	2	1	4	6	7	2	3	8	0	1	1	7	6	9	4	4	3	4	1
LOC124902465	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0
LOC105378372	0	2	5	0	0	2	1	1	1	0	0	2	1	0	1	0	3	0	1	0
DLG5	1348	2392	2925	2734	1396	3388	1778	1584	3225	969	2169	1106	1182	873	1317	1241	1207	1652	1817	624
LOC101929347	3	2	6	6	1	7	7	2	7	1	3	0	2	2	4	3	2	1	6	4
DLG5-AS1	7	26	32	28	13	29	11	19	16	13	15	11	91	42	43	24	10	12	17	7
POLR3A	621	1173	1599	1334	716	1664	725	655	1886	489	1006	644	728	549	516	571	589	704	1030	388
RPS24	5949	13877	20357	14712	7490	15517	9562	6972	28391	5694	9368	6567	5818	8255	5305	4567	5626	7475	14028	4369
LOC105378375	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0
LOC124902467	0	0	0	0	0	1	0	1	1	0	1	0	6	2	8	1	0	0	0	0
LINC00856	0	0	0	0	1	0	0	0	0	0	0	1	4	5	1	3	0	2	1	0
LINC00595	2	5	8	4	0	5	3	0	7	1	0	4	1	1	5	2	5	2	3	1
LOC124902468	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0
LOC107984245	0	0	0	0	1	0	2	0	0	1	0	4	17	3	8	3	1	0	0	0
LOC105378378	0	0	0	1	0	0	0	1	2	0	0	0	5	0	4	1	0	2	1	0
LOC107984246	1	1	1	1	1	1	0	3	3	1	0	0	2	3	3	0	3	0	0	0
LOC105378379	0	0	0	0	1	0	0	0	0	1	0	0	6	0	3	1	0	1	0	0
ZMIZ1-AS1	8	8	10	14	4	1	11	4	4	3	6	2	39	36	29	23	13	9	6	3
LOC112268062	0	0	0	1	0	0	0	1	0	1	1	0	10	5	10	2	0	0	1	0
ZMIZ1	2515	5491	5143	4958	2466	4771	3677	3045	4973	2737	4164	1991	2249	1562	1581	3054	2536	3278	3316	1589
PPIF	1190	2872	4347	2540	1403	4515	1101	1231	5093	816	2079	1507	2869	1750	1743	3821	1059	983	2625	770
ZCCHC24	3207	7079	7249	5721	2937	7857	3965	3543	9608	2093	5620	2470	3032	4983	1442	3278	3378	4075	4331	2028
LOC105378383	1	4	4	5	4	8	6	3	4	5	5	2	71	224	28	24	4	9	6	0
LOC729815	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	0	0	0	0
EIF5AL1	7	15	19	14	9	4	6	2	19	1	7	2	2	7	1	2	5	6	12	3
SFTPA2	0	0	1	2	0	0	0	0	0	0	0	0	5	0	3	1	0	0	1	0
LOC124902469	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0
SFTPA1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	1	1	0	0	0
LINC02679	0	3	1	2	3	0	0	0	5	1	1	0	0	0	1	1	0	0	2	0
LOC124900288	4	11	7	14	9	12	6	5	19	8	12	5	1	1	3	3	9	11	5	5
BEND3P3	216	446	497	392	198	639	239	263	638	169	360	176	315	234	272	312	227	344	299	159
NUTM2B-AS1	104	297	350	345	190	282	185	187	481	103	266	160	180	65	220	147	185	153	244	113
NUTM2B	93	116	145	104	62	140	114	88	161	52	120	59	120	100	105	97	93	141	100	60
LOC642361	8	14	20	16	8	10	6	4	19	7	13	4	15	14	11	15	9	8	11	5
NUTM2E	10	43	22	14	20	22	16	21	33	1	18	12	56	81	30	42	13	25	12	7
BMS1P21	6	8	4	15	4	12	4	8	6	5	5	5	3	3	8	5	3	11	3	1
MBL1P	18	32	26	23	15	43	27	22	26	25	19	9	7	8	16	7	15	26	11	9
SFTPD	9	26	32	23	16	24	18	17	30	13	17	12	52	52	25	24	16	19	14	14
TMEM254-AS1	12	44	33	25	25	14	24	18	35	17	22	15	16	17	14	12	28	29	19	9
TMEM254	152	308	403	496	265	251	234	213	416	157	223	161	58	101	68	35	212	209	231	90
PLAC9	9	34	28	95	46	20	35	40	34	19	31	5	35	45	14	13	15	46	17	11
ANXA11	2715	6486	5955	7597	3817	6118	3715	3311	8288	2049	4764	2044	2283	1867	1720	2554	2636	3453	4249	1992
LINC00857	3	8	3	53	25	9	11	19	23	10	9	0	22	24	12	13	3	14	3	3
LOC124902470	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC100130698	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0
MAT1A	46	56	53	17	20	59	35	34	69	38	31	11	12	4	15	9	51	46	36	18
DYDC1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DYDC2	1	3	1	0	0	1	0	2	0	1	0	2	9	5	1	2	0	1	1	1
PRXL2A	2118	4377	5390	4440	2320	7563	2545	1935	6666	1494	3444	1866	1596	2106	917	1156	2542	2394	3407	1452
TSPAN14	457	1021	996	1106	520	991	578	619	1088	309	690	315	1716	1411	824	1367	457	684	516	246
LOC124902471	16	66	53	38	31	42	19	30	73	19	43	26	45	96	29	59	21	27	30	14
TSPAN14-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SH2D4B	1	0	1	1	0	0	3	1	4	0	2	0	2	2	18	2	0	0	0	0
LOC105378387	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378390	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
LOC124902549	0	2	1	4	0	1	0	0	0	0	2	2	1	1	0	0	0	0	2	0
NRG3	9	34	78	74	39	17	24	19	53	9	24	14	26	28	41	14	15	14	30	2
LOC124902472	0	2	1	9	7	3	6	2	2	1	0	1	4	5	9	2	3	1	3	1
NRG3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
LOC107984187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC105378392	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
LOC105378394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC105378393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC105378396	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
LINC02650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC107984181	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0
LOC105378398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHITM	4304	7838	9369	8044	4439	10367	4101	3482	13884	2338	6543	4132	7150	5314	6720	5026	3971	3740	5891	2752
CERNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
GPR15LG	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	3	0	1	0	0
CDHR1	75	95	92	255	135	162	58	64	50	12	94	58	57	113	25	17	46	18	55	19
LRIT2	0	0	0	6	3	0	0	0	0	1	1	0	3	3	0	0	0	0	0	0
LRIT1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0
RGR	1	0	0	27	4	0	2	0	0	0	0	0	2	1	1	3	0	2	0	0
LINC00858	8	9	9	10	4	19	13	13	13	8	3	2	3	0	9	3	8	12	5	2
CCSER2	3694	8052	8114	7309	3598	7145	4238	3229	11926	2337	7442	3882	1380	1137	1784	1558	4272	3600	6167	3353
LOC124902550	2	2	0	1	0	0	0	2	1	0	0	0	4	1	7	2	0	1	0	0
LOC105378400	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0
LOC107984249	0	0	0	0	0	0	1	0	0	0	0	0	4	1	8	0	0	1	0	0
LOC105378401	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LINC01519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
LOC105378402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378403	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
LINC02647	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101929662	0	0	0	0	0	0	0	0	0	0	0	1	2	1	8	0	0	0	0	0
LINC01520	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
LOC105378404	1	3	13	3	0	0	7	0	14	2	5	6	7	11	37	7	3	3	9	1
GRID1-AS1	4	10	14	5	4	15	11	11	22	6	9	8	9	4	17	1	8	8	18	6
GRID1	450	949	1725	695	323	912	469	541	1175	321	623	493	211	179	143	141	458	653	985	275
MIR346	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC124902473	0	0	0	0	1	0	0	0	0	1	0	0	0	6	0	0	0	0	1	0
WAPL	1042	2250	2393	2767	1333	2457	1313	920	3599	995	2007	1228	1301	1168	1198	848	1052	1042	1683	892
LOC105378408	1	0	0	6	6	0	0	2	3	0	0	0	28	57	16	15	1	4	0	1
LOC105378407	0	0	0	0	0	0	0	0	0	0	0	0	3	13	3	1	0	0	0	0
LOC105378406	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	1	0	0	0	0
OPN4	31	44	31	26	25	44	18	37	35	10	40	15	20	5	12	6	6	39	19	16
LOC105378409	4	3	7	7	10	0	5	4	4	2	8	2	0	0	1	1	2	6	2	1
LDB3	45423	108383	104269	72447	40124	84500	54436	45425	106466	32899	78079	37764	1386	4571	2316	3007	41314	44554	71218	35525
BMPR1A	1296	2872	3169	2999	1304	2637	1442	1072	4665	1073	2503	1431	815	644	741	772	1466	1357	2414	1183
MMRN2	42	52	64	43	29	56	31	39	166	46	47	21	127	191	49	134	37	43	52	25
SNCG	28	38	34	54	42	62	29	24	73	8	29	15	44	47	25	39	15	22	26	9
ADIRF-AS1	58	118	76	104	54	163	62	54	109	54	74	27	82	68	121	90	66	81	64	35
ADIRF	1	6	4	0	2	21	2	1	6	3	2	0	0	1	12	11	1	3	0	0
AGAP11	9	14	8	19	6	28	12	13	16	5	7	2	37	49	19	14	6	24	7	6
LOC124902474	1	1	0	0	1	4	1	2	0	0	2	0	2	0	9	0	1	1	0	1
FAM25A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUD1	1167	2597	3466	3148	1641	2480	1459	1244	3579	809	1979	1627	5005	4461	1918	1876	1342	1282	2607	987
SHLD2	228	617	667	726	420	514	287	277	1016	201	416	281	769	738	452	452	231	267	505	252
LOC124902475	11	38	39	39	23	20	21	24	35	15	30	27	106	125	63	64	17	25	44	18
LOC105378410	1	14	6	7	3	23	2	5	15	4	6	5	8	20	3	8	5	7	2	3
NUTM2A	12	25	36	15	13	26	10	13	28	3	11	15	9	13	11	10	3	17	22	9
NUTM2A-AS1	89	197	204	231	105	246	120	94	298	77	139	53	90	46	113	94	104	112	104	65
LINC00863	70	130	92	96	60	157	88	46	141	37	122	27	113	134	118	137	59	81	71	31
NUTM2D	33	83	54	70	39	66	45	49	94	23	61	31	84	58	39	52	29	46	42	28
FAM245A	1	0	0	0	0	0	0	0	1	0	0	0	0	1	7	1	0	0	0	0
LOC112268063	2	7	3	4	1	8	4	0	12	3	5	7	4	3	8	3	4	1	5	4
LOC112268064	7	16	13	17	7	23	9	7	19	4	8	4	40	28	21	23	3	10	11	10
MIR4678	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MINPP1	228	444	569	542	282	590	303	240	888	199	402	231	261	243	251	172	241	263	310	144
LOC105378412	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PAPSS2	140	237	454	879	430	353	340	265	803	262	278	213	583	553	429	254	120	217	300	73
ATAD1	1753	3208	3715	3603	1704	4435	1792	1344	5627	1261	2785	1939	1402	724	1441	883	1686	1473	2612	1277
LOC124902476	12	40	29	22	11	55	26	11	43	10	28	14	9	11	35	9	17	13	22	20
CFL1P1	5	6	21	14	5	14	9	7	21	9	12	6	26	26	28	22	4	9	10	5
KLLN	10	26	34	29	17	33	19	44	38	14	27	21	1286	1264	618	517	21	79	33	10
PTEN	1092	2174	2228	2721	1336	2494	1467	991	3517	1166	2322	1050	1179	801	947	655	1076	1262	1478	873
LOC124900295	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC105378414	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0
LOC105378415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
LOC105378416	0	0	1	0	0	0	1	0	0	0	0	0	2	1	5	2	0	4	0	1
LOC101929727	0	2	0	3	0	0	0	0	4	0	2	1	2	4	21	3	0	0	0	1
RNLS	140	359	282	221	145	253	187	162	625	122	227	93	86	70	148	66	191	173	171	95
LIPJ	12	22	24	11	9	35	19	9	22	10	23	14	24	17	39	29	8	22	17	10
LIPF	0	0	0	0	0	0	0	0	0	0	0	0	5	12	18	2	0	0	0	0
LIPK	0	0	0	0	0	0	0	1	0	0	0	0	3	1	3	1	0	0	0	0
LIPN	0	0	0	0	0	0	0	0	0	0	0	0	7	2	10	11	0	0	0	0
LIPM	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	3	0	0	0	0
ANKRD22	0	0	0	0	0	0	0	0	0	0	0	0	7	5	17	0	0	0	0	0
LOC124902551	0	0	0	0	1	0	0	0	0	0	0	0	2	4	1	1	0	0	0	0
STAMBPL1	65	105	142	166	74	160	138	105	210	98	124	53	157	116	125	61	99	114	82	44
ACTA2-AS1	48	31	19	61	52	127	43	46	116	51	72	20	24	27	21	11	28	18	16	5
ACTA2	9085	5605	2913	12826	7412	21744	5750	6096	13939	2395	10167	1076	1115	1525	907	915	3362	3839	1435	1124
FAS	38	107	78	161	85	104	80	83	163	51	108	51	1516	1216	1230	481	47	139	42	44
FAS-AS1	0	0	0	0	0	0	1	0	0	0	0	0	6	5	5	2	0	1	2	0
LOC124902587	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	1	0	0	0	0
MIR4679-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4679-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902552	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	3	0	0	0	0
LOC105378418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH25H	0	0	0	0	1	0	1	0	0	2	0	0	1	3	3	4	0	0	0	0
LIPA	178	508	432	1182	574	340	516	476	614	222	305	201	650	815	268	206	280	472	311	188
LOC124902477	11	31	29	39	25	23	16	22	21	11	17	12	55	26	41	35	12	26	18	14
LOC105378419	0	1	6	4	1	4	2	1	3	0	5	1	11	1	7	3	0	5	2	4
IFIT2	12	108	22	105	69	147	118	67	56	53	61	10	2266	775	492	295	31	104	10	28
IFIT3	20	50	14	61	54	364	120	49	61	44	41	5	923	357	479	99	18	83	14	13
LOC101926887	8	30	31	26	22	23	15	12	30	10	24	5	36	16	12	11	15	14	19	12
IFIT1B	0	5	3	1	3	3	7	4	3	0	2	0	14	5	5	3	2	1	3	0
IFIT1	419	1444	1254	788	425	7143	1037	488	1426	607	655	579	337	206	1248	88	808	1217	1133	664
LOC107984251	125	351	378	277	139	430	200	153	363	87	286	164	218	140	123	157	130	191	252	111
IFIT5	148	364	364	431	187	745	328	198	572	280	310	210	574	397	493	219	186	238	264	162
SLC16A12	1547	3407	3281	2729	1438	2682	1990	1364	4891	1040	2887	1394	162	83	248	136	1636	1524	2066	1059
SLC16A12-AS1	4	3	4	5	0	4	5	0	7	1	4	0	2	1	0	0	0	6	2	1
PANK1	374	896	1166	765	442	1221	505	390	1319	369	694	457	956	1232	558	539	459	490	775	321
MIR107	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK1-AS1	5	8	20	3	2	9	5	7	9	7	17	8	58	48	46	41	8	3	12	1
FLJ37201	15	33	52	34	12	38	25	10	35	29	20	20	18	11	17	5	22	19	40	15
KIF20B	345	1053	923	1042	592	1054	363	216	1309	327	841	467	358	311	145	81	258	205	499	301
LOC105378424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC00865	1	0	3	0	1	1	0	0	0	0	0	0	16	11	11	5	0	0	0	0
LINC01374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC01375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC105378426	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0
LINC02653	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
LOC124902478	0	1	0	5	3	0	2	1	1	3	0	0	6	6	5	10	0	2	0	0
HTR7	10	8	4	26	18	19	18	11	55	19	15	4	55	35	51	22	3	19	6	2
RPP30	319	708	789	757	411	517	396	331	1111	229	428	261	258	169	222	148	336	280	409	238
ANKRD1	67550	94075	98756	175081	75149	176352	40780	29579	239433	15270	123492	47446	1216	447	8760	3138	26718	10494	51626	28373
XLOC_008559	0	1	1	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	1	0
LOC107984252	1	0	0	2	2	0	0	2	3	0	0	0	6	0	8	1	0	0	3	0
LOC124902479	1	0	1	7	0	1	2	0	4	1	2	0	19	5	6	2	0	1	0	1
LOC105378430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00502	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	1	1	0	0	0
LOC105378429	0	0	0	1	0	0	0	0	0	0	0	0	3	2	2	2	0	0	2	0
LOC124902481	0	8	10	3	3	8	2	4	7	7	6	0	63	69	30	21	1	7	6	0
NUDT9P1	42	57	54	63	36	109	44	26	99	20	39	21	187	88	108	78	11	25	39	20
PCGF5	2709	4203	3290	8492	3361	5734	2396	1634	8235	1366	6260	2075	1710	1794	1596	995	1546	1449	2169	1552
LOC124902480	15	25	10	11	9	27	25	14	23	6	18	8	21	12	24	19	20	12	9	4
HECTD2-AS1	9	10	25	10	5	25	9	12	20	9	16	4	19	20	14	22	8	8	9	1
HECTD2	391	552	603	1067	515	775	537	391	1071	354	809	355	1250	1058	1212	752	356	428	385	176
LOC105378433	3	36	11	11	5	29	9	6	37	17	10	7	3	3	13	5	8	11	10	7
PPP1R3C	5604	10236	10095	8760	4599	15112	5489	4466	23519	5761	8859	3996	1274	1027	1984	1733	5634	4810	5936	3442
LOC107984253	0	0	0	0	0	0	0	0	0	1	0	1	1	2	4	0	0	1	0	0
LOC124902482	0	1	3	0	0	0	2	4	4	2	5	0	10	7	3	9	2	1	2	0
TNKS2-DT	2	5	10	7	2	11	12	5	10	6	7	2	94	114	41	43	7	8	2	0
TNKS2	1543	2790	3385	3500	1815	3220	1929	1387	4631	1265	2703	1678	3316	2105	2841	2243	1684	1702	2239	1011
FGFBP3	38	82	87	311	114	125	50	37	96	19	50	30	245	339	132	65	21	47	53	10
BTAF1	2329	4293	3678	3925	2131	4850	2937	2226	6157	2316	3002	1466	1416	919	2036	1443	2874	3040	2374	1381
CPEB3	251	532	636	423	225	575	311	228	898	263	467	274	341	793	252	263	319	284	490	226
LOC107984254	4	2	3	1	1	2	0	8	3	2	1	0	10	6	2	3	3	3	5	2
LOC124902483	0	0	0	2	1	0	0	0	3	0	0	2	1	3	1	1	1	0	3	0
MARCHF5	720	1471	1910	1806	890	1947	922	676	2495	628	1336	858	1310	1025	1105	834	821	720	1153	550
MARK2P9	0	1	1	1	0	0	3	0	2	0	1	0	6	8	4	4	0	0	0	1
LOC124902484	0	3	0	1	0	0	0	1	0	0	1	1	4	1	1	1	0	0	0	0
IDE	898	2188	2106	2210	1185	1814	1171	858	3125	962	1806	985	1269	1023	1169	667	1052	1053	1398	839
KIF11	430	1336	1222	1403	846	1289	432	276	1314	411	1159	577	496	485	110	111	278	166	659	348
HHEX	1	2	3	6	0	7	0	2	5	1	2	0	26	60	13	15	0	2	1	1
EXOC6	373	599	768	712	422	947	413	333	1153	222	568	366	353	221	438	215	332	331	474	220
CYP26C1	0	0	0	1	0	0	0	2	0	0	0	0	2	6	1	2	0	2	0	0
CYP26A1	1	0	8	19	2	1	1	2	0	0	0	0	31	85	4	14	0	7	6	1
MYOF	1326	1099	545	3325	1785	3636	2037	1729	2045	953	1494	183	412	298	799	310	1118	1726	299	300
CEP55	353	734	781	963	596	954	285	198	913	219	799	373	417	487	70	88	167	95	370	136
LOC105378436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFAR4	0	0	0	3	0	0	0	0	0	0	0	0	3	5	4	2	0	0	0	0
LOC124902485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RBP4	2	0	1	7	7	0	4	4	2	0	4	1	47	51	21	17	1	3	2	0
PDE6C	9	18	17	22	4	13	8	18	24	14	13	6	14	7	17	5	8	18	4	6
FRA10AC1	359	727	640	938	451	1032	505	331	1434	387	635	297	215	69	357	132	405	403	424	281
LOC101927013	1	0	0	0	5	0	0	0	1	1	0	0	3	0	3	0	0	0	0	0
LGI1	3	3	0	147	57	0	22	25	38	4	9	1	51	27	21	3	1	15	0	1
LOC105378437	0	0	0	12	3	0	6	3	0	1	0	0	3	2	6	0	0	2	0	0
SLC35G1	107	155	159	382	169	182	79	89	257	92	145	109	48	63	59	20	84	75	105	41
PIPSL	14	36	32	50	16	41	14	11	38	9	20	17	57	35	32	11	6	13	24	12
LOC105378438	2	3	2	6	0	2	1	4	7	0	10	0	10	4	1	2	1	2	5	0
PLCE1	2209	5264	4581	7647	3836	5594	2814	2142	5081	1237	4214	2144	509	505	557	264	1828	1999	3229	1723
PLCE1-AS2	1	6	0	6	3	2	4	1	2	1	4	0	3	1	0	0	1	0	1	4
LOC107984255	4	19	6	15	18	10	19	4	20	4	11	8	5	2	4	0	9	3	13	10
PLCE1-AS1	23	26	29	127	47	69	15	21	23	10	28	34	19	3	13	2	15	16	25	10
NOC3L	204	377	400	589	324	499	250	234	784	202	345	159	385	496	446	173	203	245	265	160
TBC1D12	178	389	343	432	229	427	235	168	584	206	342	130	414	276	322	163	184	172	214	128
HELLS	283	1237	1397	1205	610	771	441	349	1245	336	697	597	505	253	239	106	250	239	737	382
CYP2C18	0	0	0	1	0	0	0	0	4	0	0	0	9	15	8	10	0	0	0	0
CYP2C19	0	0	0	1	0	1	0	1	0	0	2	1	24	29	20	8	0	0	0	0
CYP2C9	0	1	0	0	0	0	0	0	0	0	0	0	20	22	7	7	0	1	0	0
LOC107984256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CYP2C8	28	70	90	64	47	88	45	48	100	46	71	32	16	10	43	3	45	53	78	37
LOC107984257	50	118	131	98	50	90	108	89	106	88	106	70	35	20	104	33	72	108	130	47
ACSM6	1	6	3	0	2	5	0	2	8	1	1	2	1	0	11	1	1	1	4	3
PDLIM1	6150	11363	13738	12280	6503	14423	6852	6409	21504	3695	9637	4441	2201	2039	2396	1688	5792	5899	9712	3584
SORBS1	3920	13109	2342	7405	3681	7897	7874	6370	8004	2756	6805	973	1250	607	1179	1202	5342	8462	1801	4686
ALDH18A1	488	1066	1072	2118	1074	1470	865	802	1832	583	866	426	326	302	424	116	502	681	607	346
TCTN3	341	753	802	1266	640	655	542	557	1142	368	654	364	842	618	550	382	386	489	494	238
ENTPD1	307	807	738	893	506	874	456	368	1059	364	586	288	325	378	359	129	390	381	509	253
ENTPD1-AS1	0	2	1	0	1	0	1	1	0	1	0	1	4	16	2	1	0	0	2	0
CC2D2B	4	6	14	6	6	15	14	4	22	4	11	5	13	26	24	6	5	18	8	3
CCNJ	229	475	774	722	302	507	319	241	1048	189	452	362	535	773	454	448	243	226	509	185
MIR3157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902486	132	288	182	115	74	316	220	122	318	146	218	114	51	126	102	73	117	194	224	84
ZNF518A	583	1305	1444	1280	689	1175	864	579	2045	886	1103	671	519	385	599	366	658	668	988	501
BLNK	2	1	3	4	4	7	2	5	4	3	7	1	10	29	32	22	4	6	3	4
LOC124902487	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	1	0	0
