	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	DOX_1	DOX_2	DOX_3	GEF_1	GEF_2	GEF_3
LRSAM1	1036	696	783	662	2075	754	1694	748	922	1753	648	300	484	418	722	886	842
NIBAN2	1234	749	872	798	2375	936	2283	1067	1339	3154	1146	725	1141	1234	819	900	988
LOC105376281	11	7	7	2	12	13	9	2	8	31	12	6	15	4	12	25	6
LOC124902276	1	0	0	0	0	0	0	1	0	3	2	1	1	4	0	0	0
LOC124902277	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
STXBP1	493	321	388	392	526	359	765	415	441	743	381	872	1076	1041	339	422	384
MIR3911	4	1	3	3	12	3	18	4	7	7	0	3	16	12	3	4	5
PTRH1	0	1	3	3	13	5	7	4	1	5	2	9	7	7	3	2	5
CFAP157	21	17	11	9	26	21	35	8	26	36	15	54	53	108	11	13	11
TTC16	2	1	2	1	0	0	0	0	0	1	1	0	1	0	0	0	5
TOR2A	41	32	46	46	165	50	160	40	37	132	45	78	158	91	30	47	68
SH2D3C	26	10	7	4	53	28	36	5	11	20	8	18	23	65	9	7	13
LOC107987132	0	0	2	0	0	0	0	0	0	1	0	13	28	31	0	0	0
MIR3960	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0
MIR2861	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CDK9	638	391	499	498	1121	438	979	486	629	1231	534	1051	1283	1242	436	521	494
FPGS	545	369	420	377	1271	342	945	392	616	882	367	640	1075	769	376	439	370
ENG	160	90	58	66	229	89	192	163	193	814	287	84	148	156	131	102	96
LOC102723566	101	54	52	34	72	49	129	35	50	96	43	50	139	59	61	59	49
LOC105379841	4	0	0	4	3	0	3	2	3	2	1	1	5	3	0	0	0
LOC124902278	0	1	0	7	8	3	2	1	0	5	1	5	11	30	4	3	6
LOC124902279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK1	0	1	2	5	7	0	1	1	5	2	2	4	3	1	2	0	1
ST6GALNAC4-ST6GALNAC6-AK1	3	2	0	3	3	5	4	1	0	6	2	1	4	10	1	0	3
MIR4672	0	0	0	1	5	3	0	1	4	0	0	2	6	0	1	0	0
ST6GALNAC6	0	0	0	2	0	0	2	1	0	3	0	0	2	0	0	1	0
ST6GALNAC4	371	229	251	240	937	203	507	276	370	588	272	96	165	74	189	247	257
PIP5KL1	20	14	15	16	88	13	31	18	35	20	17	52	63	109	37	19	28
DPM2	179	120	149	127	804	94	360	115	190	474	216	206	307	256	122	133	158
LOC124902280	1	4	2	0	5	4	6	6	8	5	0	3	12	13	2	2	4
EEIG1	844	612	791	611	2323	1130	1990	817	1102	1909	822	1549	2099	1331	721	712	1409
NAIF1	153	71	74	62	135	60	164	53	89	176	83	150	172	243	64	59	75
SLC25A25	186	113	175	167	373	127	311	183	201	394	156	1118	1407	1459	168	157	125
SLC25A25-AS1	251	92	92	140	213	172	349	114	135	263	109	159	365	183	144	169	196
PTGES2	821	488	652	566	2050	400	1374	510	676	1397	524	538	866	252	430	529	427
PTGES2-AS1	0	1	3	5	2	1	8	0	1	5	4	18	37	14	0	6	9
LCN2	0	0	0	2	5	4	0	3	0	5	0	0	0	6	0	2	0
BBLN	355	191	299	247	2138	203	823	271	403	593	179	437	612	318	272	250	267
CIZ1	1367	841	1036	932	2612	1091	2758	1027	1343	2545	1006	1363	1882	1108	941	1069	1105
DNM1	212	201	174	147	293	161	330	132	165	591	216	150	295	83	137	158	215
MIR199B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA2	1841	1041	1348	1553	2391	1213	2773	1305	1618	3134	1236	1055	1355	1078	1087	1591	1256
SWI5	215	140	151	184	660	80	306	137	198	402	192	197	184	144	94	128	120
TRUB2	499	316	320	397	1366	350	746	377	449	979	397	842	798	828	324	358	363
LOC105376286	21	13	8	13	43	13	24	8	7	33	10	24	32	17	9	10	32
COQ4	449	327	396	411	1449	409	1049	386	503	934	301	514	813	306	394	449	450
TRR-TCT3-1	0	1	0	0	2	0	0	1	1	5	1	0	0	4	0	0	0
SLC27A4	394	229	243	207	904	221	538	317	400	741	297	571	799	384	188	193	298
URM1	634	379	427	516	1679	348	1152	419	545	1268	448	694	894	583	385	485	401
MIR219A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR219B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERCAM	804	447	528	449	1352	365	1389	428	672	3328	1249	236	334	1249	391	523	439
ODF2	548	241	297	311	788	282	659	298	330	757	328	480	487	704	227	255	284
ODF2-AS1	0	2	2	4	6	2	0	1	1	0	2	3	1	1	0	3	0
LOC124902281	0	0	0	0	0	0	2	0	0	4	0	1	1	4	2	0	3
GLE1	656	331	473	492	849	334	722	395	510	902	398	1016	777	1198	377	433	433
LOC101929270	17	10	16	10	35	18	26	5	16	30	5	42	70	43	16	9	18
SPTAN1	16459	10224	14183	11558	23041	13798	22045	12921	15047	23772	9549	12297	17113	5845	10067	13846	13855
DYNC2I2	630	475	526	532	2523	381	1275	521	801	1492	540	427	592	453	470	514	400
SET	2928	1534	2598	3011	5237	1666	3789	2215	2503	5907	2728	3591	3049	3385	1619	2724	1953
PKN3	165	143	155	109	375	162	340	105	151	279	114	141	204	197	78	105	102
ZDHHC12	249	139	178	130	726	89	373	159	236	392	155	172	243	71	133	198	158
ZDHHC12-DT	28	16	8	20	57	5	25	4	12	45	14	7	25	16	10	21	18
ZER1	1953	1223	1448	1164	3012	1272	3220	1569	1902	2915	1137	2713	4001	2826	1453	1720	1507
LOC124902340	4	4	2	6	6	0	3	3	0	3	2	4	1	3	7	9	1
LOC124902282	3	0	1	0	0	1	0	1	0	0	0	19	11	14	1	1	0
TBC1D13	939	507	710	624	1513	564	1360	555	719	1350	565	1637	2350	1161	529	678	734
ENDOG	35	63	127	86	216	40	222	44	119	76	17	97	186	89	42	58	32
KYAT1-SPOUT1	0	0	1	1	0	0	2	1	1	0	0	0	3	0	2	0	0
SPOUT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KYAT1	19	17	13	17	33	17	41	11	22	59	8	5	22	16	31	22	37
LRRC8A	947	641	801	665	1367	852	1580	1029	1244	1940	759	988	1128	1937	668	929	632
LOC101929291	99	62	48	27	74	43	73	59	66	75	27	23	74	25	57	52	51
PHYHD1	392	176	273	273	950	210	675	244	364	715	267	79	95	98	280	318	256
DOLK	271	155	173	182	515	146	407	173	223	483	218	850	769	924	146	218	195
NUP188	1349	790	1020	937	1556	1087	1701	1087	1237	2296	965	1519	1987	1178	714	931	1001
LOC101929314	12	28	17	26	10	20	46	11	19	29	12	62	90	53	21	23	33
SH3GLB2	1110	686	817	868	2752	752	1978	790	1067	1704	641	1557	2434	904	723	811	837
MIGA2	970	540	594	624	2087	652	1685	650	837	1600	588	396	671	282	590	651	800
DOLPP1	157	77	123	144	289	80	257	106	145	374	173	135	147	221	87	121	117
CRAT	1215	980	1210	1039	2759	954	2396	1199	1552	2481	902	1795	2148	1795	1049	1114	920
PTPA	3368	1931	2537	2604	7518	2135	4937	2531	3224	6586	2758	1198	1884	1346	2180	2375	2325
IER5L	13	44	90	56	302	75	128	51	80	165	50	365	793	227	26	57	51
LOC105376289	6	3	2	3	11	2	5	6	5	14	9	40	52	79	5	6	7
IER5L-AS1	5	0	0	3	2	0	4	4	0	3	1	0	1	5	1	2	0
LINC02975	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC107987133	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LINC02913	0	5	2	3	2	0	2	5	12	11	1	222	406	175	9	3	22
LINC01503	52	22	22	25	118	24	63	20	32	95	38	483	914	743	35	24	19
LOC107987038	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
LOC105376291	0	0	0	1	3	1	1	0	0	4	0	1	11	12	1	0	0
LOC124902283	1	0	0	0	0	1	0	0	1	0	1	8	10	17	1	0	0
LINC00963	50	41	50	59	127	42	108	54	92	136	66	111	175	139	51	71	55
LOC124900275	388	294	386	345	957	275	635	311	381	1028	413	1865	2516	3037	324	369	335
LOC105376292	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0
NTMT1	183	113	134	153	533	84	328	111	166	348	147	390	395	443	110	123	134
C9orf50	0	2	2	6	17	2	10	4	2	10	2	14	32	6	3	3	15
ASB6	330	206	270	297	689	212	557	229	302	637	301	485	625	518	189	274	293
PRRX2	0	0	1	0	2	0	0	0	1	6	7	0	1	7	0	1	2
PRRX2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC124902284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGES	2	3	3	5	44	12	9	2	8	133	66	4	6	30	1	5	18
TOR1B	187	105	111	127	246	115	232	101	139	418	170	326	380	881	76	146	128
TOR1A	360	199	273	303	730	155	528	231	306	673	281	1134	907	1282	218	282	193
C9orf78	512	261	358	482	1398	221	772	399	370	969	413	495	624	640	279	288	319
USP20	580	287	315	318	1136	352	912	405	452	899	288	639	851	833	379	375	488
MIR6855	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FNBP1	1189	782	968	837	1451	1069	1596	1014	1148	1866	755	1101	1235	1723	767	993	1139
GPR107	1806	922	1340	1383	2056	1388	2055	1296	1454	2867	1259	1985	2225	1627	1087	1383	1301
GPRACR	0	7	1	1	0	0	0	1	0	2	1	11	13	4	2	2	0
NCS1	2404	1432	1981	2122	4420	1906	4125	1989	2526	4462	1680	2212	2889	1726	1418	2022	1816
MIR12126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC124902285	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
HMCN2	2	6	4	2	6	10	5	3	3	25	4	2	3	8	1	4	3
LOC107987134	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASS1	413	176	276	222	935	205	576	334	345	1103	432	527	595	1212	337	202	237
LOC124902349	0	1	0	0	0	2	0	1	1	1	3	0	5	0	1	0	0
LOC100272217	5	9	16	8	25	2	30	5	10	24	16	126	89	145	9	11	8
FUBP3	1065	743	871	920	987	691	1595	801	873	1763	677	1429	1555	1431	796	1082	852
LOC124902286	23	38	31	31	56	29	31	33	23	45	12	110	164	46	56	35	39
MIR6856	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	2	0
PRDM12	2	0	0	0	0	0	1	0	0	0	2	4	5	8	2	3	2
EXOSC2	295	165	180	233	564	188	395	203	206	462	201	182	240	123	139	205	227
ABL1	1628	1014	1291	1026	2066	1455	2772	1265	1559	3129	1256	1946	2480	2007	1240	1405	1512
LOC128092248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902288	0	3	3	4	0	7	6	0	3	3	1	3	15	0	6	3	6
LOC124902287	14	1	12	6	3	8	1	4	6	4	0	12	10	18	1	4	9
QRFP	5	3	5	2	6	8	9	1	2	6	4	0	7	7	1	1	4
FIBCD1	8	48	46	28	71	16	23	9	28	36	26	95	99	200	9	42	25
FIBCD1-AS1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
LAMC3	26	12	14	3	52	19	22	22	14	158	43	5	13	29	9	10	10
LOC124902289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIF1L	922	737	1200	1138	3081	960	2031	1252	1445	3599	1387	252	133	207	793	1035	885
NUP214	1221	709	918	813	1222	1020	1517	952	1133	1631	624	1522	1656	823	830	1021	983
FAM78A	2353	1373	2130	1530	4054	1933	4687	1929	2335	4378	1798	680	1274	341	1509	1574	1643
PLPP7	1281	1001	1397	1406	3306	897	2329	1624	2015	3345	1169	579	667	478	1305	1213	757
LOC105376299	1	1	3	0	0	5	3	4	2	4	3	3	6	12	8	2	0
LOC105376300	0	3	1	0	0	0	0	0	1	1	0	4	1	6	0	0	0
PRRC2B	7458	4465	5110	3879	6329	6476	9678	5423	6615	9355	3462	10263	13737	8548	5137	5901	6618
SNORD62A	0	2	5	0	0	1	2	1	1	4	0	0	0	1	2	3	0
SNORD62B	22	15	11	11	16	16	40	8	19	19	18	34	39	24	24	31	18
POMT1	870	562	528	551	1688	619	1360	523	610	1239	444	217	265	203	514	734	739
LOC105376301	19	11	12	8	12	9	36	11	19	32	17	8	4	1	17	15	10
UCK1	489	289	352	428	1421	289	818	368	440	871	341	703	723	695	305	357	344
PRRT1B	3	0	0	0	6	9	4	4	3	2	5	1	12	5	7	3	6
RAPGEF1	3349	2350	2781	2212	3424	2947	5083	2748	3400	4704	1692	2246	3608	1297	2572	3098	3170
MED27	345	165	193	232	582	227	385	249	243	515	218	378	434	315	192	196	205
LOC105376302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTNG2	2	7	6	4	13	3	21	13	7	19	8	65	111	105	3	9	10
SETX	2160	1156	1560	1362	1874	1685	2062	1562	1723	3562	1536	2231	1972	1737	1577	1616	1809
LOC124902292	0	0	0	2	0	0	0	0	0	4	1	10	3	12	0	1	0
TTF1	343	116	158	199	392	95	296	169	159	366	174	281	229	390	155	185	176
CFAP77	19	12	11	8	27	17	33	17	21	17	1	7	4	0	30	14	3
LOC105376304	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1
LOC124902293	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0
BARHL1	0	0	0	0	0	0	1	2	0	2	0	0	5	4	1	2	0
DDX31	183	69	112	128	306	132	243	98	105	301	125	238	282	228	77	116	153
GTF3C4	1135	698	1111	982	904	757	1241	789	980	1788	806	1644	1258	2126	747	1036	814
AK8	7	5	0	4	7	0	3	1	6	11	1	8	2	3	5	1	4
LOC124902335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPACA9	54	35	37	27	104	28	99	24	38	100	35	81	85	58	32	39	36
TSC1	1461	893	1158	1230	1535	1183	2000	1101	1213	2173	977	1513	1874	1486	1035	1293	1364
GFI1B	0	0	0	0	0	0	0	0	0	1	0	5	0	8	0	0	0
MIR548AW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD141A	7	3	6	23	9	7	13	7	8	20	8	5	9	7	4	10	9
LOC105376306	0	0	2	2	18	0	14	1	2	5	5	25	10	15	4	3	3
GTF3C5	792	476	631	605	2114	533	1304	598	715	1327	585	1117	1521	1404	482	659	578
MIR6877	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC124902325	1	2	2	0	7	11	5	2	3	2	2	2	8	13	1	2	5
CEL	28	33	27	31	53	20	85	28	29	48	24	130	185	133	47	41	20
CELP	0	0	0	0	0	0	0	0	0	1	0	5	4	7	0	0	0
LOC124902343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RALGDS	882	379	440	312	1188	531	1009	521	633	1111	408	1269	1422	966	520	461	746
GBGT1	45	40	35	30	80	25	124	36	42	230	82	24	32	13	24	27	16
OBP2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABO	12	1	1	2	17	5	9	2	4	42	34	4	3	10	2	4	13
SURF6	313	170	247	267	1161	231	708	179	242	704	260	345	518	455	177	254	264
MED22	572	364	505	466	1488	448	1066	410	539	1042	378	394	498	253	307	506	471
RPL7A	11523	4874	6239	8122	23656	3453	12615	5511	5761	15579	6570	5933	5577	4674	4406	6368	4190
SNORD24	1	1	0	2	0	3	0	1	1	1	0	0	4	0	0	0	0
SNORD36B	0	0	0	1	7	0	2	3	0	2	2	3	4	1	3	0	0
SNORD36A	10	14	10	13	43	13	33	19	13	35	8	28	12	19	10	13	11
SNORD36C	10	5	0	2	13	0	3	3	3	6	2	7	7	2	5	1	0
SURF1	407	188	245	351	1203	193	547	238	264	510	290	753	820	604	237	247	225
SURF2	78	51	84	115	559	91	197	81	92	198	91	111	156	68	64	90	61
SURF4	1964	1205	1536	1715	3015	1278	2911	1448	1857	4679	1935	3138	3252	4187	1277	1665	1277
STKLD1	8	12	17	12	16	12	30	7	14	24	7	43	68	91	12	11	17
REXO4	408	197	212	249	1142	217	506	247	246	606	243	388	568	274	192	246	300
ADAMTS13	270	153	131	136	388	166	432	139	194	364	132	189	388	59	201	177	244
CACFD1	640	339	451	394	1889	487	1203	483	623	1265	461	736	1047	429	432	475	527
LOC124902295	4	7	10	16	22	11	19	12	19	37	12	15	14	15	10	18	9
SLC2A6	77	37	34	43	202	48	134	68	61	183	70	63	128	43	36	17	53
LOC102723855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYMK	5	0	2	1	0	0	1	1	2	1	1	0	0	0	1	1	0
ADAMTSL2	23	10	12	11	41	13	27	20	14	60	32	0	7	12	21	11	14
FAM163B	3	0	0	0	1	0	0	0	2	0	0	0	4	0	0	1	0
LOC124902296	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
DBH	3	3	3	4	0	5	14	1	7	19	5	1	3	2	4	3	0
DBH-AS1	19	1	2	3	28	8	14	8	4	39	16	5	4	8	6	6	13
SARDH	58	32	31	24	72	31	65	41	41	152	46	8	23	8	27	30	40
VAV2	432	213	222	249	519	334	544	231	322	558	239	310	412	409	213	258	283
BRD3OS	344	174	202	197	360	203	460	222	278	531	214	87	146	56	177	188	190
BRD3	799	513	613	463	1008	730	1260	642	760	1328	496	759	1023	578	588	674	758
LOC100130548	9	12	7	10	0	10	12	8	7	21	1	10	24	4	11	19	17
WDR5	486	259	343	408	1053	373	952	354	436	944	427	605	711	475	286	365	392
LOC124902297	16	4	5	13	45	21	11	3	4	17	8	7	7	12	3	10	20
RNU6ATAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987137	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC101928384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902299	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LINC02247	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RXRA	726	508	502	457	1107	659	1110	696	811	1459	515	718	1096	619	695	666	662
MIR4669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376311	5	8	6	5	2	1	13	3	3	6	2	5	5	4	9	3	6
LOC100506532	3	1	0	0	0	0	2	1	0	3	1	0	0	1	0	0	0
COL5A1	4835	3100	3502	2581	6044	4218	6689	3229	4029	25526	8946	1356	2086	4338	2720	3693	4816
LOC124902300	9	9	13	9	14	4	10	2	10	19	11	0	5	5	8	13	12
COL5A1-AS1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
LOC124902301	11	4	3	8	8	12	6	8	10	42	21	1	10	8	19	8	21
LOC101448202	0	0	2	0	0	2	1	0	0	6	1	0	0	0	2	0	6
MIR3689C	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
MIR3689A	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
MIR3689D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3689B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3689D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3689E	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MIR3689F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FCN1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0
LOC124902302	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0
LOC105376314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376313	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC124902303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OLFM1	28	19	15	13	32	8	33	23	20	39	31	21	12	34	11	10	10
LOC102723948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC401557	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC107987138	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LINC02907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902305	0	0	0	0	0	3	3	1	0	0	1	1	4	12	0	0	0
LOC124902306	0	0	1	0	0	1	1	0	0	3	3	4	2	5	0	3	0
PPP1R26-AS1	11	9	16	21	77	21	44	9	30	44	17	135	106	134	14	28	48
PPP1R26	734	348	565	488	1196	591	1354	492	611	1059	395	676	828	702	423	609	573
PIERCE1	17	4	9	7	56	9	16	18	22	26	7	7	18	6	11	11	12
MRPS2	230	232	267	260	1054	173	635	243	304	614	261	152	212	159	216	256	177
LOC101928525	0	2	0	1	1	4	1	2	2	7	3	10	3	3	1	1	3
LCN1	0	2	0	0	0	1	2	0	0	4	1	0	0	3	0	0	0
OBP2A	0	0	0	0	5	0	0	0	0	2	1	0	0	3	0	0	0
LOC107987040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAEP	0	0	0	0	0	0	0	0	2	1	1	5	20	5	0	0	0
LINC01502	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
LOC105376316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102723971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLT6D1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
LCN9	0	0	1	0	0	0	0	0	0	0	0	30	70	13	0	0	0
LOC105376317	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC105376318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOHLH1	2	0	0	0	0	6	0	0	0	0	1	0	0	1	0	0	0
KCNT1	315	141	122	103	317	226	339	170	179	463	184	9	8	17	144	106	198
LOC107987140	54	27	7	15	16	27	54	15	17	63	17	0	8	2	31	15	30
CAMSAP1	1474	710	995	816	1477	1129	1803	991	1107	1959	827	1844	2223	1302	731	977	1104
CAMSAP1-DT	209	124	169	177	448	196	318	143	186	293	111	491	515	247	124	234	214
UBAC1	756	335	487	500	1773	371	897	435	483	1006	404	338	472	271	405	422	426
NACC2	1027	761	1228	966	1670	1212	2181	1459	1990	4626	1686	2440	3050	2724	1078	1153	1233
LOC124902307	5	8	4	1	1	12	7	3	9	9	2	5	8	1	2	7	0
TMEM250	249	137	207	209	563	151	511	126	213	573	248	458	858	430	139	185	186
LOC107987142	0	6	0	8	21	5	12	3	6	10	2	75	71	65	2	9	6
LHX3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
QSOX2	242	127	167	150	267	154	341	138	186	454	184	112	141	76	115	162	178
CCDC187	0	3	2	2	13	3	8	2	3	1	1	0	1	7	0	2	0
LOC124902308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKFZP434A062	0	0	0	0	9	5	2	4	1	3	1	0	1	1	0	1	0
GPSM1	794	589	737	584	1855	609	1878	605	854	1420	457	44	136	13	738	760	699
DNLZ	17	25	30	55	197	26	76	20	42	105	29	131	191	107	25	21	28
LOC124902309	2	5	1	1	4	8	14	2	3	3	1	49	28	37	7	1	2
CARD9	5	2	0	1	10	6	9	1	5	23	7	34	49	58	3	3	1
SNAPC4	287	222	208	171	746	273	775	211	247	521	135	525	849	401	236	211	342
ENTR1	271	180	220	277	817	279	542	196	263	690	277	665	972	997	149	249	211
PMPCA	928	673	781	819	2744	631	1631	737	883	1742	700	1908	2668	1941	597	854	704
INPP5E	275	176	289	267	683	293	912	190	298	696	208	292	621	233	240	274	326
SEC16A	1773	1306	1563	1341	1864	1730	2752	1420	1789	3210	1254	2249	3138	1704	1351	1537	1652
C9orf163	5	4	3	8	6	2	23	1	8	7	4	12	30	15	7	6	4
NOTCH1	211	167	164	112	271	215	451	201	287	546	167	1528	2171	1366	144	171	164
LOC124902310	4	5	5	1	2	1	6	2	3	9	2	7	25	8	8	1	2
MIR4673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4674	0	0	0	0	0	0	0	0	0	0	0	6	7	2	0	0	0
NALT1	13	0	2	6	6	1	5	9	4	13	3	93	202	51	1	0	1
LOC124902311	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LINC01451	2	4	1	0	0	0	3	0	0	0	1	0	0	0	2	0	0
LOC105376325	14	4	2	2	0	1	5	0	1	0	0	0	0	0	0	1	0
LOC102724193	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HSPC324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFL7	112	47	46	32	299	31	155	33	54	110	39	63	82	81	31	42	37
MIR126	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AGPAT2	206	148	169	161	641	138	439	204	249	471	161	480	624	614	170	156	116
DIPK1B	59	39	76	47	124	34	110	44	38	88	45	27	13	6	45	34	40
LOC124900276	174	103	106	88	269	148	309	68	94	231	52	197	362	75	108	126	183
SNHG7	80	64	70	119	390	95	167	53	86	172	49	144	160	101	63	103	95
SNORA17B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA17A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCN10	7	1	2	4	8	0	11	1	2	3	2	0	4	1	6	3	0
LCN6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100128593	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
MIR6722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCN8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LCN15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC107987143	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0
TMEM141	736	280	370	409	1772	267	828	391	484	1014	401	205	242	67	270	375	192
CCDC183	102	53	38	59	109	46	135	44	45	73	52	41	84	38	56	52	78
CCDC183-AS1	58	19	23	24	74	44	87	25	32	55	10	92	98	67	28	52	62
RABL6	1498	1087	1327	1068	5659	1406	3341	1286	1693	3049	1110	1710	2687	1676	987	1252	1341
MIR4292	16	9	4	4	7	5	8	5	8	12	2	15	24	4	8	9	7
AJM1	157	162	173	115	358	133	427	90	174	239	71	185	499	123	139	144	179
PHPT1	1762	1085	1181	1343	4613	706	2690	1228	1352	2892	1091	1672	2271	1348	962	1224	864
MAMDC4	315	193	165	173	728	191	724	180	229	563	125	406	1046	183	260	207	234
EDF1	1906	1078	1392	1645	8327	800	3027	1325	1460	3487	1328	980	1342	500	995	1453	1183
TRAF2	351	185	182	197	904	246	493	228	285	800	283	173	280	200	206	196	245
LOC105376326	0	0	0	0	17	0	2	0	1	1	1	5	5	2	1	2	0
MIR4479	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FBXW5	756	784	1026	754	3411	635	2280	925	1274	2729	860	1288	2256	855	895	1064	877
C8G	8	3	4	1	10	3	16	3	1	16	2	14	28	42	7	2	5
LCN12	217	96	90	78	373	89	334	103	151	325	88	43	120	23	164	121	141
LINC02692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
