	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	EPI_1	EPI_2	EPI_3	EPI_4	GEF_1	GEF_2	GEF_3	GEF_4
LOC124902682	2	2	1	0	0	2	0	2	1	3	1	1	5	0	2	6	2	0	1	2
LOC102723765	1	2	2	5	3	0	2	0	0	3	3	0	7	10	17	52	0	2	5	0
SCGB1A1	0	0	0	0	2	0	1	0	0	0	0	0	2	0	9	11	1	0	2	0
AHNAK	47730	60292	30715	83562	23675	38359	32956	68966	17927	49841	27455	53708	4160	4014	6985	6133	25327	44378	41741	26494
EEF1G	56160	33254	17738	33739	14711	18427	15368	32029	13797	23641	13496	44211	10716	17277	10078	41454	9144	26808	16544	12066
MIR6747	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
TUT1	698	555	320	715	281	311	357	635	209	386	169	669	102	132	426	299	124	355	393	273
MTA2	3089	2478	1299	1992	972	1221	1003	2207	679	1556	796	2316	378	519	1357	1046	642	1320	1104	916
EML3	370	469	217	396	136	238	247	224	148	162	74	211	119	158	738	649	53	112	267	109
ROM1	52	46	32	48	23	22	37	12	16	35	7	29	39	52	173	150	13	17	39	9
B3GAT3	736	668	350	497	225	322	333	517	181	278	107	441	234	357	963	595	136	264	348	192
GANAB	11655	12707	6584	10606	4486	6016	6103	10211	3467	7769	3300	8674	4403	5451	9390	10654	2785	5413	5470	3961
INTS5	1095	690	400	872	369	467	437	845	307	582	308	837	151	168	534	544	216	395	510	336
LBHD1	110	84	43	73	33	41	50	77	36	55	26	78	54	72	265	254	20	31	68	46
C11orf98	11	9	2	9	1	4	5	7	3	3	4	7	4	12	35	37	0	1	2	3
CSKMT	103	96	43	119	66	71	72	109	33	48	54	103	64	42	208	255	22	47	78	48
SNORA57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UQCC3	97	63	19	58	28	33	32	43	10	34	19	61	22	23	69	94	22	39	33	26
UBXN1	2953	1768	942	2861	814	961	842	1893	646	1267	532	2078	104	192	317	285	503	1263	1082	784
LRRN4CL	8	7	8	1	1	7	15	17	0	6	0	7	22	34	169	134	3	4	8	3
HNRNPUL2-BSCL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BSCL2	25	20	12	16	9	10	6	11	5	5	3	10	16	14	94	24	3	10	10	12
GNG3	16	17	8	17	6	12	10	12	5	5	4	17	30	43	150	122	5	5	19	7
HNRNPUL2	1981	1726	868	1116	648	852	657	1347	475	1137	724	1464	146	193	545	529	447	1068	644	644
TTC9C	563	428	261	371	175	261	195	371	154	301	159	431	95	132	239	284	163	237	217	198
ZBTB3	323	241	102	207	89	122	104	305	85	195	96	249	81	105	335	315	63	112	134	68
POLR2G	2186	1634	806	1503	728	911	769	1492	449	993	520	1543	301	357	744	1236	435	1007	846	745
TMEM223	778	263	206	480	244	273	244	483	210	312	125	595	83	107	376	373	133	327	262	243
TAF6L	900	482	265	772	258	344	333	683	208	377	169	618	139	218	654	569	180	341	377	295
TMEM179B	458	377	191	349	149	216	200	399	150	237	99	383	90	123	240	181	92	195	240	172
MIR6748	8	10	2	12	4	5	5	8	6	6	2	4	4	1	8	13	2	13	9	4
NXF1	7603	3933	1910	5635	2360	2901	3093	4664	1824	3369	1516	5548	2964	4385	36762	20954	1388	2966	3641	2758
MIR6514	3	0	0	4	2	2	0	0	0	0	0	2	4	2	12	3	0	2	1	0
STX5	1167	931	513	892	376	614	484	833	348	515	223	824	220	324	967	778	216	543	587	397
STX5-DT	5	4	6	5	1	4	4	5	1	2	3	5	25	46	89	111	2	2	4	2
TEX54	2	2	0	7	2	2	3	2	1	3	0	1	26	23	72	82	0	7	3	0
WDR74	748	457	258	748	213	210	227	662	142	236	122	426	759	1044	4397	3339	92	281	321	159
SNHG1	1912	1188	708	986	590	628	663	997	404	629	406	1365	3494	5029	31516	21696	392	706	710	697
SNORD22	57	26	15	112	25	21	25	51	11	14	19	45	163	237	1065	1072	17	26	16	21
SNORD31	50	36	19	87	18	18	34	31	19	18	12	43	70	99	472	586	13	31	24	23
SNORD30	29	22	11	44	5	12	8	18	4	8	5	16	16	8	33	60	7	11	10	15
SNORD29	46	25	23	53	21	10	19	28	7	18	9	24	31	43	167	283	9	16	17	21
LOC124900306	37	25	16	39	17	15	19	21	13	9	8	32	27	56	100	293	12	25	20	19
SNORD28	33	19	4	21	3	13	14	8	7	14	8	20	14	27	55	159	10	6	14	6
SNORD27	28	11	8	9	8	13	6	17	4	12	0	14	12	18	46	147	3	7	9	12
SNORD26	22	4	4	44	6	10	10	18	3	5	6	11	22	24	40	92	7	8	13	12
SNORD25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC3A2	1701	4371	2039	2019	690	701	755	1201	501	931	455	1501	1335	1797	1363	942	433	865	939	647
CHRM1	4	23	19	8	5	0	3	18	0	9	1	5	4	3	23	20	3	1	1	1
LOC124902683	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	6	0	0	0	0
LOC105369333	0	2	0	0	1	0	1	0	0	0	0	2	1	4	3	7	0	0	0	0
SLC22A6	1	0	0	0	0	0	0	0	0	0	0	0	2	1	11	5	0	0	0	0
SLC22A8	0	14	2	10	0	1	1	1	0	0	0	0	3	3	20	14	0	0	0	0
SLC22A24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0
SLC22A25	0	4	0	0	0	0	0	0	1	0	0	1	2	7	2	12	0	0	0	0
LOC105369334	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SLC22A10	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	5	0	0	0	0
SLC22A9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0
PLAAT5	0	4	1	3	0	1	1	4	0	0	2	0	4	4	2	22	0	2	5	0
LOC124902684	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
LGALS12	0	1	0	0	0	0	1	0	0	0	0	0	3	0	20	13	0	0	0	0
PLAAT4	14	40	23	37	5	33	19	25	9	8	0	0	10	4	10	3	4	0	101	20
PLAAT2	2	1	0	5	1	1	2	0	0	2	0	0	2	3	13	8	0	1	1	0
PLAAT3	986	1081	542	1176	396	473	481	923	227	536	70	205	150	197	378	553	220	130	587	379
LOC105369335	0	2	0	0	0	1	0	0	0	2	0	0	0	1	2	3	0	0	0	0
ATL3	840	1248	553	583	269	406	360	607	268	556	311	560	377	392	845	801	221	425	387	259
RTN3	10045	7785	3785	6336	2944	3402	2759	6650	2272	5316	3658	8191	1885	2785	4662	7498	2521	5550	3057	3315
ZFTA	2319	1298	720	1668	657	876	755	1463	658	1205	548	1621	246	374	1039	801	478	1068	1025	878
SPINDOC	1531	1136	570	1486	541	638	635	1062	398	758	393	1424	168	259	851	682	279	626	579	446
MARK2	2098	1356	792	1484	747	872	902	1836	579	1231	503	1495	154	158	471	454	490	780	911	704
RCOR2	860	365	240	873	260	269	257	588	567	381	219	788	22	50	161	185	152	420	326	252
NAA40	3132	1622	969	2361	1030	1221	1115	1989	778	1393	770	2277	251	328	1255	1450	532	1223	1185	1014
COX8A	7785	3762	2332	4928	2502	2360	2784	5202	1305	3138	1634	6092	819	1212	1739	3000	1026	2828	2278	1747
OTUB1	3704	2546	1290	2209	1299	1397	1420	2363	838	1656	819	2952	416	602	1432	1601	607	1486	1448	1077
MACROD1	460	273	116	406	153	149	135	386	135	216	91	426	78	127	271	295	95	289	166	110
LOC124902685	0	1	2	0	1	4	1	5	0	0	0	2	3	1	12	10	0	1	1	1
FLRT1	54	60	34	83	45	51	43	62	32	46	18	34	28	56	152	282	22	25	75	27
LOC105369339	7	9	4	8	3	2	3	4	3	3	1	2	11	18	37	20	3	4	2	1
LOC124902686	368	282	144	247	149	165	259	324	139	233	100	246	181	225	716	556	82	163	308	186
STIP1	7063	5002	2372	4979	2129	2393	2136	4191	1781	3535	1821	5074	471	568	1150	907	1349	3209	1855	1669
FERMT3	72	63	31	103	38	42	44	62	29	44	13	64	30	63	211	123	10	17	47	31
TRPT1	946	524	338	997	314	350	343	603	231	412	239	829	78	142	227	345	138	434	348	258
NUDT22	647	345	164	509	233	209	165	453	141	272	110	426	21	48	195	181	86	182	215	157
LOC124902687	68	23	16	29	26	25	15	48	12	19	10	38	3	6	26	18	23	26	21	16
DNAJC4	1128	695	393	639	430	505	447	845	401	665	276	997	144	331	542	872	222	680	513	385
VEGFB	4035	2278	1296	2146	971	1132	978	2695	1118	2256	871	2864	813	1497	1590	3196	739	1925	1087	945
FKBP2	3	0	0	0	0	0	1	0	0	0	0	1	1	0	3	5	1	1	0	0
LOC114841035	25	8	6	21	4	8	4	13	6	15	3	13	2	6	19	3	0	5	7	1
PPP1R14B	988	950	510	1111	273	312	264	613	189	457	199	724	494	740	1129	1111	121	395	245	201
PPP1R14B-AS1	81	38	27	65	21	13	28	30	9	23	8	38	37	54	147	175	7	23	29	20
PLCB3	466	465	234	471	167	220	224	300	137	240	83	290	218	233	697	564	67	124	194	97
BAD	1864	889	565	1311	565	541	472	1419	325	756	285	1178	43	96	168	182	291	537	644	464
GPR137	981	707	370	850	355	399	394	657	228	491	206	660	172	206	578	614	134	351	418	243
KCNK4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5	0	0	2	0
KCNK4-CATSPERZ	1	0	0	1	0	0	0	0	0	0	0	0	0	1	4	9	0	0	2	0
CATSPERZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESRRA	2120	798	518	1513	620	526	532	1269	384	905	402	1478	103	125	433	244	248	656	674	491
TRMT112	2356	1511	772	3805	772	964	891	1502	468	934	404	1546	262	453	1076	1631	335	788	1002	715
PRDX5	8588	4143	2321	7015	2456	2426	2172	4472	1164	3083	1287	5099	928	1323	2132	4527	1001	3107	2309	1937
LOC102723878	0	0	0	0	0	0	1	3	3	2	0	3	11	16	96	66	1	1	5	1
CCDC88B	60	31	31	60	27	20	29	39	32	32	9	33	19	34	204	108	7	12	31	18
MIR7155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KA4	1136	906	505	1165	429	537	464	827	299	621	193	779	177	170	372	476	217	380	610	384
MIR1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124902688	7	15	3	2	3	1	0	1	1	1	0	3	3	3	8	12	0	2	1	1
LINC02723	7	7	2	18	2	7	4	4	5	4	0	9	0	5	20	15	2	2	2	5
LOC105369341	0	0	0	0	0	0	0	0	0	0	0	0	1	4	9	12	0	0	0	0
LOC124902689	0	1	0	0	0	0	0	0	1	0	0	0	1	0	25	40	0	0	0	0
LINC02724	1	7	1	4	2	0	1	2	3	1	0	1	6	3	10	27	0	2	1	1
LOC124902690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0
SLC22A11	0	0	0	0	0	0	0	3	0	0	0	0	3	10	47	45	0	0	0	0
SLC22A12	0	0	0	0	0	0	0	0	0	0	0	0	6	6	29	35	0	0	0	0
NRXN2	4	22	6	1	3	29	19	30	13	10	1	2	10	18	96	61	8	3	33	2
NRXN2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	20	8	0	0	2	0
RASGRP2	658	184	162	687	286	177	230	291	109	223	48	215	74	114	616	463	85	129	228	149
PYGM	3060	1484	886	2509	1139	1279	1154	2910	855	1889	816	2161	306	734	1051	2054	786	1508	1232	854
SF1	8257	6801	3428	5687	2908	3886	3217	6898	2230	5471	2400	6785	780	827	2845	2222	2073	4433	3218	2627
MAP4K2	615	417	262	504	242	290	295	426	194	305	120	360	61	94	410	291	111	215	358	250
MEN1	1105	704	460	818	418	447	509	837	251	604	263	982	93	147	302	233	240	475	503	397
CDC42BPG	278	119	73	232	79	82	84	156	63	78	56	129	98	183	347	294	44	68	104	57
EHD1	3876	3081	1654	3201	1454	1599	1574	3077	664	2448	964	3249	335	509	1373	826	959	1977	1557	1023
MIR10392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR194-2HG	2	0	1	5	1	1	0	0	0	0	0	1	3	7	16	18	1	3	1	2
MIR192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR194-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATG2A	1784	1211	643	2165	812	1035	1004	1769	492	1171	481	1761	134	250	642	482	454	870	1183	805
MIR6750	0	2	2	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
MIR6749	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R5B	1136	686	348	889	366	429	355	613	285	460	173	549	37	86	225	184	140	288	405	323
GPHA2	1	0	0	0	1	2	0	0	0	1	0	0	4	5	23	11	0	0	1	0
MAJIN	0	0	1	2	0	0	0	0	0	0	0	1	1	11	41	41	0	0	0	0
BATF2	2	3	3	12	1	4	1	0	1	1	0	2	3	15	37	28	2	1	2	0
ARL2-SNX15	0	0	0	0	1	0	0	1	0	1	0	0	0	0	4	0	0	0	1	0
ARL2	1086	599	375	552	367	409	531	733	241	459	151	601	329	537	1457	1215	142	264	477	227
MIR6879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAC3D1	288	239	124	431	98	125	89	305	61	139	45	252	28	53	48	43	63	100	115	79
NAALADL1	16	20	11	22	11	13	14	21	22	11	3	6	16	26	105	43	2	0	23	4
CDCA5	658	619	422	981	243	231	224	691	140	399	198	739	329	425	443	577	125	286	100	117
ZFPL1	623	490	284	486	235	293	289	519	172	368	151	533	46	74	138	155	116	292	266	196
TMEM262	4	0	0	9	1	0	1	2	2	0	0	1	0	4	49	46	0	0	7	3
VPS51	2496	1478	792	2151	827	1057	967	2215	709	1284	526	1965	558	935	1676	2216	523	1017	1083	604
TM7SF2	1018	976	562	888	451	416	450	782	240	667	365	1306	158	250	441	460	181	650	470	375
ZNHIT2	271	121	65	305	67	78	71	182	66	125	45	171	28	20	191	117	32	77	94	50
FAU	8819	4711	2629	6627	2495	2827	2669	5385	1851	3211	1541	6427	1106	1830	2364	5712	1170	3192	3130	2094
MRPL49	2463	1800	969	1777	849	936	862	1654	520	1174	654	1842	289	353	536	549	427	1023	956	737
SYVN1	1330	1040	605	961	549	691	839	1151	396	766	294	1042	213	305	1166	920	275	524	842	615
MIR6751	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
SPDYC	1	2	0	0	0	2	0	2	0	3	1	5	4	5	33	38	1	2	2	0
CAPN1-AS1	178	132	52	114	59	72	54	112	31	88	75	127	15	12	32	67	27	87	83	50
CAPN1	4409	3283	1752	3365	1649	1987	2048	3489	1085	2645	1121	3738	619	861	1707	1595	1000	2080	2208	1432
SLC22A20P	9	1	10	15	1	5	4	7	10	2	2	7	16	21	78	20	4	6	12	11
POLA2	561	533	276	565	191	210	236	569	137	294	181	584	48	61	114	117	112	318	152	147
LOC105369344	44	59	34	49	21	42	35	28	10	35	16	45	33	23	105	85	11	22	44	23
CDC42EP2	127	279	121	129	69	82	97	169	49	142	69	174	34	26	97	43	43	129	94	52
LOC124902691	7	15	8	3	4	2	8	7	1	6	7	5	8	18	20	25	2	3	8	3
DPF2	3147	2130	1097	2843	1345	1551	1479	2571	1001	1729	812	2451	240	310	771	818	713	1340	1574	1341
TIGD3	46	21	9	31	7	13	8	9	8	7	2	28	12	25	41	59	4	10	10	7
FRMD8	1481	1197	655	1223	525	559	647	997	360	697	301	1056	268	387	710	548	197	445	712	357
SLC25A45	284	260	145	213	111	134	154	242	62	168	100	239	53	79	232	219	59	116	160	85
NEAT1	3367	3547	1880	5317	2265	3483	2951	2058	1228	2281	825	1280	1140	2013	1468	1133	1271	2166	3852	3283
MIR612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAUP4	111	62	31	41	24	40	41	34	57	24	21	49	28	42	40	53	19	31	50	17
LINC02736	3	3	0	3	0	1	11	0	0	0	1	1	33	51	121	128	0	1	25	0
MALAT1	1033	716	413	2225	336	622	333	819	360	815	392	1015	300	792	1749	3180	293	923	492	784
TALAM1	8	14	3	6	9	11	4	2	3	8	2	6	6	2	12	5	1	4	12	2
MASCRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCYL1	3806	2708	1359	3065	1333	1557	1524	2693	835	1969	856	3000	121	201	239	203	697	1558	1531	1067
LTBP3	5231	5803	3100	6925	2728	3374	3169	5737	1957	4736	1362	5703	2945	3979	12007	9570	1462	3473	3382	2287
ZNRD2-DT	49	27	13	37	21	20	29	43	14	11	7	29	13	14	111	73	5	20	31	25
ZNRD2	463	299	161	399	176	174	188	343	87	224	85	409	49	41	166	87	70	170	202	140
FAM89B	1719	1122	628	1097	579	708	681	1220	313	763	288	1151	130	183	400	283	281	530	747	453
EHBP1L1	1790	1778	1007	2938	913	1109	943	1730	594	1403	162	536	525	630	2317	1662	423	313	1131	580
LOC124902692	11	19	7	11	7	11	22	3	3	12	1	4	2	1	17	21	5	2	20	11
KCNK7	8	8	4	17	6	3	6	8	3	14	3	10	4	3	32	20	2	2	6	2
MAP3K11	1010	785	410	843	391	443	424	785	252	583	202	720	123	158	458	358	193	346	465	299
PCNX3	2098	1722	980	2351	886	956	1161	1843	568	1312	572	1913	226	262	440	472	420	860	1157	668
MIR4690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIPA1	370	389	236	393	136	219	202	336	166	242	71	266	26	65	204	204	65	127	191	120
MIR4489	0	0	1	5	1	1	1	0	0	1	0	1	0	0	4	0	0	0	1	0
RELA	2469	1914	994	1399	867	1032	1052	1769	648	1387	652	1746	98	160	341	273	525	1067	1077	880
RELA-DT	49	41	16	39	14	19	26	28	18	21	11	43	10	24	71	61	10	32	23	23
KAT5	875	761	332	780	328	410	370	742	271	455	181	547	18	47	119	135	205	375	400	310
RNASEH2C	1346	564	310	986	362	415	410	882	219	408	146	828	48	97	190	222	201	354	426	261
AP5B1	737	650	325	622	280	314	360	581	249	407	238	736	132	188	224	173	159	343	393	261
OVOL1	2	0	1	0	1	0	5	3	3	0	0	1	50	62	299	153	0	1	8	0
LOC124902693	29	21	8	28	5	9	8	8	15	26	10	20	19	26	88	94	6	23	12	8
OVOL1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX32	30	32	18	17	4	14	15	21	21	12	9	23	26	18	97	90	4	19	14	4
CFL1	31213	22123	11146	25244	9523	10880	10358	18084	4116	13223	5653	18056	10641	12609	32665	27631	4411	10239	8917	6277
MUS81	2146	1539	738	1890	799	860	823	1484	433	1013	414	1667	200	252	1087	918	338	724	994	658
EFEMP2	6782	4444	2608	4240	2350	2710	3270	4713	1595	3159	1063	4234	2235	2724	8007	6545	1098	2270	2568	1765
CTSW	4	2	1	10	3	5	11	1	1	5	0	1	19	17	68	52	2	5	7	5
FIBP	2414	1758	939	2395	855	866	846	1500	466	1135	422	1557	185	245	452	685	392	824	734	554
CCDC85B	493	326	152	756	156	159	99	272	134	285	33	265	7	22	28	28	37	99	96	60
FOSL1	27	73	22	20	6	14	17	14	2	13	5	6	59	92	121	68	10	2	29	6
C11orf68	1541	1036	564	952	567	630	612	1099	362	741	297	983	49	72	201	69	274	579	695	509
DRAP1	1986	1299	643	1899	656	743	670	1402	311	961	375	1394	180	223	375	341	335	906	664	469
LOC105369350	0	0	0	0	0	0	0	0	0	0	0	0	1	4	28	14	0	0	0	0
TSGA10IP	0	0	0	2	0	1	0	0	0	0	0	0	8	3	54	14	0	0	0	0
SART1	1783	1394	653	2222	597	659	615	1449	456	1052	372	1621	123	213	443	417	375	1002	641	478
EIF1AD	1153	845	474	758	322	430	424	712	277	590	309	751	100	87	284	289	216	527	446	368
BANF1	3306	2371	1163	3665	1261	1312	1097	2521	647	1722	677	2669	767	1165	2785	3715	547	1388	1217	1062
CST6	4	3	3	0	0	1	1	1	1	0	3	4	4	12	11	15	0	6	1	0
CATSPER1	2	4	2	5	2	0	0	1	0	8	0	1	4	4	51	44	0	0	1	0
GAL3ST3	157	142	77	146	57	71	62	165	56	118	39	140	20	30	51	47	31	72	42	43
SF3B2	6295	6030	3017	7071	1927	2616	2193	4566	1761	3652	1862	5237	455	605	522	541	1433	3433	2383	1704
SNORD13F	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	1	0
PACS1	7169	8158	4270	6598	3386	3388	2959	6216	2268	6882	3393	7897	1226	1282	2400	2550	1637	4809	2633	2371
LOC124902833	6	2	1	1	1	2	2	2	0	2	0	1	0	0	0	1	0	3	0	5
LOC105369354	23	14	14	32	15	14	12	14	6	15	6	25	3	8	19	14	10	18	15	9
KLC2	2643	1870	991	2058	1026	989	1018	1729	440	1541	681	2125	253	325	1211	767	434	1168	1017	736
LOC124902694	0	0	0	0	0	1	0	1	0	1	1	1	0	0	2	0	0	1	0	0
RAB1B	4511	2980	1565	2921	1386	1487	1609	3335	920	2105	890	2775	573	794	1139	1910	793	1384	1724	1150
LOC107984340	7	3	2	0	1	3	2	5	3	6	1	3	1	0	1	6	0	5	2	2
CNIH2	79	49	56	69	31	22	31	43	23	48	24	58	22	39	111	69	11	21	30	23
YIF1A	986	850	488	577	352	439	452	682	249	488	217	854	57	93	118	68	169	422	468	276
TMEM151A	3	264	114	1	3	5	9	10	1	7	17	50	13	11	28	20	6	29	6	1
CD248	997	1040	683	188	102	861	912	274	516	415	26	86	183	123	281	84	70	43	721	71
RIN1	39	53	43	22	13	27	26	9	19	19	11	23	19	24	137	91	10	11	26	5
BRMS1	1012	744	363	705	293	336	364	631	170	404	177	652	98	146	133	96	154	365	380	250
B4GAT1	1460	854	365	1492	473	601	474	1068	377	642	330	1130	104	235	335	737	264	590	651	490
B4GAT1-DT	5	2	6	4	2	5	2	12	3	2	0	3	1	3	11	7	0	8	5	4
TRS-GCT3-1	0	0	0	1	0	3	3	0	1	0	0	1	0	0	0	1	0	1	1	0
SLC29A2	1505	895	618	1758	835	782	868	1377	366	903	492	1779	115	151	515	629	400	988	833	689
NPAS4	921	455	236	576	321	195	208	395	97	362	119	412	22	39	216	106	109	190	153	201
LOC124900311	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0
MRPL11	766	664	329	811	264	333	231	579	219	419	157	616	26	54	86	79	164	370	306	243
PELI3	158	119	69	159	83	98	112	171	85	114	39	162	25	24	61	53	45	88	110	67
DPP3-DT	37	21	13	19	13	16	12	26	8	17	8	34	6	8	16	38	3	7	23	17
DPP3	920	1138	553	1172	348	447	438	739	199	515	278	766	369	485	574	897	139	338	325	223
BBS1	1299	1022	543	934	458	620	562	959	501	753	354	1024	449	647	1709	1811	273	629	653	466
ZDHHC24	362	350	209	209	117	201	185	283	150	202	92	337	85	105	231	165	81	209	211	137
ACTN3	5	2	1	2	11	5	3	5	3	0	0	2	8	4	71	38	1	0	9	8
CTSF	1697	1119	567	2150	654	703	609	1363	607	887	6	13	1100	1322	6121	5312	327	3	896	818
CCDC87	48	20	9	53	15	13	14	24	14	20	6	26	4	4	40	29	12	12	13	13
CCS	1284	690	400	1377	459	454	492	845	303	503	207	861	171	369	1550	1121	162	455	628	418
RBM14-RBM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM14	1575	1334	724	1014	644	852	831	1524	553	1108	487	1583	88	128	462	345	381	831	774	515
RBM4	707	562	262	534	253	318	233	483	180	345	178	563	53	74	193	172	137	375	320	202
RBM4B	880	513	294	526	268	404	347	485	272	403	194	596	72	81	215	135	170	356	398	307
SPTBN2	566	1452	701	452	200	252	259	481	382	331	159	494	210	340	853	546	148	345	410	263
C11orf80	278	312	153	193	85	122	139	157	102	150	69	206	51	77	157	115	49	94	140	83
RCE1	408	260	154	280	125	142	126	205	94	144	59	245	32	35	64	56	63	88	145	93
PC	464	451	195	482	165	205	244	342	97	296	93	345	100	172	208	339	70	197	213	102
LRFN4	868	609	353	793	372	357	339	747	252	588	163	658	79	128	211	151	158	323	370	289
MIR3163	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C11orf86	0	0	0	0	0	0	0	0	0	0	0	0	2	3	25	14	0	0	0	0
SYT12	133	193	101	138	51	27	76	25	7	82	18	28	48	61	158	97	5	11	112	15
MIR6860	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0
RHOD	1132	737	372	750	401	379	361	767	181	613	193	817	43	94	99	89	173	432	384	240
LOC107984341	6	0	0	5	2	0	4	2	1	1	0	0	5	2	3	5	1	1	1	1
KDM2A	5514	3401	1879	4635	1732	2362	2251	3959	1586	2960	1384	3578	566	796	2135	2394	1193	2226	2292	1717
LOC124902695	2	8	2	10	6	2	4	2	1	1	4	2	1	6	8	10	2	7	3	6
LOC124902839	1	0	0	0	0	1	0	0	1	0	0	2	0	1	4	3	0	0	1	2
GRK2	2518	1569	930	2316	932	1043	1034	1929	651	1298	428	1921	476	588	1855	1435	467	1021	1044	727
ANKRD13D	845	639	340	866	333	393	421	598	262	451	181	634	107	127	298	308	163	349	479	264
SSH3	520	549	315	580	228	269	344	390	235	347	114	380	102	93	250	205	111	217	351	212
LOC100130987	12	25	3	25	19	15	8	21	5	11	4	18	3	10	25	22	8	5	15	12
POLD4	1130	997	528	970	455	434	529	883	252	621	234	892	79	166	238	275	167	377	518	391
CLCF1	35	110	53	32	28	42	20	40	17	33	9	24	28	28	71	48	8	17	31	15
RAD9A	283	255	132	294	100	137	172	292	70	133	79	288	82	124	207	304	64	194	201	121
PPP1CA	4103	3181	1508	4003	1335	1480	1425	2745	678	2114	880	2959	184	272	281	249	693	1548	1373	952
TBC1D10C	108	118	54	148	89	86	109	135	74	116	61	180	46	50	92	104	42	130	155	90
CARNS1	249	316	164	404	178	166	184	240	86	238	51	142	86	141	414	320	60	91	242	93
RPS6KB2	1276	979	465	927	368	438	453	786	274	547	240	936	167	217	415	353	175	513	498	363
CORO1B	1138	967	518	920	374	442	446	649	245	526	177	686	201	389	538	442	151	360	571	364
PTPRCAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR152	0	0	0	5	1	0	0	0	0	0	1	0	1	1	32	9	1	0	0	0
CABP4	5	7	3	6	4	3	2	9	3	3	1	4	20	25	106	100	2	6	5	4
TMEM134	1321	724	445	1169	500	516	505	904	350	580	198	1014	240	286	878	806	195	492	604	440
AIP	1593	1118	538	1541	543	640	565	1124	387	720	230	1055	44	81	146	100	254	606	648	428
MIR6752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PITPNM1	4787	4028	1909	4460	1734	1180	1114	1465	754	2581	997	3372	2016	1903	3427	3266	364	2020	934	1311
CDK2AP2	2917	2828	1300	2065	1120	1014	1027	1508	490	1726	512	1957	176	302	561	876	374	1034	887	964
CABP2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	23	7	0	0	0	0
GSTP1	10704	11601	5885	10021	3778	4057	3856	6413	2049	5065	2386	8259	1327	1851	1259	1315	1647	4288	4219	3114
NDUFV1-DT	3	8	0	3	0	0	0	0	2	0	6	1	8	13	28	27	1	0	1	2
NDUFV1	7824	4306	2424	8115	2534	2403	2391	5625	1481	3932	2054	7539	2842	4721	8539	15187	1348	4321	2467	1978
DOC2GP	72	15	6	66	22	25	13	32	32	16	1	8	4	9	73	59	7	2	33	24
